Date,EGP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.26901988528690907,-0.5141117315612603,-0.0,-0.433130353488137,-0.3104580943477272,0.0
2018-09-25,1.0,-0.2654440646839769,-0.5241289598530837,-0.0,-0.4407488649696475,-0.3202826098046217,0.0
2018-09-26,1.0,-0.2651770227527803,-0.5239771451892664,-0.0,-0.44082236506478933,-0.32078359351086627,0.0
2018-09-27,1.0,-0.26402167799989773,-0.5289892121274093,-0.0,-0.441612556879186,-0.32174446546346946,0.0
2018-09-28,1.0,-0.2646193970697282,-0.5287018333375949,-0.0,-0.4417141834360377,-0.3219207854969445,0.0
2018-10-01,1.0,-0.26566701137538784,-0.5428645294725957,-0.0,-0.44733712512926577,-0.3294467425025853,0.0
2018-10-02,1.0,-0.2643445809360908,-0.5549422070180895,-0.0,-0.4451096252526824,-0.32721712538226305,0.0
2018-10-03,1.0,-0.2643103314244254,-0.553885620999715,-0.0,-0.44531108289497556,-0.3277707237438781,0.0
2018-10-04,1.0,-0.2700584036340039,-0.5479818299805321,-0.0,-0.45321219987021416,-0.32443867618429595,0.0
2018-10-05,1.0,-0.26050659085034894,-0.5426466787283536,-0.0,-0.45528560351512015,-0.32618247609201345,0.0
2018-10-08,1.0,-0.25846900074821333,-0.5400552129827911,-0.0,-0.45646172501870536,-0.325059986067752,0.0
2018-10-09,1.0,-0.25003253259766284,-0.5460791713296723,-0.0,-0.46706399812612237,-0.33943211097519715,0.0
2018-10-10,1.0,-0.25304060213037477,-0.5454853243743001,-0.0,-0.46938562908560566,-0.3364846211943642,0.0
2018-10-11,1.0,-0.21048225475024734,-0.535832973946574,-0.0,-0.45429868844973237,-0.336233795885233,0.0
2018-10-12,1.0,-0.2061248826529318,-0.5383756628523584,-0.0,-0.4568289650622891,-0.3359043970263619,0.0
2018-10-15,1.0,-0.18280442056169524,-0.5617205718341276,-0.0,-0.4532850045625063,-0.33691574571631355,0.0
2018-10-16,1.0,-0.17734402761561502,-0.5722625513985481,-0.0,-0.45248489771054373,-0.33608304990101023,0.0
2018-10-17,1.0,-0.17279745685740236,-0.5638813200121102,-0.0,-0.45034816833181956,-0.33595721061661116,0.0
2018-10-18,1.0,-0.1726625964983097,-0.563852868459559,-0.0,-0.4504263585448307,-0.335915031030829,0.0
2018-10-19,1.0,-0.16083057809838694,-0.5557559362789299,-0.0,-0.4532862438633403,-0.33488628393948505,0.0
2018-10-22,1.0,-0.1616544201196879,-0.5435194303461859,-0.0,-0.4696866399010176,-0.35022599298032975,0.0
2018-10-23,1.0,-0.15790540369366401,-0.5459681301142553,-0.0,-0.4753375725179236,-0.3541661388797406,0.0
2018-10-24,1.0,-0.15706381034570283,-0.5420325904868267,-0.0,-0.4792629067465353,-0.3598406010457384,0.0
2018-10-25,1.0,-0.12457516993202718,-0.5140443822471011,-0.0,-0.5151439424230307,-0.34526189524190326,0.0
2018-10-26,1.0,-0.11115514166831782,-0.5051515751931841,-0.0,-0.5208044382801664,-0.33960768773528827,0.0
2018-10-29,1.0,-0.10675171203243591,-0.5059210363667828,-0.0,-0.5207545303963015,-0.338797003634206,0.0
2018-10-30,1.0,-0.09175107104826527,-0.5081845422352096,-0.0,-0.5233401847403482,-0.3531611401401649,0.0
