Date,IWF,IWM,LQDT,MTUM,SPY,VLUE,VXX
2018-09-24,-1.5485662358642973,-2.674979806138934,1.0,-0.8177504038772213,-2.0695678513731828,-1.9860662358642973,0.0
2018-09-25,-1.549257350712337,-2.6766696978882485,1.0,-0.8182277457815499,-2.0714357886228147,-1.9884813579872689,0.0
2018-09-26,-1.5801620679044004,-2.724176838650118,1.0,-0.8405990357985434,-2.1044209662529494,-2.0081033952200227,0.0
2018-09-27,-1.5836835092753918,-2.710976734652045,1.0,-0.8437019575689249,-2.1038228963820846,-2.006764374295378,0.0
2018-09-28,-1.5827515400410677,-2.719301848049281,1.0,-0.8467145790554415,-2.1073921971252565,-2.01088295687885,0.0
2018-10-01,-1.5826917154296274,-2.718612052150703,1.0,-0.8468329740273072,-2.1070731957704547,-2.0105738630530747,0.0
2018-10-02,-1.6006854294319244,-2.779416346453422,1.0,-0.8504517603074048,-2.1260774742963964,-2.0287672655519784,0.0
2018-10-03,-1.5981541014207197,-2.7691589754225863,1.0,-0.8494244529710671,-2.124546303017733,-2.028932904697708,0.0
2018-10-04,-1.6075804776739357,-2.7614745586708205,1.0,-0.8529595015576324,-2.1360332294911735,-2.0261682242990653,0.0
2018-10-05,-1.5729551993423756,-2.7361282367447597,1.0,-0.8177147554459514,-2.127825729551993,-2.0207562679819153,0.0
2018-10-08,-1.565141745983011,-2.7246955275816194,1.0,-0.8115853034489816,-2.120765530651929,-2.0120765530651927,0.0
2018-10-09,-1.5844777361631295,-2.7744486059092797,1.0,-0.8007698709945901,-2.1739492301290055,-2.0700166458593428,0.0
2018-10-10,-1.5854825291181367,-2.7721505823627286,1.0,-0.8019966722129783,-2.173980865224626,-2.065723793677205,0.0
2018-10-11,-1.4326028219753828,-2.774542179525668,1.0,-0.5799059341539077,-2.1319923946762733,-2.087961573101171,0.0
2018-10-12,-1.4709069020866774,-2.807082664526485,1.0,-0.5654093097913322,-2.122291332263242,-2.066312199036918,0.0
2018-10-15,-1.4326034552028928,-2.8930293290478106,1.0,-0.49849337083165934,-2.1320811570912013,-2.087987143431097,0.0
2018-10-16,-1.428657435279952,-2.8980533814970904,1.0,-0.49217338952438294,-2.1295404374874574,-2.0855910094320693,0.0
2018-10-17,-1.369637610186092,-2.7973555337904012,1.0,-0.4270323212536729,-2.1089128305582765,-2.0914789422135165,0.0
2018-10-18,-1.3743110236220473,-2.8058070866141733,1.0,-0.4316929133858268,-2.126377952755906,-2.104330708661417,0.0
2018-10-19,-1.3299497293116782,-2.7621809744779577,1.0,-0.38979118329466356,-2.1061484918793503,-2.079369682907966,0.0
2018-10-22,-1.3354614045269877,-2.7505320177984136,1.0,-0.37666860127684276,-2.119075256335848,-2.0913136003095376,0.0
2018-10-23,-1.3393341076267906,-2.751355013550136,1.0,-0.38356562137049943,-2.1152729384436704,-2.0891405342624854,0.0
2018-10-24,-1.345068373581612,-2.753564154786151,1.0,-0.3669867132188925,-2.1282125884977208,-2.1046455241974593,0.0
2018-10-25,-1.2404722067298757,-2.624372559955382,1.0,-0.303680981595092,-2.1160066926938095,-2.0108756274400448,0.0
2018-10-26,-1.188064283134706,-2.551823763091369,1.0,-0.2649873600577826,-2.072950523654749,-1.9507042253521127,0.0
2018-10-29,-1.1525179856115109,-2.5839928057553956,1.0,-0.2239208633093525,-2.062769784172662,-1.9696043165467627,0.0
2018-10-30,-1.1395850175154947,-2.5835803467169676,1.0,-0.21476690918889788,-2.0632354262103654,-1.9811371597952034,0.0
2018-10-31,-1.1348833081906116,-2.5286183334812318,1.0,-0.20827047652852962,-2.045434377495785,-1.95669535894933,0.0
2018-11-01,-1.110744832501782,-2.5853528153955807,1.0,-0.17097291518175337,-2.064326443335709,-1.9780826799714895,0.0
2018-11-02,-1.1183641021111208,-2.521773694903277,1.0,-0.15369666990548536,-2.0756116950799397,-1.9636074551718046,0.0
2018-11-05,-1.1123367454994704,-2.5349452876809035,1.0,-0.15275326509001058,-2.0738616307800917,-1.9506706671373102,0.0
2018-11-06,-1.1165005732427902,-2.5375253549695738,1.0,-0.15063056706940647,-2.0697592380280447,-1.9447041185289708,0.0
