Date,IWF,IWM,KRO,MTUM,SPY,VLUE,VXX
2018-09-24,-0.4865113709603167,-1.2450050639904244,1.0,-0.0683178344535494,-0.8584844857747905,-0.9453089034158917,0.0
2018-09-25,-0.4878048780487805,-1.2433502070869764,1.0,-0.07068568798895536,-0.857017947537966,-0.9430740911182697,0.0
2018-09-26,-0.48724442807146806,-1.2434149935531404,1.0,-0.06801436728679315,-0.8586295818751151,-0.9475962424019156,0.0
2018-09-27,-0.4918296892980437,-1.232819332566168,1.0,-0.07125431530494822,-0.8593325661680092,-0.9477100115074798,0.0
2018-09-28,-0.4875674678230383,-1.2411772846796145,1.0,-0.07270378742445911,-0.8616044655625779,-0.9501314757577156,0.0
2018-10-01,-0.488028786271163,-1.240439175162615,1.0,-0.07298057849333396,-0.8617428610970153,-0.9499469483784656,0.0
2018-10-02,-0.4938260185913148,-1.2116265088100633,1.0,-0.08453961059982426,-0.8730980899967627,-0.9616149470471257,0.0
2018-10-03,-0.4940762680488708,-1.197334320621992,1.0,-0.0823768974453906,-0.8806923361717882,-0.9734357645316549,0.0
2018-10-04,-0.49458634092171017,-1.195955950397927,1.0,-0.08310198038126966,-0.8808069590967981,-0.9725615398852488,0.0
2018-10-05,-0.4776491211883563,-1.189278959265581,1.0,-0.06463071458227615,-0.8929279881902478,-0.988697698020944,0.0
2018-10-08,-0.4755434782608695,-1.1864867354458364,1.0,-0.06116433308769344,-0.894620486366986,-0.9879329403095062,0.0
2018-10-09,-0.47203476009984285,-1.1929370435425717,1.0,-0.04585374872885273,-0.9074604788758436,-1.0040676712582046,0.0
2018-10-10,-0.4787815918521313,-1.2301490003772162,1.0,-0.03470388532629197,-0.929319124858544,-1.042248208223312,0.0
2018-10-11,-0.37294238683127573,-1.261690983913206,1.0,-0.0,-0.930695847362514,-1.1110643471754582,0.0
2018-10-12,-0.3718233065335921,-1.2536734128084281,1.0,-0.0,-0.9068477959523149,-1.0883005267535348,0.0
2018-10-15,-0.3567310796476503,-1.2638933726882813,1.0,-0.0,-0.9030115758889453,-1.0882257990130517,0.0
2018-10-16,-0.3573635902403025,-1.263225865965592,1.0,-0.0,-0.9032793690327936,-1.088464554217979,0.0
2018-10-17,-0.3276715563831237,-1.2135882646805032,1.0,-0.0,-0.8982242608656161,-1.1020028157500341,0.0
