Date,IWF,IWM,LSXMA,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3176498686410318,-0.5243478491627525,1.0,-0.14030199294111403,-0.37491707135843744,-0.2964997478969296,0.0
2018-09-25,-0.3505278310940499,-0.6575095969289827,1.0,-0.0998380518234165,-0.48437499999999994,-0.4068198176583493,0.0
2018-09-26,-0.35225601152772357,-0.6599921947704962,1.0,-0.10278886854192308,-0.4842544504818228,-0.4026898021674522,0.0
2018-09-27,-0.3634769993350662,-0.6508190775554615,1.0,-0.10723568881097745,-0.4919905700296198,-0.40890406818593966,0.0
2018-09-28,-0.36266924564796904,-0.6512632978723404,1.0,-0.10762209864603482,-0.4918097195357834,-0.4089095744680851,0.0
2018-10-01,-0.36227852693959,-0.6522646187337486,1.0,-0.10793977142166053,-0.4917457821854025,-0.40929430972969705,0.0
2018-10-02,-0.36213580471258106,-0.6626991338058029,1.0,-0.10521533708886063,-0.49061118177963536,-0.40795929493003813,0.0
2018-10-03,-0.3618413082980012,-0.6543307086614173,1.0,-0.10393700787401576,-0.49427619624470015,-0.4140823743185948,0.0
2018-10-04,-0.3611304848834036,-0.6575188767929162,1.0,-0.10404221123813567,-0.4933438457106468,-0.4163811141098341,0.0
2018-10-05,-0.3522785612901278,-0.6523419804910459,1.0,-0.09473620632380034,-0.4985051188355027,-0.4220698819194878,0.0
2018-10-08,-0.35123480987847905,-0.6505442812773271,1.0,-0.09314597593703827,-0.49923107077164314,-0.42128275487742367,0.0
2018-10-09,-0.34948556256223035,-0.6516911565036357,1.0,-0.08789186253507528,-0.502519385692303,-0.42561023443864465,0.0
2018-10-10,-0.3496824383869694,-0.6618348679612241,1.0,-0.08308262679673019,-0.5072173093870606,-0.43704986780928073,0.0
2018-10-11,-0.32029281882576094,-0.6575086689783942,1.0,-0.044604487122491925,-0.4979994665244066,-0.44334785572448954,0.0
2018-10-12,-0.32978006852724984,-0.652385275426831,1.0,-0.04234632617799514,-0.4812135765953085,-0.42278970334143556,0.0
2018-10-15,-0.3249612584427356,-0.6596590742960733,1.0,-0.034998976638109996,-0.4810385661237976,-0.4232039998830444,0.0
2018-10-16,-0.3223494860499265,-0.6819089574155653,1.0,-0.020675477239353892,-0.4855212922173274,-0.42640234948604994,0.0
2018-10-17,-0.3139798050139276,-0.6616469359331476,1.0,-0.01471100278551532,-0.4822713556174559,-0.42896935933147634,0.0
