Date,ETN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2334307326797564,-0.45140500832900954,-0.09443185231710313,-0.4671072394112346,-0.484475272399574,0.0
2018-09-25,1.0,-0.2324920014219694,-0.45369028412042983,-0.09209986600672701,-0.4691131832973283,-0.4871612568022095,0.0
2018-09-26,1.0,-0.23227129768904695,-0.45354847531792697,-0.0914535758238753,-0.46941063858881443,-0.48819909749760704,0.0
2018-09-27,1.0,-0.23336157651624895,-0.4502965534206139,-0.09238254024653565,-0.4692377073824036,-0.48793287233170257,0.0
2018-09-28,1.0,-0.2319383320121368,-0.45168520897684716,-0.09280266790585792,-0.4691250034168876,-0.487931552907088,0.0
2018-10-01,1.0,-0.2323273741184189,-0.45128751845169757,-0.092859876441966,-0.4692471707397081,-0.4878355475370401,0.0
2018-10-02,1.0,-0.23395586667031254,-0.4390910830986301,-0.09729020261956195,-0.4725875693855788,-0.4914823220584617,0.0
2018-10-03,1.0,-0.2337325021872266,-0.43192257217847774,-0.09618328958880142,-0.47561242344706917,-0.4965551181102363,0.0
2018-10-04,1.0,-0.23625878044114032,-0.4277202284964605,-0.09664634979637578,-0.4787766146445459,-0.49380927651898215,0.0
2018-10-05,1.0,-0.22626345184579758,-0.4213594878082005,-0.08742678109249422,-0.4862552785724016,-0.5031467102574582,0.0
2018-10-08,1.0,-0.2258714596949891,-0.42091503267973857,-0.08684640522875817,-0.4865468409586057,-0.503131808278867,0.0
2018-10-09,1.0,-0.22526006208812158,-0.421001034802026,-0.08542563041228692,-0.48731005936495836,-0.5041664397363979,0.0
2018-10-10,1.0,-0.2244892377540136,-0.42726253316193963,-0.08163990919782294,-0.489538604600279,-0.5120750485463447,0.0
2018-10-11,1.0,-0.20728450020234723,-0.4227977876703089,-0.06094698502630514,-0.4877377579927155,-0.5191960070147039,0.0
2018-10-12,1.0,-0.20650511230979793,-0.41937042106110617,-0.05759063950835949,-0.48450205297480076,-0.5156589646566299,0.0
2018-10-15,1.0,-0.19534746603060593,-0.43746147455310475,-0.042022887465494596,-0.48564843352182885,-0.5195776271004743,0.0
2018-10-16,1.0,-0.19574365434613633,-0.43624862633680883,-0.04304591385456593,-0.4856468948511083,-0.5196333324398938,0.0
2018-10-17,1.0,-0.18694983561353273,-0.4154205111888854,-0.034415102343832854,-0.4865309152614275,-0.5280517552232474,0.0
2018-10-18,1.0,-0.1873342526784767,-0.4162511933807149,-0.03389201230508115,-0.48620982284926273,-0.5282433435875676,0.0
2018-10-19,1.0,-0.18206550449022718,-0.41162176439514003,-0.028922345483359747,-0.4886423666138405,-0.5300316957210777,0.0
2018-10-22,1.0,-0.18111360931093773,-0.4171141383414892,-0.03406956751752414,-0.48546488559714324,-0.5274170083322313,0.0
2018-10-23,1.0,-0.18046585494970885,-0.4179195341450503,-0.03192165166754896,-0.48774483853890943,-0.5289041821069348,0.0
2018-10-24,1.0,-0.18071998067165984,-0.43827011355399853,-0.03758288368097501,-0.49510080266301576,-0.5327910660116507,0.0
2018-10-25,1.0,-0.1698953226447595,-0.4234795282893865,-0.035616801378031006,-0.4966741751689413,-0.5243937988604743,0.0
2018-10-26,1.0,-0.16750732828056092,-0.420418834341247,-0.0330102727968944,-0.49782132199540496,-0.5220640663374442,0.0
2018-10-29,1.0,-0.15561405818086085,-0.4295379755166513,-0.022745820718704752,-0.4942740555482427,-0.5304462287745162,0.0
2018-10-30,1.0,-0.1601939189545239,-0.42957264056489436,-0.025425515097222958,-0.49383464193497395,-0.5257680349897245,0.0
