Date,IWF,IWM,MTUM,NGG,SPY,VLUE,VXX
2018-09-24,-0.23848797250859108,-0.5521191294387171,-0.0,1.0,-0.4431462390225277,-0.311772941326206,0.0
2018-09-25,-0.23696489125723463,-0.5540654241350297,-0.0,1.0,-0.44460875551362794,-0.3140154509064022,0.0
2018-09-26,-0.23534976477807323,-0.5543055839640008,-0.0,1.0,-0.4466915524647167,-0.3204131724278993,0.0
2018-09-27,-0.23641984771833002,-0.5517144463181562,-0.0,1.0,-0.44665031427257396,-0.3203025192907149,0.0
2018-09-28,-0.2413625054505348,-0.5517993177212916,-0.0,1.0,-0.4492523148741888,-0.32254341190653296,0.0
2018-10-01,-0.24099018045344714,-0.5554470207187291,-0.0,1.0,-0.44992545370417975,-0.32419926996041337,0.0
2018-10-02,-0.24114879284189958,-0.5561669194970817,-0.0,1.0,-0.4496953179235338,-0.32417144473298537,0.0
2018-10-03,-0.24092162573129555,-0.5454756320713383,-0.0,1.0,-0.45635421767480217,-0.3345016881008221,0.0
2018-10-04,-0.24508792738899488,-0.5401990614202465,-0.0,1.0,-0.461812180908669,-0.3314166365839823,0.0
2018-10-05,-0.23746661187589893,-0.5362389562358743,-0.0,1.0,-0.46293918224779124,-0.33167248818574074,0.0
2018-10-08,-0.23524404086265607,-0.536425549478898,-0.0,1.0,-0.4732225776493654,-0.33479517077700965,0.0
2018-10-09,-0.23446568134334134,-0.5363563672005984,-0.0,1.0,-0.4734452784441177,-0.3351131058319792,0.0
2018-10-10,-0.23595853318892154,-0.5355098251585951,-0.0,1.0,-0.47444427252565885,-0.33289494043014084,0.0
2018-10-11,-0.163503537765971,-0.5505887762139517,-0.0,1.0,-0.472400316738614,-0.3678254872410534,0.0
2018-10-12,-0.16478447189311823,-0.5439374842450214,-0.0,1.0,-0.4602470380640282,-0.3518023695487774,0.0
2018-10-15,-0.142623445915337,-0.5651079679871143,-0.0,1.0,-0.4566366336135299,-0.35236824885488494,0.0
2018-10-16,-0.13498204622464977,-0.583674707935063,-0.0,1.0,-0.45726495726495725,-0.3527790421281546,0.0
2018-10-17,-0.12383445524806781,-0.5622288706058339,-0.0,1.0,-0.4527050610820244,-0.3543754674644727,0.0
2018-10-18,-0.12343894109729042,-0.5616072986514445,-0.0,1.0,-0.45332402722038034,-0.35436348680110674,0.0
