Date,IWF,IWM,MTUM,SPY,VLUE,VXX,ZTO
2018-09-24,-0.8781105018979334,-1.636862083509068,-0.1669578839549316,-1.2393203591010424,-1.1038741941314696,0.0,1.0
2018-09-25,-0.8872401741369795,-1.6760684284750749,-0.15727512416457168,-1.2720583726776626,-1.1390030044760562,0.0,1.0
2018-09-26,-0.8874310239117107,-1.6763335377069282,-0.1576946658491723,-1.2717964438994482,-1.137952176578786,0.0,1.0
2018-09-27,-0.8980156048411869,-1.6627756957670332,-0.16354365054985565,-1.2773238311728206,-1.1420409166308287,0.0,1.0
2018-09-28,-0.8959866427555501,-1.683012800692598,-0.16566693463607696,-1.287180755673737,-1.1520623338074332,0.0,1.0
2018-10-01,-0.8990899523308363,-1.6824738438680122,-0.16566582059060236,-1.290100910047669,-1.1534699436637157,0.0,1.0
2018-10-02,-0.8996349235814615,-1.6724831384196521,-0.16960584122269662,-1.2909473423674278,-1.154940907122084,0.0,1.0
2018-10-03,-0.8988500061827626,-1.6675528626190184,-0.16984048472857674,-1.290713490787684,-1.1558056139483122,0.0,1.0
2018-10-04,-0.9048148834909451,-1.6569009209469063,-0.17133320971629892,-1.2982260955559677,-1.1495766116570862,0.0,1.0
2018-10-05,-0.8822518263859046,-1.6424581005586592,-0.14629504573638652,-1.3075081343237767,-1.160599177358954,0.0,1.0
2018-10-08,-0.8774536782241791,-1.633645202715098,-0.14150308811838805,-1.3066715587354003,-1.1558123891640677,0.0,1.0
2018-10-09,-0.8800342759211653,-1.6355123026074183,-0.14499938792997918,-1.3062186314114335,-1.1539356102338107,0.0,1.0
2018-10-10,-0.8805897106502721,-1.6339389490426377,-0.14559246344895088,-1.306233559674558,-1.150975714198324,0.0,1.0
2018-10-11,-0.7791948280928592,-1.628563032618278,-0.0015280634734058183,-1.2835733176608874,-1.1843079635615634,0.0,1.0
2018-10-12,-0.8478640718202085,-1.6971139362535397,-0.0,-1.2976441525576912,-1.1826233656684944,0.0,1.0
2018-10-15,-0.832342520867111,-1.7038971957004743,-0.0,-1.290938569627094,-1.1777457515162433,0.0,1.0
2018-10-16,-0.826729106628242,-1.7122958693563881,-0.0,-1.2889649375600383,-1.1758525456292026,0.0,1.0
