Date,IWF,IWM,MTUM,PFC,SPY,VLUE,VXX
2018-09-24,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-09-25,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-09-26,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-09-27,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-01,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-02,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-03,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-04,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-08,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-09,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-10,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-11,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-15,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-16,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-17,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-18,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-22,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-23,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-24,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-25,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-29,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-30,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-10-31,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-01,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-05,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-06,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-07,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-08,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-12,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-13,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-14,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-15,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-19,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-20,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-21,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-26,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-27,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-28,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-11-29,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-12-03,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-12-04,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-12-06,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-12-10,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-12-11,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-12-12,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-12-13,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-12-17,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-12-18,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-12-19,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
2018-12-20,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
