Date,IWF,IWM,MTUM,QURE,SPY,VLUE,VXX
2018-09-24,-1.5047336712250168,-2.9334417136846134,-0.4313856746676867,1.0,-1.9428134264129293,-1.7506933154824522,0.0
2018-09-25,-1.5289526929376627,-2.9478755178726277,-0.451103189131901,1.0,-1.9536564216205803,-1.7532517583582234,0.0
2018-09-26,-1.5291791260731167,-2.950033760972316,-0.4472846532265844,1.0,-1.9578470145654483,-1.7616475354490209,0.0
2018-09-27,-1.529286886036862,-2.9524269034063497,-0.4467818199363119,1.0,-1.9586992183730578,-1.7625205056450834,0.0
2018-09-28,-1.5325980870583644,-2.9998048018739025,-0.45188366191684565,1.0,-1.9861409330470428,-1.7893812219402694,0.0
2018-10-01,-1.532643700595296,-2.998633746462379,-0.45262027910607977,1.0,-1.9857519273933832,-1.789206597052796,0.0
2018-10-02,-1.5425531914893615,-3.070133963750985,-0.4415878644602049,1.0,-1.997340425531915,-1.7986603624901498,0.0
2018-10-03,-1.5404368358913814,-3.052735143644235,-0.4398858717040535,1.0,-2.0000983864620228,-1.8055883510428965,0.0
2018-10-04,-1.5554022082018928,-3.039432176656151,-0.4433162460567824,1.0,-2.0202089905362777,-1.7996845425867507,0.0
2018-10-05,-1.5280360113514042,-3.025344945689402,-0.41080340542127414,1.0,-2.020745669830707,-1.800763284078677,0.0
2018-10-08,-1.5216034331415198,-3.0165805130205796,-0.40339412854774215,1.0,-2.017848434604506,-1.7938164439676194,0.0
2018-10-09,-1.5248926200702848,-3.020109332292073,-0.4070675517376025,1.0,-2.017864115579852,-1.7918781725888324,0.0
2018-10-10,-1.5252100840336136,-3.0256009380496387,-0.4040453390658589,1.0,-2.0203244088333006,-1.7961696306429549,0.0
2018-10-11,-1.370024294524388,-2.9988787142590168,-0.20491496916464214,1.0,-1.9572042608858158,-1.8130256026910858,0.0
2018-10-12,-1.4487348942598188,-3.0603285498489425,-0.1925037764350453,1.0,-1.9511895770392749,-1.7882364048338368,0.0
2018-10-15,-1.411018144213594,-3.115070038544702,-0.13791482560872426,1.0,-1.9461314280342201,-1.7911065149948293,0.0
2018-10-16,-1.4153643381660705,-3.11052532479759,-0.14432310299378648,1.0,-1.949538693278102,-1.794671436640934,0.0
2018-10-17,-1.3585789038832279,-2.9895345634811346,-0.09005783530707794,1.0,-1.9313320481042873,-1.8107959239878821,0.0
2018-10-18,-1.3564410981544395,-2.9860435221742723,-0.09200257093012577,1.0,-1.9357267468552015,-1.8117711872188043,0.0
2018-10-19,-1.3222907968778361,-2.956888727536758,-0.05363949900163369,1.0,-1.9383735705209657,-1.804864766745326,0.0
2018-10-22,-1.3225454545454545,-2.965181818181818,-0.06281818181818181,1.0,-1.9363636363636363,-1.804,0.0
2018-10-23,-1.3230937017177131,-2.964100699809143,-0.06498227756066527,1.0,-1.933927110787967,-1.802235753885304,0.0
2018-10-24,-1.3291795524831729,-2.961433509186829,-0.04275059123158086,1.0,-1.9457886119701655,-1.8167182099326906,0.0
2018-10-25,-1.225586874945458,-2.8213631206911596,-0.003228903045640981,1.0,-1.9603804869534864,-1.7162056025831225,0.0
2018-10-26,-1.1700814402057436,-2.768966995285041,-0.0,1.0,-1.956022288898414,-1.6775825117873981,0.0
2018-10-29,-1.1201665675193337,-2.7804028214498175,-0.0,1.0,-1.9236848814481178,-1.6741735361604488,0.0
2018-10-30,-1.1246704651756103,-2.7823794540352074,-0.0,1.0,-1.9251637043966323,-1.67199591802024,0.0
2018-10-31,-1.142808741317974,-2.726833813315263,-0.0,1.0,-1.9329154667118413,-1.667796035913942,0.0
