Date,IWF,IWM,KOP,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3026245121558237,-1.0234881306169215,1.0,-0.0,-0.6133051666726342,-0.6410899065487486,0.0
2018-09-25,-0.30130503370141976,-1.0254911802667432,1.0,-0.0,-0.6149792055069554,-0.6434820020077442,0.0
2018-09-26,-0.30313463883509073,-1.0274011907323721,1.0,-0.0,-0.6151997704612294,-0.640771824115917,0.0
2018-09-27,-0.3021209060741596,-1.040975328235464,1.0,-0.0,-0.6191747222622999,-0.6447121627470784,0.0
2018-09-28,-0.29922284474968375,-1.047388396891379,1.0,-0.0,-0.621218145671426,-0.646846195553949,0.0
2018-10-01,-0.2991502440788284,-1.0483456879406978,1.0,-0.0,-0.6212619779425058,-0.6472608931477128,0.0
2018-10-02,-0.3026763110307414,-1.0359855334538877,1.0,-0.0,-0.6259674502712478,-0.652007233273056,0.0
2018-10-03,-0.30242562267288436,-1.0324982829049634,1.0,-0.0,-0.6265770162310669,-0.6534721469110364,0.0
2018-10-04,-0.3017955801104973,-1.0447441116603666,1.0,-0.0,-0.6260904332654842,-0.6621837743530097,0.0
2018-10-05,-0.2754440885264997,-1.0384027373325568,1.0,-0.0,-0.6425815375655212,-0.6836415259172975,0.0
2018-10-08,-0.27140831242500274,-1.0345805607068834,1.0,-0.0,-0.647176466310316,-0.6830297080106179,0.0
2018-10-09,-0.26776751291190803,-1.0346984796682912,1.0,-0.0,-0.6487233578235251,-0.6859314759583909,0.0
2018-10-10,-0.26894269924374636,-1.0338132635253052,1.0,-0.0,-0.6494691681210006,-0.683609656777196,0.0
2018-10-11,-0.17557711372326865,-1.0344143888967567,1.0,-0.0,-0.6251593258745219,-0.7054595666336213,0.0
2018-10-12,-0.16765960446998274,-1.0362040399055241,1.0,-0.0,-0.6201572249444778,-0.7012021010328904,0.0
2018-10-15,-0.13350480955568866,-1.0711391423839893,1.0,-0.0,-0.6149184313449139,-0.7038864028751629,0.0
2018-10-16,-0.12718292467807374,-1.0838243076380314,1.0,-0.0,-0.6140412771211855,-0.7028752866466749,0.0
2018-10-17,-0.11840542240234787,-1.0662776884913705,1.0,-0.0,-0.6078890364055622,-0.7012787366361541,0.0
2018-10-18,-0.11922915500839396,-1.0692151650811414,1.0,-0.0,-0.6070579182988248,-0.7019795747062115,0.0
2018-10-19,-0.09906003954077208,-1.059553952342964,1.0,-0.0,-0.607991398147827,-0.7018833894072353,0.0
2018-10-22,-0.10283045175683211,-1.0744910764082543,1.0,-0.0,-0.6072225320691578,-0.7012339654210819,0.0
2018-10-23,-0.096488754142283,-1.0864767679616443,1.0,-0.0,-0.6264542057392652,-0.7159627723330747,0.0
2018-10-24,-0.09549249929238607,-1.0957401641664306,1.0,-0.0,-0.6293164449476366,-0.7175559015001415,0.0
2018-10-25,-0.08196778467331427,-1.0777491109406596,1.0,-0.0,-0.6235269507007879,-0.7032982358273482,0.0
2018-10-26,-0.07394341841322542,-1.0665075741855155,1.0,-0.0,-0.6225012104862696,-0.6955799958497613,0.0
