Date,AYX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.1115675102689813,-1.8665032463230422,-0.552404929110905,-1.1583410626739101,-0.9362660659864848,0.0
2018-09-25,1.0,-1.120934554626311,-1.865126775521041,-0.5636532589937608,-1.1569759723881587,-0.9307712730651799,0.0
2018-09-26,1.0,-1.1233395324123274,-1.8682917109458022,-0.5680127523910733,-1.1568145589798087,-0.925411795961743,0.0
2018-09-27,1.0,-1.1237968801858613,-1.8646531695984068,-0.5688018586126784,-1.1560570859608363,-0.9246598075008298,0.0
2018-09-28,1.0,-1.1187795616547866,-1.8792885217507163,-0.5705815735127574,-1.161881287056159,-0.9311837985477316,0.0
2018-10-01,1.0,-1.1313036480686693,-1.8862660944206007,-0.5696083690987125,-1.177105686695279,-0.9417247854077253,0.0
2018-10-02,1.0,-1.1313530910553842,-1.8828617406463726,-0.5712082606946494,-1.1772830897143625,-0.9424031111707122,0.0
2018-10-03,1.0,-1.1325681299503287,-1.889179755671902,-0.5724258289703316,-1.177070747751376,-0.9409987917841321,0.0
2018-10-04,1.0,-1.135336328884716,-1.8808262356649452,-0.5733351217222185,-1.1805378579572128,-0.9363557105492589,0.0
2018-10-05,1.0,-1.1136804116821493,-1.871750317449709,-0.5488204237118225,-1.19581634698924,-0.9530842745438747,0.0
2018-10-08,1.0,-1.1111259338313768,-1.8679295624332979,-0.5452241195304162,-1.195837780149413,-0.9501067235859125,0.0
2018-10-09,1.0,-1.1152587646076795,-1.870584307178631,-0.5514524207011686,-1.19432387312187,-0.9461769616026712,0.0
2018-10-10,1.0,-1.1159546061415222,-1.8696261682242992,-0.552136181575434,-1.194325767690254,-0.9433911882510014,0.0
2018-10-11,1.0,-1.0294516566556868,-1.8692113931408643,-0.43370147904152945,-1.1649551120583868,-0.9613124071562359,0.0
2018-10-12,1.0,-1.0306924995204296,-1.8646972312807724,-0.4239401496259351,-1.142911950892001,-0.9320928448110494,0.0
2018-10-15,1.0,-1.0129464285714287,-1.89375,-0.39738520408163264,-1.1408163265306124,-0.9326530612244899,0.0
2018-10-16,1.0,-1.0116694299196534,-1.897908430047188,-0.3941461548271904,-1.1406708328019386,-0.9323428134166561,0.0
2018-10-17,1.0,-0.9861676159479252,-1.8403955686299056,-0.37616573824873256,-1.125367716091882,-0.9308380797396257,0.0
2018-10-18,1.0,-0.9857312722948872,-1.839789724012767,-0.3762438200137681,-1.1257900995056012,-0.9306589899242758,0.0
2018-10-19,1.0,-0.9729175725200323,-1.8309211752282752,-0.36070563389030375,-1.1246040126715944,-0.9224175414622026,0.0
2018-10-22,1.0,-0.9767383059418456,-1.8920353982300882,-0.39222503160556255,-1.1288242730720606,-0.9312262958280657,0.0
2018-10-23,1.0,-0.9842345194377612,-1.893947068507028,-0.4051538558946436,-1.1206154235785741,-0.9276307458528555,0.0
2018-10-24,1.0,-0.9899860565344151,-1.8907339333248825,-0.3887691722651793,-1.129737609329446,-0.9387755102040817,0.0
2018-10-25,1.0,-0.9284926470588235,-1.8072916666666665,-0.3717524509803921,-1.1448529411764705,-0.8750612745098039,0.0
