Date,CRTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-06,1.0,-6.029174664107486,-5.393090211132438,-10.71708253358925,-9.032629558541267,-6.21573896353167,0.0
2020-01-07,1.0,-6.08770555990603,-5.4894283476898975,-10.989428347689897,-9.221613155833985,-6.366092404072044,0.0
2020-01-08,1.0,-6.0663544106167056,-5.464090554254489,-10.953161592505854,-9.186182669789227,-6.361436377829821,0.0
2020-01-09,1.0,-6.0202492211838,-5.462227414330218,-10.927570093457943,-9.160046728971961,-6.371105919003115,0.0
2020-01-10,1.0,-5.91477053605862,-5.397994600848438,-10.851137678364829,-9.086386424990359,-6.3146934053220205,0.0
2020-01-13,1.0,-5.928902627511592,-5.404945904173107,-10.891421947449768,-9.099304482225657,-6.3149149922720245,0.0
2020-01-14,1.0,-5.88482280431433,-5.382896764252696,-10.827426810477657,-9.073959938366718,-6.352080123266563,0.0
2020-01-15,1.0,-5.886222910216719,-5.422600619195046,-10.882352941176471,-9.113003095975232,-6.395510835913313,0.0
2020-01-16,1.0,-5.8836846213895395,-5.436768149882904,-11.061280249804838,-9.233021077283373,-6.417252146760344,0.0
2020-01-17,1.0,-5.759770114942528,-5.262068965517241,-10.88735632183908,-9.083141762452106,-6.32183908045977,0.0
2020-01-21,1.0,-5.807364341085271,-5.355813953488372,-11.005426356589147,-9.194573643410852,-6.396511627906977,0.0
2020-01-22,1.0,-5.8063516653756775,-5.332300542215337,-11.020139426800931,-9.184353214562355,-6.386134779240899,0.0
2020-01-23,1.0,-5.821885913853317,-5.351183546759798,-11.038804811796663,-9.211098176173845,-6.381839348079161,0.0
2020-01-24,1.0,-5.8255633255633255,-5.353146853146853,-11.05827505827506,-9.225330225330225,-6.387723387723389,0.0
2020-01-27,1.0,-5.7099119785686945,-5.206276310753922,-10.956371986222733,-9.061997703788748,-6.335629544584768,0.0
2020-01-28,1.0,-5.404357459379616,-5.17725258493353,-10.736336779911374,-8.675406203840472,-5.93426883308715,0.0
2020-01-29,1.0,-5.327573529411765,-5.186029411764705,-10.720220588235295,-8.624264705882354,-5.906617647058824,0.0
2020-01-30,1.0,-5.320906432748537,-5.144005847953217,-10.6593567251462,-8.595394736842104,-5.8296783625731,0.0
2020-01-31,1.0,-5.332602339181287,-5.155336257309942,-10.632309941520468,-8.590643274853802,-5.838815789473685,0.0
2020-02-03,1.0,-4.970438328236493,-4.721712538226299,-9.88752973156643,-7.963642541624193,-5.435609921848454,0.0
2020-02-04,1.0,-4.880984490896831,-4.635198921105866,-9.807484828051248,-7.9291975724882,-5.462913014160486,0.0
2020-02-05,1.0,-4.814941740918438,-4.750514050719671,-10.11240575736806,-8.104180945853324,-5.488348183687457,0.0
2020-02-06,1.0,-4.9453044375644994,-4.709322325421397,-10.314757481940145,-8.09563123495012,-5.3350533195734435,0.0
2020-02-07,1.0,-5.0570315267445975,-4.782500885582713,-10.728303223521078,-8.392844491675522,-5.462628409493447,0.0
2020-02-10,1.0,-4.994409503843467,-4.655485674353599,-10.615303983228513,-8.29559748427673,-5.379804332634521,0.0
2020-02-11,1.0,-4.919791666666667,-4.637847222222222,-10.522916666666667,-8.247569444444444,-5.394444444444445,0.0
2020-02-12,1.0,-4.922650017343045,-4.622615331252168,-10.518557058619495,-8.245924384321887,-5.376344086021505,0.0
