Date,IWF,IWM,MTUM,SPY,VLUE,VRTX,VXX
2018-09-24,-0.5438313558345813,-0.7874668816956573,-0.17693814076719275,-0.7459202088853051,-0.5856468148830779,1.0,0.0
2018-09-25,-0.5486300580255927,-0.7855358721131306,-0.18333781654690082,-0.7438804134803827,-0.5813703262498559,1.0,0.0
2018-09-26,-0.5490143334742343,-0.7859970026515005,-0.1842985051685048,-0.7436114206663336,-0.5798332244552895,1.0,0.0
2018-09-27,-0.5593181116939216,-0.7743366244986115,-0.18937056464054303,-0.7494214748534404,-0.5844261030546127,1.0,0.0
2018-09-28,-0.5625193080012356,-0.7735943775100401,-0.18937287611986406,-0.7506178560395427,-0.5855344454742044,1.0,0.0
2018-10-01,-0.5617482111777219,-0.7776445561786888,-0.19005994971959003,-0.7510346161284084,-0.5871978340746471,1.0,0.0
2018-10-02,-0.5615738770456921,-0.7809416953611639,-0.1895384377297172,-0.7502224629550819,-0.586605795643595,1.0,0.0
2018-10-03,-0.5610859728506786,-0.7724407317167498,-0.18838225625555943,-0.7533356537881424,-0.5922187415400084,1.0,0.0
2018-10-04,-0.5635098569771937,-0.7673753382296097,-0.18906068805566295,-0.7563973714727483,-0.5891379976807113,1.0,0.0
2018-10-05,-0.5568400770712909,-0.7627360308285164,-0.17965317919075144,-0.7615028901734104,-0.5928709055876685,1.0,0.0
2018-10-08,-0.555076757339079,-0.7593397714593514,-0.17559924589280906,-0.7651879496748876,-0.5923204186064408,1.0,0.0
2018-10-09,-0.5577848808102591,-0.7602341433357723,-0.1804213039627219,-0.7635845496206723,-0.5890553394693264,1.0,0.0
2018-10-10,-0.558982058982059,-0.7588742588742589,-0.1817201817201817,-0.7641872641872641,-0.5862400862400862,1.0,0.0
2018-10-11,-0.5277129301905265,-0.7517885382935463,-0.13577829655847581,-0.757549514270653,-0.5925521500112961,1.0,0.0
2018-10-12,-0.5429838950193857,-0.7460110348941248,-0.13249328959141068,-0.7393751864002387,-0.56710408589323,1.0,0.0
2018-10-15,-0.5430350020501733,-0.7472322660006709,-0.1295336787564767,-0.74082081485071,-0.5669288403474112,1.0,0.0
2018-10-16,-0.5457972529113169,-0.7408554792475366,-0.13548820543445805,-0.7419005673335324,-0.5684532696327261,1.0,0.0
2018-10-17,-0.5365700572272476,-0.7179988923758539,-0.12789366808196417,-0.7387114639099133,-0.5709064057596456,1.0,0.0
2018-10-18,-0.5358830478440638,-0.7168487891317188,-0.1283963378617838,-0.7396633195510928,-0.5708800945067927,1.0,0.0
2018-10-19,-0.5330046361027301,-0.7132239311207594,-0.12109058797556847,-0.7426595040105968,-0.5694679520200161,1.0,0.0
