Date,IWF,IWM,MTUM,SPY,VIR,VLUE,VXX
2020-06-10,-4.728365384615385,-2.662660256410257,-4.705128205128205,-4.90625,1.0,-2.0294471153846154,0.0
2020-06-11,-4.73033033033033,-2.6526526526526526,-4.712512512512512,-4.901901901901902,1.0,-2.0226226226226225,0.0
2020-06-12,-4.508342813803565,-2.393249905195298,-4.581152825180129,-4.6509290860826695,1.0,-1.8270762229806599,0.0
2020-06-15,-4.506813020439061,-2.3707418622255867,-4.590272520817562,-4.645344436033309,1.0,-1.8118849356548072,0.0
2020-06-16,-4.495663650075415,-2.341817496229261,-4.568627450980393,-4.635935143288084,1.0,-1.8114630467571644,0.0
2020-06-17,-4.471857410881801,-2.3168855534709194,-4.550844277673546,-4.6150093808630395,1.0,-1.8069418386491558,0.0
2020-06-18,-4.477763182585851,-2.3083130043160067,-4.558829048601989,-4.617564270970163,1.0,-1.8029649089885533,0.0
2020-06-19,-4.476360225140713,-2.3086303939962476,-4.557410881801125,-4.615759849906191,1.0,-1.80375234521576,0.0
2020-06-22,-4.521944759742716,-2.316685584562997,-4.617858494135453,-4.660802118804389,1.0,-1.8006053726825577,0.0
2020-06-23,-4.548657398590745,-2.3233669777185297,-4.649209674347744,-4.697200533231765,1.0,-1.8257474766711101,0.0
2020-06-24,-4.546164096706644,-2.32172092137826,-4.648391395393109,-4.6954121454407005,1.0,-1.825242718446602,0.0
2020-06-25,-4.842802650070267,-2.3884762095964667,-4.984541256775747,-5.004015257980325,1.0,-1.8564545272033728,0.0
2020-06-26,-4.8896761133603235,-2.396153846153846,-5.0283400809716605,-5.052429149797571,1.0,-1.8763157894736842,0.0
2020-06-29,-4.769671807038355,-2.321075523922499,-4.921510478449981,-4.933570581257414,1.0,-1.8248319493871095,0.0
2020-06-30,-4.848781462245306,-2.2922493008389933,-5.0081901717938475,-4.996803835397523,1.0,-1.830003995205753,0.0
