Date,HTBK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.18168168168168167,-0.7348348348348349,-0.053589953589953596,-0.3849030849030849,-0.374993174993175,0.0
2018-09-25,1.0,-0.1810505028421513,-0.7364451246174026,-0.051951246174027105,-0.38639593353738516,-0.37699497157848705,0.0
2018-09-26,1.0,-0.18123189593922504,-0.7367327977264033,-0.05246761764223643,-0.3861835273542111,-0.3760725802044051,0.0
2018-09-27,1.0,-0.18049087821180082,-0.7426176518928396,-0.05122445625376651,-0.38752533830055336,-0.3774174108365749,0.0
2018-09-28,1.0,-0.1788141166155195,-0.7442459447610696,-0.051731696624287594,-0.38757672073651905,-0.37768522577816743,0.0
2018-10-01,1.0,-0.17868398695497273,-0.7445805585244868,-0.05196086491819453,-0.3875140453287292,-0.3778398969552468,0.0
2018-10-02,1.0,-0.17921736270963498,-0.7408473089992326,-0.05340896634878877,-0.38819467280499836,-0.37865833607365995,0.0
2018-10-03,1.0,-0.1790950697470471,-0.7327139685932746,-0.05209789251555263,-0.3919263339636603,-0.3847460878620954,0.0
2018-10-04,1.0,-0.17783974819150697,-0.7463692086807665,-0.05149373239825501,-0.3909934286818709,-0.3943619194875477,0.0
2018-10-05,1.0,-0.16478946933605043,-0.7425164541624211,-0.039379836422217936,-0.400793104397874,-0.4063833888690001,0.0
2018-10-08,1.0,-0.1633237033979915,-0.7404869995872885,-0.035300591553171,-0.4054753060943734,-0.4067959829412574,0.0
2018-10-09,1.0,-0.16063492063492063,-0.7444582470669426,-0.02489993098688751,-0.4135817805383023,-0.4169496204278813,0.0
2018-10-10,1.0,-0.16106956593724991,-0.7437843207594029,-0.02558017605342311,-0.41378073346394767,-0.41524324622644115,0.0
2018-10-11,1.0,-0.11728627535374185,-0.7451444558024426,-0.0,-0.40189379673965675,-0.42575455963845693,0.0
2018-10-12,1.0,-0.11331891141201293,-0.7451326015543628,-0.0,-0.3943861335897231,-0.4178885238896456,0.0
2018-10-15,1.0,-0.07419467692887323,-0.7962270244086225,-0.0,-0.3939826152479884,-0.42673376570951854,0.0
2018-10-16,1.0,-0.07086910882028369,-0.8018733345894006,-0.0,-0.3930772750518128,-0.4257798831857454,0.0
2018-10-17,1.0,-0.05310533443084358,-0.7724967472982661,-0.0,-0.3925015267783649,-0.43713656036748894,0.0
2018-10-18,1.0,-0.05219101272886716,-0.7709335388376605,-0.0,-0.39602986899099146,-0.43822911960883315,0.0
2018-10-19,1.0,-0.03928552582977152,-0.7656060366207588,-0.0,-0.3961532372961849,-0.43733839902907495,0.0
2018-10-22,1.0,-0.04029149284469557,-0.7677562443892907,-0.0,-0.395521993980039,-0.43679041030786286,0.0
2018-10-23,1.0,-0.034368011926312426,-0.7743318070493026,-0.0,-0.40770418485784266,-0.44571930571824087,0.0
2018-10-24,1.0,-0.03277814790139907,-0.7707661558960693,-0.0,-0.4105263157894737,-0.45081945369753496,0.0
2018-10-25,1.0,-0.018265199161425577,-0.7556341719077568,-0.0,-0.40841194968553457,-0.43823375262054504,0.0
2018-10-26,1.0,-0.022105401498225787,-0.7571822841372059,-0.0,-0.4089367853857274,-0.44021553423577336,0.0
2018-10-29,1.0,-0.0,-0.7837280609008247,-0.0,-0.40095686191583846,-0.4586064707126242,0.0
2018-10-30,1.0,-0.0,-0.7821569614885101,-0.0,-0.39720109199819764,-0.4711230088261019,0.0
2018-10-31,1.0,-0.0,-0.7650551538502137,-0.0,-0.40241199134427613,-0.47147305642054155,0.0
2018-11-01,1.0,-0.0,-0.778006709459281,-0.0,-0.39546186966743274,-0.46807723802731327,0.0
2018-11-02,1.0,-0.0,-0.7586714315745217,-0.0,-0.403326676476771,-0.46570842968257303,0.0
2018-11-05,1.0,-0.0,-0.762936695560809,-0.0,-0.4027843446283163,-0.4610191752035724,0.0
2018-11-06,1.0,-0.0,-0.7657439991596198,-0.0,-0.40191186511896637,-0.4585324859498923,0.0
2018-11-07,1.0,-0.0,-0.7657641095674554,-0.0,-0.4019486829319536,-0.45854452819287234,0.0
2018-11-08,1.0,-0.0,-0.7674357766964893,-0.0,-0.3853398210641971,-0.46327107204520485,0.0
2018-11-09,1.0,-0.0,-0.768299711815562,-0.0,-0.3879224521875819,-0.4636363636363636,0.0
2018-11-12,1.0,-0.0,-0.75977128534503,-0.0,-0.38978094566721494,-0.46134565677136363,0.0
2018-11-13,1.0,-0.0,-0.7558912073082115,-0.0,-0.38451157479497555,-0.4548427281220804,0.0
2018-11-14,1.0,-0.0,-0.7556051484326345,-0.0,-0.38462736142827486,-0.4547176665974673,0.0
2018-11-15,1.0,-0.0,-0.7583663469557965,-0.0,-0.38539929107589654,-0.4625990408673895,0.0
2018-11-16,1.0,-0.0,-0.7594230117119233,-0.0,-0.38636304353496626,-0.46266009338237213,0.0
2018-11-19,1.0,-0.0,-0.7595022565413613,-0.0,-0.38650770876268487,-0.4627083713771424,0.0
2018-11-20,1.0,-0.0,-0.7482747885643127,-0.0,-0.3767965547657344,-0.4692315674778187,0.0
2018-11-21,1.0,-0.0,-0.7460730287892052,-0.0,-0.3743884225163516,-0.4546273883710151,0.0
2018-11-23,1.0,-0.0,-0.7366349369693851,-0.0,-0.3796758425520967,-0.45636737844095704,0.0
2018-11-26,1.0,-0.0,-0.7386910119583388,-0.0,-0.37811495435257814,-0.45487977369165494,0.0
2018-11-27,1.0,-0.0,-0.7387495837922291,-0.0,-0.372333068667879,-0.4502215505980585,0.0
2018-11-28,1.0,-0.0,-0.7388063524590164,-0.0,-0.3724129098360655,-0.45025614754098353,0.0
2018-11-29,1.0,-0.0,-0.7286890662329082,-0.0,-0.36476388959487627,-0.4481268743963809,0.0
2018-11-30,1.0,-0.0,-0.7299121354896219,-0.0,-0.3648032599006749,-0.4520565389023303,0.0
2018-12-03,1.0,-0.0,-0.7300868059975053,-0.0,-0.36417788865412515,-0.45136573072321357,0.0
2018-12-04,1.0,-0.0,-0.7330623650450908,-0.0,-0.358440238790804,-0.44882509843769847,0.0
