Date,IWF,IWM,MTUM,SPY,SWCH,VLUE,VXX
2018-09-24,-1.3203131437989288,-2.1514627111660483,-0.2784507622579316,-1.857849196538937,1.0,-1.6325504738360117,0.0
2018-09-25,-1.32045791467633,-2.149316422335694,-0.279690331082194,-1.8560368967221217,1.0,-1.630291549991764,0.0
2018-09-26,-1.3207609322243268,-2.1496335337231325,-0.28057316972741503,-1.8556369925059706,1.0,-1.6286749567652146,0.0
2018-09-27,-1.322949202696038,-2.1348841032385337,-0.2834949860266316,-1.8528686503370049,1.0,-1.6255137267795494,0.0
2018-09-28,-1.3215283483976992,-2.1343467543138863,-0.2845521774856204,-1.851684470008217,1.0,-1.6248151191454396,0.0
2018-10-01,-1.3216662558540795,-2.133431928354285,-0.2851860981020458,-1.8513680059157014,1.0,-1.6245172952099254,0.0
2018-10-02,-1.3216134067197896,-2.131191982255812,-0.2869465209890742,-1.850653084695638,1.0,-1.624332539226156,0.0
2018-10-03,-1.319524200164069,-2.116242821985234,-0.2853158326497129,-1.8525840853158329,1.0,-1.629778506972929,0.0
2018-10-04,-1.3339917695473251,-2.1085596707818928,-0.28847736625514403,-1.8722633744855968,1.0,-1.6271604938271604,0.0
2018-10-05,-1.304824202780049,-2.089125102207686,-0.2525756336876533,-1.8866721177432542,1.0,-1.6434178250204414,0.0
2018-10-08,-1.2990379911951737,-2.079161910973422,-0.2424588292842002,-1.8917332463720853,1.0,-1.640143486059025,0.0
2018-10-09,-1.2986303603456708,-2.079814120332627,-0.2405022012065873,-1.892711560410892,1.0,-1.64095874775803,0.0
2018-10-10,-1.3047298406963377,-2.1014944982755788,-0.23657415010674987,-1.9069633765807192,1.0,-1.6617671210379372,0.0
2018-10-11,-1.16598376497874,-2.0273676072671045,-0.06950135291843834,-1.8303826826439893,1.0,-1.6377270970235795,0.0
2018-10-12,-1.2189877348237852,-2.058764167054805,-0.05333022822543084,-1.8203695078403974,1.0,-1.6113181183046112,0.0
2018-10-15,-1.1738784600699967,-2.231466751511295,-0.0,-1.8702672605790647,1.0,-1.6785714285714286,0.0
2018-10-16,-1.16480179028133,-2.268302429667519,-0.0,-1.875319693094629,1.0,-1.6839034526854217,0.0
2018-10-17,-1.0938032532920217,-2.142215336948102,-0.0,-1.8355538342370255,1.0,-1.6743609604957397,0.0
2018-10-18,-1.093977960577371,-2.1419369858761446,-0.0,-1.8451032127890734,1.0,-1.679341921465156,0.0
2018-10-19,-1.049131399709191,-2.1013239458177084,-0.0,-1.8376827121757098,1.0,-1.6646514119537765,0.0
2018-10-22,-1.0529267168535874,-2.0859579044400065,-0.0,-1.8583499769549856,1.0,-1.6844369334767246,0.0
2018-10-23,-1.0597003457548981,-2.0870533999231657,-0.0,-1.8543219362274301,1.0,-1.6824433346139072,0.0
2018-10-24,-1.0541328017175278,-2.0799723968716455,-0.0,-1.8524766140162552,1.0,-1.6809538414353626,0.0
2018-10-25,-0.9678296329859537,-2.006041383476816,-0.0,-1.9330161607008,1.0,-1.6448421688566681,0.0
2018-10-26,-0.9155305275637227,-1.9571724955542382,-0.0,-1.9281268524007114,1.0,-1.6087729697688204,0.0
2018-10-29,-0.8782417582417582,-1.94996336996337,-0.0,-1.9006593406593406,1.0,-1.5971428571428572,0.0
2018-10-30,-0.8522160258291751,-1.955312591722923,-0.0,-1.9062958614616965,1.0,-1.6240093924273553,0.0
2018-10-31,-0.8608626081896865,-1.9010837151792856,-0.0,-1.9012291803040222,1.0,-1.6101534657065968,0.0
