Date,CENX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0442807415202784,-2.2995223832267464,-0.45284546264065406,-1.651825467497774,-1.6467254917833725,0.0
2018-09-25,1.0,-1.0665337652628955,-2.3737021347287985,-0.44031896336905063,-1.7137636016280422,-1.71193620732619,0.0
2018-09-26,1.0,-1.0908632004038366,-2.4130068988726237,-0.4591956924112401,-1.7360760558640418,-1.714033316506815,0.0
2018-09-27,1.0,-1.0920830519918974,-2.428342336259284,-0.4573767724510466,-1.7423193787981093,-1.7201215395003377,0.0
2018-09-28,1.0,-1.0900373387644264,-2.451035302104548,-0.4606245756958588,-1.7531398506449423,-1.731245756958588,0.0
2018-10-01,1.0,-1.0970308890219902,-2.4786514931120047,-0.46478993753743475,-1.7678617267048857,-1.7481817403953108,0.0
2018-10-02,1.0,-1.1019010104469944,-2.4526460010275732,-0.47542387395101904,-1.7761603014214764,-1.756978934749101,0.0
2018-10-03,1.0,-1.1004363076396613,-2.438360852083155,-0.4737787663615365,-1.77910856360681,-1.7633672683719737,0.0
2018-10-04,1.0,-1.2026214202352095,-2.5180895951162583,-0.4947481820630218,-1.9258461262231796,-1.836071460633809,0.0
2018-10-05,1.0,-1.1697456492637215,-2.5022757697456495,-0.4604194556001785,-1.939045069165551,-1.853190539937528,0.0
2018-10-08,1.0,-1.1625011118028996,-2.49186160277506,-0.45112514453437697,-1.9406741972783064,-1.848261140265054,0.0
2018-10-09,1.0,-1.1794358507734306,-2.5571428571428574,-0.4154686078252957,-2.016196542311192,-1.9308462238398545,0.0
2018-10-10,1.0,-1.1848647664147163,-2.556051361442491,-0.4203624442218377,-2.0205810035515888,-1.9247791640105636,0.0
2018-10-11,1.0,-1.0347863993025284,-2.5306887532693985,-0.23443766346992154,-1.9714036617262423,-1.9470793374019182,0.0
2018-10-12,1.0,-1.0600673168205748,-2.528350737895918,-0.21800293432294815,-1.9299214637093296,-1.8940191594027789,0.0
2018-10-15,1.0,-1.0215988297048448,-2.5878151622063505,-0.16315291283022118,-1.9295241373375787,-1.903020394114104,0.0
2018-10-16,1.0,-1.0179032535720434,-2.604062661387502,-0.1515751420210019,-1.930366672404889,-1.903425718712343,0.0
2018-10-17,1.0,-0.9769753610875106,-2.5175870858113845,-0.09354290569243841,-1.9493627867459644,-1.9587085811384877,0.0
2018-10-18,1.0,-0.9751062022090059,-2.5146134239592186,-0.0949872557349193,-1.9524214103653357,-1.9591333899745114,0.0
2018-10-19,1.0,-0.9406365779723813,-2.491158639272482,-0.05708992926911417,-1.9661502189289324,-1.9653081845739304,0.0
