Date,IWF,IWM,MTUM,PLYM,SPY,VLUE,VXX
2018-09-24,-0.6863190406976745,-1.1096475290697674,-0.0455577761627907,1.0,-0.941951308139535,-0.7586300872093024,0.0
2018-09-25,-0.6874227936130302,-1.1233472114196825,-0.03971267786063962,1.0,-0.9532415244544082,-0.7714690945692456,0.0
2018-09-26,-0.6913302752293579,-1.1297247706422018,-0.04458715596330275,1.0,-0.954954128440367,-0.7666055045871559,0.0
2018-09-27,-0.6957279061239457,-1.1184451778511184,-0.04794646131279795,1.0,-0.9552621928859553,-0.7664558122478915,0.0
2018-09-28,-0.6924560356306534,-1.124707286835943,-0.048992148399834706,1.0,-0.9568850727765278,-0.7685385003902842,0.0
2018-10-01,-0.6951084957705039,-1.124310408238323,-0.04877712394262597,1.0,-0.9593600588451637,-0.7697223243839647,0.0
2018-10-02,-0.6969836306786831,-1.1080099319477652,-0.05513150634541107,1.0,-0.9634449144748942,-0.774553981975354,0.0
2018-10-03,-0.6960036747818098,-1.0985760220486909,-0.05424896646761598,1.0,-0.9655029857602204,-0.7791456132292145,0.0
2018-10-04,-0.7204797909082423,-1.1030056940166153,-0.0556333426677868,1.0,-1.0027536637729861,-0.7854009147764399,0.0
2018-10-05,-0.7055032685799064,-1.0908711576800036,-0.03764662246743011,1.0,-1.0100143724790207,-0.7922481338958691,0.0
2018-10-08,-0.7094752595641193,-1.1003180245065942,-0.02609671686465251,1.0,-1.0356842203722758,-0.8052567580207651,0.0
2018-10-09,-0.7171992481203008,-1.1070488721804512,-0.03576127819548872,1.0,-1.0365601503759398,-0.8027255639097745,0.0
2018-10-10,-0.7173259419336653,-1.1066428638541765,-0.03546932255942874,1.0,-1.03664380343888,-0.8017946067838015,0.0
2018-10-11,-0.609715090652974,-1.0967419457445358,-0.0,1.0,-1.0111782614622622,-0.8263734266369792,0.0
2018-10-12,-0.615500911556761,-1.0727022099693184,-0.0,1.0,-0.9753212681755525,-0.7830939570456666,0.0
2018-10-15,-0.5758450672944522,-1.112379514058544,-0.0,1.0,-0.9691733664993559,-0.7845244969573135,0.0
2018-10-16,-0.5653930768194674,-1.1548511650877744,-0.0,1.0,-0.9773268082431644,-0.7921698917972433,0.0
2018-10-17,-0.5280958020792209,-1.0855814361538798,-0.0,1.0,-0.967846646488573,-0.8050182041496687,0.0
2018-10-18,-0.5522177143638601,-1.1551716278433697,-0.0,1.0,-1.0018689884669736,-0.8492501253589825,0.0
2018-10-19,-0.5268162097295301,-1.1623742268992894,-0.0,1.0,-1.0444475214621989,-0.8818886734976461,0.0
2018-10-22,-0.5270756457564576,-1.1584870848708486,-0.0,1.0,-1.0446033210332104,-0.882380073800738,0.0
2018-10-23,-0.5406270290325572,-1.1678879510249511,-0.0,1.0,-1.043966236898247,-0.8853074853909656,0.0
