Date,IWF,IWM,MTUM,SPY,TRV,VLUE,VXX
2018-09-24,-0.20582314157733153,-0.2900749911923096,-0.09283305652020736,-0.46640495243847196,1.0,-0.46132165685238313,0.0
2018-09-25,-0.2049046046828137,-0.29248683116163016,-0.09050583461451217,-0.4684325931900093,1.0,-0.4640471809864657,0.0
2018-09-26,-0.20436703268963777,-0.29259119020573016,-0.08759308342799445,-0.4704026252682065,1.0,-0.46931717783667803,0.0
2018-09-27,-0.2035407182599899,-0.29759736975214973,-0.0864693980778958,-0.47126960040465354,1.0,-0.47023267577137084,0.0
2018-09-28,-0.20213492525232082,-0.2991677838767612,-0.08686413882073205,-0.47115068423848433,1.0,-0.47024005261427165,0.0
2018-10-01,-0.20174617233961786,-0.300341642414273,-0.08715677590788308,-0.4709603947867898,1.0,-0.4704795647222573,0.0
2018-10-02,-0.2016617270815918,-0.30703954201180433,-0.08541682498670111,-0.4698431998378803,1.0,-0.46918458849456646,0.0
2018-10-03,-0.2014588926599463,-0.3006433311382402,-0.08441821589585127,-0.47251912263816426,1.0,-0.47373486652145286,0.0
2018-10-04,-0.20282553105299136,-0.29822518165936657,-0.08476593158974101,-0.47401068435577387,1.0,-0.47201053244550223,0.0
2018-10-05,-0.19045331580411093,-0.29095138169039014,-0.07273784542259754,-0.4869415720678583,1.0,-0.48716911485854425,0.0
2018-10-08,-0.18940618056958192,-0.289057766107857,-0.0710715007069279,-0.48833568975964453,1.0,-0.4868965865481721,0.0
2018-10-09,-0.18684516880093133,-0.29177000556764693,-0.06223110796173508,-0.49476135040745056,1.0,-0.49514096269676566,0.0
2018-10-10,-0.18739089736129733,-0.29078857489817084,-0.06299491486831785,-0.495155210362537,1.0,-0.49358666228147846,0.0
2018-10-11,-0.16583875614723562,-0.2826983259649297,-0.03790174357955392,-0.49391485768218174,1.0,-0.5033778749192788,0.0
2018-10-12,-0.1632895714639584,-0.2798117413921229,-0.0339360911567996,-0.4955907852365618,1.0,-0.5044587565023533,0.0
2018-10-15,-0.14869584602808947,-0.306259443660053,-0.01243466845012509,-0.49860048054296396,1.0,-0.5110599192489659,0.0
2018-10-16,-0.1478362109539498,-0.3099655676385345,-0.009710421362926998,-0.4986994971388937,1.0,-0.5109613812578959,0.0
2018-10-17,-0.13994119088458712,-0.29120313648615537,-0.002401372212692967,-0.4990933594707179,1.0,-0.5177162460181328,0.0
