Date,ADBE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5125890016664142,-0.49483411604302374,-0.4504469019845478,-0.36694440236327824,-0.20502954097863957,0.0
2018-09-25,1.0,-0.5160488588488467,-0.49301366956627163,-0.45518746400751675,-0.3651380595883975,-0.20155790622253206,0.0
2018-09-26,1.0,-0.517792676637442,-0.49555562297121014,-0.4583927433789401,-0.36492430907381,-0.19703910445044442,0.0
2018-09-27,1.0,-0.519645888915838,-0.4904195973805481,-0.4597986902740722,-0.36496483143342223,-0.1969439728353141,0.0
2018-09-28,1.0,-0.5191608052389037,-0.4906621392190153,-0.4597986902740722,-0.3649951491632306,-0.19715619694397282,0.0
2018-10-01,1.0,-0.5195864410890789,-0.49011582075071247,-0.4596143350918683,-0.36535079740464493,-0.1972894305985083,0.0
2018-10-02,1.0,-0.523094688221709,-0.46803208946152913,-0.46739394676066615,-0.37386045946274465,-0.20645435760301448,0.0
2018-10-03,1.0,-0.523557502205189,-0.4722450345226146,-0.4678346564467561,-0.3731484016181525,-0.20485445752349665,0.0
2018-10-04,1.0,-0.5274862340665023,-0.46630768762739194,-0.4680721608712847,-0.37887499619725595,-0.2014541693285875,0.0
2018-10-05,1.0,-0.5286144120596906,-0.46603653162325626,-0.4687414521472206,-0.3778378871227548,-0.1980062608272802,0.0
2018-10-08,1.0,-0.5274978754400874,-0.46342721864756586,-0.46603739225446156,-0.38069078548015056,-0.19740196673546195,0.0
2018-10-09,1.0,-0.5369334678035512,-0.46948442895999515,-0.4803948534580239,-0.37856422480975516,-0.19076434094312522,0.0
2018-10-10,1.0,-0.5370675956484537,-0.4694108299718861,-0.48050360591614716,-0.37846840239579516,-0.19041070773744043,0.0
2018-10-11,1.0,-0.5331817492799757,-0.4660906472639078,-0.4758526603001364,-0.3727148703956344,-0.1838714567227528,0.0
2018-10-12,1.0,-0.5491574299360188,-0.46099546423958426,-0.4804001081373344,-0.35399957946592175,-0.15926226307410413,0.0
2018-10-15,1.0,-0.5583140007833449,-0.4513271670031032,-0.4901027386942244,-0.35557831942394025,-0.1575125787110964,0.0
2018-10-16,1.0,-0.569465602339894,-0.4370848820912802,-0.507098897081226,-0.3650600207178112,-0.1680580098714277,0.0
2018-10-17,1.0,-0.5900205273961787,-0.4928469919469446,-0.5112584872888047,-0.3860729512079583,-0.17783041212695405,0.0
2018-10-18,1.0,-0.5908760623005719,-0.4942975389378574,-0.5105993112817111,-0.385461093735191,-0.17799260733579758,0.0
2018-10-19,1.0,-0.5914232599174466,-0.4916658789425592,-0.5112014368087721,-0.3838737120710842,-0.17273214229448278,0.0
2018-10-22,1.0,-0.5897055574841418,-0.4981222583393821,-0.5163947360116136,-0.3808186322466627,-0.17082715309117302,0.0
2018-10-23,1.0,-0.5953428038092827,-0.5000790964026955,-0.525864523681463,-0.37425253899452654,-0.16831714493624828,0.0
2018-10-24,1.0,-0.5982351824909862,-0.49639445885255234,-0.5198621038648871,-0.37684230501613003,-0.17142134227338857,0.0
2018-10-25,1.0,-0.5878378378378378,-0.4753705318221447,-0.522076223689127,-0.3753580769709802,-0.15307012081205632,0.0
2018-10-26,1.0,-0.590744101633394,-0.48013017084923965,-0.5246886538581889,-0.37564928969272177,-0.15789473684210528,0.0
