Date,FCX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6440038246691158,-1.05752101051784,-0.2547934175431533,-1.0595339942629964,-1.0167077650847969,0.0
2018-09-25,1.0,-0.6430407823763674,-1.0619549327015174,-0.25134849019509,-1.0632656147602964,-1.0214750214246107,0.0
2018-09-26,1.0,-0.6473024853505759,-1.0682966255809254,-0.2576278035966862,-1.0640533441099211,-1.0142453020812285,0.0
2018-09-27,1.0,-0.6466237779241174,-1.0791246644040322,-0.2558634314371106,-1.0668659135808722,-1.0171723823514514,0.0
2018-09-28,1.0,-0.6432336543335022,-1.0833755701976684,-0.2568677141409022,-1.0671059300557526,-1.0177901672579828,0.0
2018-10-01,1.0,-0.6431141973744234,-1.083683917076385,-0.2573369152009732,-1.0668558974099043,-1.0177910689847434,0.0
2018-10-02,1.0,-0.6430745814307458,-1.0943176052765093,-0.2549974632166413,-1.06519533231862,-1.0159817351598175,0.0
2018-10-03,1.0,-0.6438843437166523,-1.07769703745109,-0.25199451191625594,-1.075867676203059,-1.0320646374307638,0.0
2018-10-04,1.0,-0.6462194688467985,-1.0721068399939067,-0.25288173462651703,-1.0783019346976084,-1.028436500279287,0.0
2018-10-05,1.0,-0.6324816594991147,-1.0639008348090058,-0.23769289147482925,-1.0870225145459147,-1.0383506197824437,0.0
2018-10-08,1.0,-0.6308741788782214,-1.0615462354724607,-0.2353713996968166,-1.0877716018191006,-1.0374936836786257,0.0
2018-10-09,1.0,-0.6287403962798221,-1.0626263647391831,-0.2293772745653053,-1.0913869793772746,-1.0424080064698746,0.0
2018-10-10,1.0,-0.629156139464376,-1.0615967660434564,-0.2298635674583123,-1.0917635169277413,-1.0406265790803437,0.0
2018-10-11,1.0,-0.558625104643719,-1.0641158221303,-0.12921652632097305,-1.0897227557000049,-1.082680848968336,0.0
2018-10-12,1.0,-0.6111194066995171,-1.095216763725051,-0.12368722313473694,-1.0826738340550495,-1.0646558160370314,0.0
2018-10-15,1.0,-0.5752417405318292,-1.2015008058017729,-0.05454270749395649,-1.1058118452860597,-1.0991639806607576,0.0
