Date,IWF,IWM,MTUM,SAP,SPY,VLUE,VXX
2018-09-24,-0.2924776837097475,-0.3178504744609561,-0.1647696754226667,1.0,-0.41547944855103974,-0.36716372100161143,0.0
2018-09-25,-0.29409057202035443,-0.31649065384713737,-0.16733577108957476,1.0,-0.4141458050988314,-0.36497302273250315,0.0
2018-09-26,-0.3065071171593931,-0.3399812294697325,-0.1767558266854372,1.0,-0.4246050367589551,-0.3591688826320455,0.0
2018-09-27,-0.3070127433351575,-0.33831079144189924,-0.17723399265108278,1.0,-0.4244390587131576,-0.359002423579079,0.0
2018-09-28,-0.3043410205572368,-0.3420118960659501,-0.17768444119795473,1.0,-0.4249713033496817,-0.35977773139935304,0.0
2018-10-01,-0.3096474661630469,-0.3433532682824467,-0.17624068828034833,1.0,-0.43080474241947325,-0.3629734550414437,0.0
2018-10-02,-0.309945968630331,-0.34052877301578977,-0.17738551119970622,1.0,-0.43133294864397004,-0.363688821276819,0.0
2018-10-03,-0.3103050028872907,-0.34345634941466746,-0.17780460916583546,1.0,-0.43075752007979423,-0.36245997165205524,0.0
2018-10-04,-0.3107991077286445,-0.34242225429733636,-0.17803437869046057,1.0,-0.43128198399160217,-0.3617897913659625,0.0
2018-10-05,-0.30412842837346726,-0.33639239678929067,-0.17201349125421603,1.0,-0.4355897194551207,-0.3664339686772819,0.0
2018-10-08,-0.3047666413632438,-0.3377745203256289,-0.17247336596602364,1.0,-0.4355155354291548,-0.3670654137109651,0.0
2018-10-09,-0.3120391826416684,-0.342295133768696,-0.18364230040025278,1.0,-0.4336423004002528,-0.36162313039814625,0.0
2018-10-10,-0.3170789724072312,-0.34263664235119995,-0.18738767311555135,1.0,-0.4385505867427847,-0.3573316418226028,0.0
2018-10-11,-0.31574923547400613,-0.34063587472318885,-0.18343351260149743,1.0,-0.44020879468522617,-0.3562691131498471,0.0
2018-10-12,-0.3259763637786648,-0.3337507500456549,-0.18431556703451515,1.0,-0.4262607289139339,-0.3385249536928335,0.0
