Date,BIDU,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5734913444426468,-0.713840802459149,-0.24935285552499598,-0.7603543116000647,-0.7476541012781103,0.0
2018-09-25,1.0,-0.5734740929498847,-0.7139101241758685,-0.24936294139060794,-0.7603850665372325,-0.7477247906807426,0.0
2018-09-26,1.0,-0.5737340236207734,-0.7142048212263388,-0.25004044652968777,-0.760152078951626,-0.7465215984468534,0.0
2018-09-27,1.0,-0.5790154916474538,-0.7036362900942442,-0.25344820612385227,-0.7615176151761517,-0.7471989645269587,0.0
2018-09-28,1.0,-0.5798608301642528,-0.7032122339995145,-0.2537017558054859,-0.7615907435876689,-0.7472691965369367,0.0
2018-10-01,1.0,-0.5814311154282015,-0.7021207706006152,-0.25348065403917763,-0.7627489072365226,-0.7474502185526956,0.0
2018-10-02,1.0,-0.5812720132788146,-0.7056394477956358,-0.2529047406987571,-0.7619934415610704,-0.746649933201085,0.0
2018-10-03,1.0,-0.5866922323759791,-0.7322127937336814,-0.2556298955613577,-0.7630140339425587,-0.7420855091383812,0.0
2018-10-04,1.0,-0.5932715469726044,-0.7239619483117625,-0.25652227166945657,-0.771975666516964,-0.7371085616298534,0.0
2018-10-05,1.0,-0.5894290720893272,-0.7210562777619299,-0.249439667468112,-0.7750927095643669,-0.7401279595745548,0.0
2018-10-08,1.0,-0.5887047518221425,-0.7196547090679588,-0.24809642086404168,-0.7756423307137913,-0.7396880980495948,0.0
2018-10-09,1.0,-0.5888676249032941,-0.7196954273382467,-0.24809642086404168,-0.7756423307137913,-0.7395252249684433,0.0
2018-10-10,1.0,-0.5884270578647106,-0.7216381418092909,-0.2464955175224124,-0.7762428687856561,-0.7421760391198043,0.0
2018-10-11,1.0,-0.541333651437433,-0.7180007157342241,-0.1774623245457076,-0.7706469442124936,-0.7688576086524316,0.0
2018-10-12,1.0,-0.5740512616729585,-0.7258096562686271,-0.1742499503278363,-0.7541426584542024,-0.7455593085634811,0.0
2018-10-15,1.0,-0.5722853284613552,-0.7287314322027166,-0.16939391532290093,-0.7549050758598777,-0.7464453093970926,0.0
2018-10-16,1.0,-0.5741881632815296,-0.7238761477006241,-0.17373504511308083,-0.7555149250765134,-0.7473667474859892,0.0
2018-10-17,1.0,-0.5574014575660214,-0.6827442990361257,-0.1548467988402163,-0.7582086043413525,-0.7649870699788418,0.0
2018-10-18,1.0,-0.5584914536615965,-0.684843970519053,-0.15375568449114005,-0.7577230672730125,-0.7655637447075428,0.0
2018-10-19,1.0,-0.5563639208323555,-0.6816475005867167,-0.14664006884143002,-0.7599546272393022,-0.7668387702417273,0.0
2018-10-22,1.0,-0.55904095122619,-0.6747369656197442,-0.13900731411585246,-0.7663394219110572,-0.7722063597606289,0.0
2018-10-23,1.0,-0.566495310599223,-0.6782168504493192,-0.15072793627123965,-0.7592120237020759,-0.7695326295962014,0.0
