Date,INMD,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-04-06,1.0,-1.166675590298228,-1.1632489157787653,-0.7162820581463833,-1.2484874444503935,-0.05943138619692671,0.0
2020-04-07,1.0,-1.1186563682546264,-1.1103105074905395,-0.6794878440723654,-1.231092219169561,-0.04421751075631123,0.0
2020-04-08,1.0,-1.12086487607591,-1.1101835528362543,-0.6835528362542778,-1.231826195167479,-0.038680908430986205,0.0
2020-04-09,1.0,-1.12722122070564,-1.07736286376513,-0.6948750965748134,-1.227143960855009,-0.024053566829770796,0.0
2020-04-13,1.0,-1.1430187708922601,-1.0312162509642582,-0.7080997685780406,-1.2299305734121881,-0.030444844433016198,0.0
2020-04-14,1.0,-1.1487271792234508,-1.015479557726922,-0.7220365132424788,-1.2283877603497042,-0.028079197737207504,0.0
2020-04-15,1.0,-1.1072250345144963,-1.040292478396482,-0.685023265326993,-1.2257503707112543,-0.05496753080738354,0.0
2020-04-16,1.0,-1.1245598816145328,-1.0217380211256823,-0.6948002245241619,-1.2316681124661937,-0.03005562075827933,0.0
2020-04-17,1.0,-1.1115772241264643,-1.0475264746508415,-0.6708957896352382,-1.2392182943674221,-0.04670793472144062,0.0
2020-04-20,1.0,-1.1236098357310478,-1.0268850117334967,-0.6801856953372105,-1.2359963269054177,-0.03479236812570146,0.0
2020-04-21,1.0,-1.1284731073158298,-1.037471322967117,-0.6863624776956411,-1.2317104256946216,-0.01412184552638287,0.0
2020-04-22,1.0,-1.118628594613785,-1.052188466805295,-0.6670385961353147,-1.2339098240097377,-0.0,0.0
2020-04-23,1.0,-1.0968723069904192,-1.0804988087392913,-0.6524053327926193,-1.2327774116692858,-0.006691336746590967,0.0
2020-04-24,1.0,-1.0954215890077574,-1.0841149926481775,-0.6510165796278456,-1.2316584698068245,-0.007960249454951072,0.0
2020-04-27,1.0,-1.0944018677358778,-1.07679033649698,-0.6550779069177282,-1.2386946150332436,-0.010353753235547887,0.0
2020-04-28,1.0,-1.1,-1.0677991886409737,-0.6556795131845842,-1.2433062880324546,-0.004208924949290061,0.0
2020-04-29,1.0,-1.1085224100299478,-1.0589817775747425,-0.6619460941068982,-1.2464341911578094,-0.0,0.0
2020-04-30,1.0,-1.1057711744491612,-1.0273398019001414,-0.666565595310289,-1.2538912472205377,-0.0,0.0
2020-05-01,1.0,-1.144955429497569,-0.9741693679092382,-0.6730145867098866,-1.2726904376012966,-0.0,0.0
2020-05-04,1.0,-1.14452296819788,-0.960524987380111,-0.6677435638566381,-1.2752145381120648,-0.0,0.0
2020-05-05,1.0,-1.1435276305828919,-0.9613424173605855,-0.6626797880393642,-1.2791319707292457,-0.0,0.0
2020-05-06,1.0,-1.146596594067411,-0.9603314972964777,-0.6664308454191722,-1.279953509525494,-0.0,0.0
2020-05-07,1.0,-1.143926746597865,-0.9629179946375271,-0.6644913239237111,-1.287600546365154,-0.0,0.0
2020-05-08,1.0,-1.1419367929792523,-0.9574392532846344,-0.6836605285851975,-1.2897580276974585,-0.0,0.0
2020-05-11,1.0,-1.1437915124473965,-0.9518835876894995,-0.6831617908026163,-1.2913856918318714,-0.0,0.0
2020-05-12,1.0,-1.1583724250458902,-0.9389659392208852,-0.7126249235162145,-1.2889047521925352,-0.0,0.0
2020-05-13,1.0,-1.160002037593602,-0.9325556517752535,-0.7076562579593499,-1.2937191177219702,-0.0,0.0
2020-05-14,1.0,-1.163249694002448,-0.9365565075479396,-0.6992044063647491,-1.3009485924112607,-0.0,0.0
2020-05-15,1.0,-1.1610156528832918,-0.9427420588385255,-0.7014225258756946,-1.2934788150716363,-0.0,0.0
2020-05-18,1.0,-1.1626057702110308,-0.9373024773167499,-0.698287287185238,-1.2991130594352125,-0.0,0.0
2020-05-19,1.0,-1.1703003506632108,-0.8906845555724958,-0.7293286578238553,-1.29176195558266,-0.0,0.0
2020-05-20,1.0,-1.1736523903876441,-0.8833511151755321,-0.7323070670121424,-1.2912157699537672,-0.0,0.0
2020-05-21,1.0,-1.1723840454683851,-0.8703948036131127,-0.7404343854663554,-1.2913325890591696,-0.0,0.0
