Date,IWF,IWM,KEX,MTUM,SPY,VLUE,VXX
2018-09-24,-0.4543942133815551,-0.8126582278481013,1.0,-0.05182640144665461,-0.65124773960217,-0.6465099457504521,0.0
2018-09-25,-0.4536993445116431,-0.8151595263100714,1.0,-0.04983160105747293,-0.6534603266577337,-0.6493318364538442,0.0
2018-09-26,-0.45745414926457234,-0.8211367350644635,1.0,-0.05483929544216452,-0.654657708371164,-0.6436172144543308,0.0
2018-09-27,-0.4652423933614791,-0.8105619449701558,1.0,-0.05888775658756733,-0.6585019653515796,-0.6463459018780026,0.0
2018-09-28,-0.46331076654291325,-0.8121860668268182,1.0,-0.05958360631870132,-0.6583315134308801,-0.6464293513867657,0.0
2018-10-01,-0.46288877558452907,-0.8137519120110714,1.0,-0.06005535727292593,-0.6583145167164397,-0.6469517080632238,0.0
2018-10-02,-0.4648764847336589,-0.7985134445820885,1.0,-0.06583837353348393,-0.66261021642498,-0.6516432266997013,0.0
2018-10-03,-0.46472046067497635,-0.7877760769735404,1.0,-0.0641081711495007,-0.6678693782345652,-0.6600699759457686,0.0
2018-10-04,-0.46372839235463953,-0.794868983664072,1.0,-0.06428388700069437,-0.6668493951686584,-0.6648393816467493,0.0
2018-10-05,-0.4545454545454545,-0.7890312249799839,1.0,-0.05298784482131159,-0.6716282116602372,-0.67111871315234,0.0
2018-10-08,-0.4527773738548786,-0.7859531772575251,1.0,-0.047658862876254184,-0.677402937327323,-0.6715500945179584,0.0
2018-10-09,-0.4529756062093286,-0.7861271676300579,1.0,-0.04784236739738976,-0.6772821463627441,-0.6712473188642891,0.0
2018-10-10,-0.45352133149211427,-0.7851588051457229,1.0,-0.04840468057271605,-0.6774838287666256,-0.669452721854786,0.0
2018-10-11,-0.43696064740215557,-0.7788520070182977,1.0,-0.024492426683854332,-0.6702832384430837,-0.6701042002363304,0.0
2018-10-12,-0.4425626701552169,-0.7698617544107766,1.0,-0.019375596648163206,-0.6531838913835165,-0.6507442633384011,0.0
2018-10-15,-0.4458330383063088,-0.7675423068753098,1.0,-0.02021525171705728,-0.6552078170360406,-0.651525879770587,0.0
2018-10-16,-0.4430797628767172,-0.7869440204465584,1.0,-0.007489971956977032,-0.6584785772603031,-0.6537219126051612,0.0
2018-10-17,-0.4244106862231535,-0.7481403876375066,1.0,-0.0,-0.655596298236424,-0.6641173389209011,0.0
2018-10-18,-0.4268446499894891,-0.7553079672062224,1.0,-0.0,-0.6549646135519585,-0.6664914862308178,0.0
2018-10-19,-0.42577837059917867,-0.7598722313875532,1.0,-0.0,-0.6564287970795747,-0.6680122152409703,0.0
2018-10-22,-0.4261443414771131,-0.7596180848076383,1.0,-0.0,-0.6564167368716652,-0.6680356641392867,0.0
2018-10-23,-0.42632502632502633,-0.7595647595647597,1.0,-0.0,-0.6562302562302562,-0.667883467883468,0.0
2018-10-24,-0.4287586329024261,-0.7769080927926333,1.0,-0.0,-0.663644412962635,-0.6723924207543829,0.0
2018-10-25,-0.4089430331556725,-0.7445836505848966,1.0,-0.0,-0.658129715511871,-0.6492697445836506,0.0
2018-10-26,-0.39651625291455217,-0.7327184199698258,1.0,-0.0,-0.658894527499657,-0.6407900150870937,0.0
2018-10-29,-0.35148462540946074,-0.8028600612870276,1.0,-0.0,-0.6721496248811243,-0.6957134303124229,0.0
2018-10-30,-0.4083775339678849,-0.83673617670566,1.0,-0.0,-0.7029354065247402,-0.6849160793431665,0.0
2018-10-31,-0.40801497302653306,-0.8555543322690741,1.0,-0.0,-0.7117692392381372,-0.6945575984439796,0.0
2018-11-01,-0.3824241979296674,-0.8782394831510167,1.0,-0.0,-0.7130166654430659,-0.6971587989134425,0.0
2018-11-02,-0.3860583941605839,-0.8553649635036495,1.0,-0.0,-0.7166788321167882,-0.6915328467153284,0.0
2018-11-05,-0.3801731380355773,-0.8740548635716112,1.0,-0.0,-0.7194725499506885,-0.678964093947474,0.0
2018-11-06,-0.38475585259851725,-0.8775793433402724,1.0,-0.0,-0.7160804937730543,-0.6737518717358753,0.0
2018-11-07,-0.385916730748105,-0.8798564575780878,1.0,-0.0,-0.7197993335530412,-0.6762239554725549,0.0
2018-11-08,-0.3624682395644283,-0.8788747731397459,1.0,-0.0,-0.7095099818511796,-0.6789110707803993,0.0
2018-11-09,-0.3627717884496715,-0.878761479545537,1.0,-0.0,-0.7093905404914879,-0.6789720135032125,0.0
2018-11-12,-0.36209202298767484,-0.8626161130588788,1.0,-0.0,-0.7143166949795785,-0.6753894531391187,0.0
