Date,BBL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3984840679961733,-0.6439399514313047,-0.09301641033188608,-0.7659871955257929,-0.7780189859445139,0.0
2018-09-25,1.0,-0.3997940343521277,-0.6423921438817168,-0.09533267130089373,-0.7645371289859869,-0.7758652396189635,0.0
2018-09-26,1.0,-0.40422077922077926,-0.6494244391971665,-0.1014241440377804,-0.7657172373081464,-0.7686688311688311,0.0
2018-09-27,1.0,-0.40350293759006767,-0.6547315523038836,-0.10043232457598936,-0.7667294830580498,-0.7697224993533607,0.0
2018-09-28,1.0,-0.40095368351014676,-0.6576350127527447,-0.1012087384023953,-0.7667171847854212,-0.7699330942963812,0.0
2018-10-01,1.0,-0.4007172169026581,-0.6583237827646123,-0.10159340456209102,-0.766423897371437,-0.7699730119412918,0.0
2018-10-02,1.0,-0.40235876959479444,-0.6449645075421473,-0.10662525879917184,-0.7696317657497782,-0.7735507246376812,0.0
2018-10-03,1.0,-0.4019586104951959,-0.6370288248337029,-0.10561714708056172,-0.7723577235772358,-0.7785291943828528,0.0
2018-10-04,1.0,-0.40815798232313893,-0.6293036500129433,-0.10646795606671351,-0.780592433711771,-0.7735660663437004,0.0
2018-10-05,1.0,-0.3933471013423809,-0.61996607169199,-0.09109013128780055,-0.7939961646260509,-0.7894232187638295,0.0
2018-10-08,1.0,-0.39373362364837433,-0.6211757759161531,-0.09096948001623796,-0.7943314758091301,-0.7902350813743219,0.0
2018-10-09,1.0,-0.39373362364837433,-0.6212126803705208,-0.09085876665313504,-0.7944421891722331,-0.7902350813743219,0.0
2018-10-10,1.0,-0.39565265527549176,-0.6195150754696092,-0.09296232055209064,-0.7958076539838359,-0.7865077314831901,0.0
2018-10-11,1.0,-0.3556732605484092,-0.6099881093935791,-0.04078838323784816,-0.7914099376643966,-0.8053904082441538,0.0
2018-10-12,1.0,-0.3719692911980003,-0.6042135332976254,-0.037136225673986785,-0.7738261024816997,-0.7836100696304231,0.0
2018-10-15,1.0,-0.35398230088495575,-0.6362046817013989,-0.010205538110191266,-0.7768698258635455,-0.7911433057379389,0.0
2018-10-16,1.0,-0.35133107021618726,-0.6512774700732535,-0.0,-0.7786671431123816,-0.7920671788458102,0.0
2018-10-17,1.0,-0.32820259941530766,-0.609982036560882,-0.0,-0.7775351343735691,-0.80652319396992,0.0
2018-10-18,1.0,-0.33008543387700345,-0.6156887665042716,-0.0,-0.7763538798277201,-0.8081621125467768,0.0
2018-10-19,1.0,-0.31929467139695805,-0.6067652534335594,-0.0,-0.7777933893006428,-0.8087744564262883,0.0
2018-10-22,1.0,-0.3191795736311594,-0.5981456116320725,-0.0,-0.7821444877603344,-0.8126646296491414,0.0
2018-10-23,1.0,-0.325647604653615,-0.5996274296158307,-0.0,-0.7784260658676321,-0.8111138448560684,0.0
2018-10-24,1.0,-0.3245231224044485,-0.6028366298303653,-0.0,-0.780073203350461,-0.8119588935032026,0.0
2018-10-25,1.0,-0.3003884629928839,-0.5665028017463646,-0.0,-0.7807762384406477,-0.7900580975626526,0.0
2018-10-26,1.0,-0.28644928276943,-0.555248901155065,-0.0,-0.7838767930764251,-0.7816620668506594,0.0
2018-10-29,1.0,-0.2589143070804582,-0.5704476698732112,-0.0,-0.7750093477004657,-0.7947924810496617,0.0
2018-10-30,1.0,-0.2544175615060487,-0.5703751529155906,-0.0,-0.7750441756150606,-0.7982873453853473,0.0
2018-10-31,1.0,-0.2585601404741001,-0.5517998244073749,-0.0,-0.7728101573580063,-0.7936111298710069,0.0
