Date,FSM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6283794945212268,-1.618302956885634,-0.0,-1.1816529926766148,-1.0780243378668577,0.0
2018-09-25,1.0,-0.6336066927183664,-1.6159392371621997,-0.0,-1.1800319225053664,-1.0743023831801422,0.0
2018-09-26,1.0,-0.6356879370148102,-1.618234873093652,-0.0,-1.1804217364972747,-1.0713538512360292,0.0
2018-09-27,1.0,-0.6363235375199867,-1.622263880465347,-0.0,-1.1818933671500247,-1.0730550807741082,0.0
2018-09-28,1.0,-0.6375117189654221,-1.6217393702090113,-0.0,-1.1821540837147742,-1.0734020845971435,0.0
2018-10-01,1.0,-0.6381368106973145,-1.6269753563929714,-0.0,-1.1839982318488231,-1.0762515195049176,0.0
2018-10-02,1.0,-0.6390607734806629,-1.6255801104972376,-0.0,-1.1838674033149172,-1.0764088397790055,0.0
2018-10-03,1.0,-0.6398028137808796,-1.6095048188767032,-0.0,-1.1957460950481886,-1.0938850116317713,0.0
2018-10-04,1.0,-0.6581678196831064,-1.6055567953581789,-0.0,-1.221546529792457,-1.0938406605668378,0.0
2018-10-05,1.0,-0.6219321731369924,-1.5948237394020528,-0.0,-1.242302543507363,-1.1188085676037485,0.0
2018-10-08,1.0,-0.6149268672487626,-1.5860630665702686,-0.0,-1.2453144986374507,-1.115121517156999,0.0
2018-10-09,1.0,-0.6082091650267079,-1.6037672195670507,-0.0,-1.268147315153219,-1.1425920719707618,0.0
2018-10-10,1.0,-0.6140820980615735,-1.63175598631699,-0.0,-1.2856328392246295,-1.1697833523375143,0.0
2018-10-11,1.0,-0.45049093027125975,-1.6339379819160147,-0.0,-1.2520663449270537,-1.2107394463859766,0.0
2018-10-12,1.0,-0.446011673151751,-1.6007890185905749,-0.0,-1.2017942066580198,-1.1556420233463034,0.0
2018-10-15,1.0,-0.39588619554067916,-1.6502726340225666,-0.0,-1.1941370188414404,-1.158397667764401,0.0
2018-10-16,1.0,-0.38981586478751556,-1.6607268211026514,-0.0,-1.1925049948701334,-1.156811922890005,0.0
2018-10-17,1.0,-0.3440555703980764,-1.5923056371894202,-0.0,-1.2050761421319798,-1.2018701576275714,0.0
2018-10-18,1.0,-0.3429487179487179,-1.590491452991453,-0.0,-1.2065705128205126,-1.201869658119658,0.0
2018-10-19,1.0,-0.3073783696702825,-1.590376973472237,-0.0,-1.2424551605627752,-1.2297282783804104,0.0
2018-10-22,1.0,-0.30829488142504563,-1.5846657366670245,-0.0,-1.2425152913402726,-1.2299066423435991,0.0
2018-10-23,1.0,-0.3172828890799656,-1.5882416165090285,-0.0,-1.2391981943250214,-1.229256233877902,0.0
2018-10-24,1.0,-0.3126978166407382,-1.5848398691057348,-0.0,-1.238238291937128,-1.2287430931816963,0.0
2018-10-25,1.0,-0.23120711562897078,-1.4698348157560355,-0.0,-1.233189326556544,-1.1483608640406606,0.0
2018-10-26,1.0,-0.19654846831724718,-1.5165757448594208,-0.0,-1.3377045740663032,-1.1946600923206043,0.0
2018-10-29,1.0,-0.14724537401058868,-1.5501389107301986,-0.0,-1.3268333595429052,-1.2177491219793468,0.0
2018-10-30,1.0,-0.15119085090756476,-1.551096422201238,-0.0,-1.3276151505613263,-1.2161368167033888,0.0
2018-10-31,1.0,-0.1557529436066928,-1.5019107622392065,-0.0,-1.310937822763892,-1.1956207395166287,0.0
2018-11-01,1.0,-0.12406499871034304,-1.5274181067835957,-0.0,-1.3102398761929326,-1.1969048233169977,0.0
2018-11-02,1.0,-0.128822182650725,-1.4756041719664208,-0.0,-1.3058763673365557,-1.1774612058000509,0.0
2018-11-05,1.0,-0.12261511065886542,-1.4937674891885018,-0.0,-1.3076062070719918,-1.1637751208343932,0.0
2018-11-06,1.0,-0.1378640776699029,-1.5117526826775676,-0.0,-1.305058763413388,-1.1551354113438936,0.0
2018-11-07,1.0,-0.13786198398028343,-1.5230540151981928,-0.0,-1.3107927705894435,-1.1628157732593962,0.0
2018-11-08,1.0,-0.0813918152350081,-1.5226904376012966,-0.0,-1.289708265802269,-1.1710899513776338,0.0
2018-11-09,1.0,-0.08296589123713952,-1.5233389083168618,-0.0,-1.2898991434798033,-1.172013582687142,0.0
2018-11-12,1.0,-0.08061921994370727,-1.4997486932046642,-0.0,-1.284981905910736,-1.1608363490148774,0.0
2018-11-13,1.0,-0.05652973026675277,-1.4874571556306195,-0.0,-1.275644528339377,-1.14783170234961,0.0
2018-11-14,1.0,-0.05606219165794588,-1.4936961180046844,-0.0,-1.2804106244082325,-1.153087158020631,0.0
2018-11-15,1.0,-0.06349774866966844,-1.5475337699549734,-0.0,-1.343941874744167,-1.1616864510847318,0.0
