Date,HHR,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-06,1.0,-0.2590096162487643,-1.1945717623797971,-3.0717174440550012,-2.6959647703783594,-0.7657949132740182,0.0
2020-01-07,1.0,-0.25473986881121397,-1.1944469404259141,-3.074040794321143,-2.690448378111241,-0.7719471650642465,0.0
2020-01-08,1.0,-0.2556991563453599,-1.1892837910608507,-3.0693771315742238,-2.681385747621612,-0.7794830371567043,0.0
2020-01-09,1.0,-0.24540976265114198,-1.1897895208240037,-3.064039408866995,-2.672279444693238,-0.7850425436632333,0.0
2020-01-10,1.0,-0.23474304068522484,-1.1951284796573878,-3.046752319771592,-2.6565845824411136,-0.7889007851534618,0.0
2020-01-13,1.0,-0.23741265006271278,-1.1979931911843757,-3.0751657409066477,-2.661351012363376,-0.7870453323777101,0.0
2020-01-14,1.0,-0.22436412315930387,-1.1872378402498887,-3.0517626059794734,-2.6524765729585007,-0.808656849620705,0.0
2020-01-15,1.0,-0.2238579586009993,-1.1887937187723054,-3.049964311206281,-2.6490007137758744,-0.8104925053533191,0.0
2020-01-16,1.0,-0.22641677822400716,-1.190450691655511,-3.0507809013833107,-2.6474788041053103,-0.8095493083444891,0.0
2020-01-17,1.0,-0.2233701460634129,-1.1494478090488065,-3.052190951193445,-2.652297826861418,-0.8289098681866761,0.0
2020-01-21,1.0,-0.2206761216662207,-1.1688520203371688,-3.0463830166800463,-2.654000535188654,-0.8299884042458299,0.0
2020-01-22,1.0,-0.21848214285714285,-1.15875,-3.0660714285714286,-2.6547321428571427,-0.8305357142857143,0.0
2020-01-23,1.0,-0.22090112640801002,-1.1668156624351869,-3.066064723761845,-2.6681566243518686,-0.8178973717146433,0.0
2020-01-24,1.0,-0.2199928018715134,-1.1777037970127766,-3.0869174014756164,-2.687781176894007,-0.825265430987943,0.0
2020-01-27,1.0,-0.16690777576853527,-1.1380650994575046,-3.172875226039783,-2.6968354430379744,-0.8669077757685353,0.0
2020-01-28,1.0,-0.041148582162984164,-1.2290008050809555,-3.2691653994096073,-2.659361302442079,-0.7466678593791931,0.0
2020-01-29,1.0,-0.0,-1.2538911381016644,-3.324246513720198,-2.6696356275303645,-0.7490778227620333,0.0
2020-01-30,1.0,-0.004938493310586334,-1.2534793930142767,-3.314626919278082,-2.6682230403160636,-0.7377211098141331,0.0
2020-01-31,1.0,-0.02686512978762026,-1.2745507351606462,-3.31675440188782,-2.7010346705391175,-0.7568524233073154,0.0
2020-02-03,1.0,-0.006042296072507553,-1.2191220899235826,-3.2696818908832417,-2.659054558379243,-0.7318286831348854,0.0
2020-02-04,1.0,-0.0,-1.1741063489240617,-3.2633825360128044,-2.6766850435710476,-0.777876578338965,0.0
2020-02-05,1.0,-0.0,-1.1707381140005253,-3.2385955695648363,-2.624376149198844,-0.7220033272042728,0.0
2020-02-06,1.0,-0.0,-1.1637630662020906,-3.2699477351916375,-2.599651567944251,-0.677439024390244,0.0
2020-02-07,1.0,-0.0,-1.1582792207792205,-3.420905483405483,-2.7152777777777777,-0.7243867243867244,0.0
2020-02-10,1.0,-0.0,-1.1280761631040057,-3.416382252559727,-2.7172624393748874,-0.7197772588467757,0.0
2020-02-11,1.0,-0.0,-1.1272122900008983,-3.3952924265564635,-2.7136825083101246,-0.747731560506693,0.0
2020-02-12,1.0,-0.0,-1.1194866232827188,-3.4279645697758494,-2.7565979754157626,-0.7342733188720174,0.0
2020-02-13,1.0,-0.0,-1.13014450338394,-3.4611304188768974,-2.7985183830254248,-0.7559904883848545,0.0
2020-02-14,1.0,-0.0,-1.1393217231897341,-3.481851512373969,-2.7965169569202564,-0.7482126489459211,0.0
2020-02-18,1.0,-0.0,-1.1407366684991753,-3.4748030053142753,-2.792010262048745,-0.7549935862195345,0.0
2020-02-19,1.0,-0.0,-1.1404360571637964,-3.475723708318066,-2.7933308904360574,-0.751282521069989,0.0
2020-02-20,1.0,-0.0,-1.144551519644181,-3.5404002965159376,-2.819403261675315,-0.7617679762787251,0.0
2020-02-21,1.0,-0.0,-1.1717040608195808,-3.539773780826998,-2.8059521602076765,-0.7538475801965511,0.0
2020-02-24,1.0,-0.0,-1.1650682405016601,-3.5339358170416824,-2.784304684618222,-0.7384728882331243,0.0
2020-02-25,1.0,-0.0,-1.3355853771402129,-3.69356779268857,-2.526608051827858,-0.6992133271633504,0.0
2020-02-26,1.0,-0.0,-1.2249003101462117,-3.6031900753212227,-2.486575099689854,-0.546566238369517,0.0
2020-02-27,1.0,-0.0,-1.2259036144578315,-3.5985116938341606,-2.4837880935506735,-0.5507618710134656,0.0
2020-02-28,1.0,-0.0,-1.3519109519732233,-3.028722658986534,-1.9557873433486415,-0.4475753094107574,0.0
2020-03-02,1.0,-0.0,-1.3924439197166472,-3.070680834317198,-1.957969303423849,-0.4497441951987407,0.0
2020-03-03,1.0,-0.0,-1.4962800255083963,-2.5667823992064056,-1.6697371218025934,-0.3528661517749592,0.0
2020-03-04,1.0,-0.0,-1.678438661710037,-2.7299828424363737,-1.5523305690591935,-0.18823277094652557,0.0
2020-03-05,1.0,-0.0,-1.8711225248361156,-2.4320470365614653,-1.37318375346354,-0.08177333243224978,0.0
2020-03-06,1.0,-0.0,-1.8242927588891773,-2.3735400986244484,-1.2505839605502205,-0.04003373994290164,0.0
2020-03-09,1.0,-0.0,-1.808532510922642,-2.3595476741197636,-1.232266769468003,-0.02480082241069134,0.0
2020-03-10,1.0,-0.31234567901234567,-1.0621041331186258,-1.9152979066022546,-1.0720880300590445,-0.005904455179817499,0.0
2020-03-11,1.0,-0.10328119239479643,-1.2888291989255807,-1.9950492442197294,-0.8795491652183073,-0.0,0.0
2020-03-12,1.0,-0.14383359559402045,-1.0992820613690006,-1.8266129032258065,-0.8476593233674272,-0.0,0.0
2020-03-13,1.0,-0.3466173938604964,-0.7993532944190148,-1.3550581615084198,-0.6983580397261999,-0.0,0.0
2020-03-16,1.0,-0.18677088194120392,-0.916783325556074,-1.244400373308446,-0.540675066106704,-0.0,0.0
2020-03-17,1.0,-0.34940588944377476,-0.6747373859135526,-0.8129843292577924,-0.602514206991562,-0.004442913724814878,0.0
2020-03-18,1.0,-0.33476842353099456,-0.6883051360532776,-0.7411119706703441,-0.5885103091049745,-0.010763176482459386,0.0
2020-03-19,1.0,-0.32850501920097014,-0.6988142558781917,-0.7490399514922859,-0.5922320285656538,-0.0,0.0
2020-03-20,1.0,-0.33054336820789737,-0.6498481268984138,-0.7724603442456969,-0.6018899763752953,-0.020215997300033747,0.0
2020-03-23,1.0,-0.3974743150684931,-0.8438926940639269,-0.6614226598173515,-0.664597602739726,-0.0,0.0
2020-03-24,1.0,-0.41201976045776023,-0.8525784554145787,-0.6337207236023741,-0.6557202260368908,-0.0,0.0
2020-03-25,1.0,-0.40824763057067953,-0.8303757477986152,-0.49122807017543857,-0.6310075956173959,-0.0,0.0
2020-03-26,1.0,-0.4335466487032671,-0.8332771977096666,-0.4694173122263388,-0.6319299427416639,-0.0,0.0
2020-03-27,1.0,-0.4225593667546174,-0.8189643799472295,-0.43555408970976256,-0.6210422163588389,-0.0,0.0
2020-03-30,1.0,-0.4004662310798831,-0.8086154250254457,-0.45730045638112743,-0.6169025183044948,-0.0,0.0
2020-03-31,1.0,-0.38683651804670915,-0.821656050955414,-0.45249060917850725,-0.6053895149436551,-0.0,0.0
2020-04-01,1.0,-0.4055833552804846,-0.8606136423492231,-0.4046286542006848,-0.6212799578614696,-0.0,0.0
2020-04-02,1.0,-0.4130993011539087,-0.8193726637412646,-0.3920039005363238,-0.6259710710222656,-0.0,0.0
2020-04-03,1.0,-0.41378188443518993,-0.8184213951067152,-0.3916254554919313,-0.6296850598646537,-0.0,0.0
2020-04-06,1.0,-0.4170132570834417,-0.8069599688068625,-0.39056407590330133,-0.6347478554717962,-0.0,0.0
2020-04-07,1.0,-0.3898466218785651,-0.7744327544682469,-0.37162504753454173,-0.6330967169476487,-0.0,0.0
2020-04-08,1.0,-0.39517335795472636,-0.7690152504059347,-0.3870546658601038,-0.6325893852080614,-0.0,0.0
