Date,IWF,IWM,MTUM,PFGC,SPY,VLUE,VXX
2018-09-24,-0.43611552827188343,-0.9457860286232018,-0.10846492363448097,1.0,-0.6431344994637773,-0.5646240893458083,0.0
2018-09-25,-0.4469905512982665,-0.9480693400788631,-0.11907596160999924,1.0,-0.6443716985343353,-0.5614537608808868,0.0
2018-09-26,-0.4465788102151738,-0.9481423572332663,-0.1168937532573896,1.0,-0.6457821457821458,-0.5653339289702926,0.0
2018-09-27,-0.44874655954772,-0.9414937142006994,-0.11872349921892435,1.0,-0.6455404299635498,-0.56490366733616,0.0
2018-09-28,-0.4450617053801126,-0.948734200812796,-0.1196450542485366,1.0,-0.647664143767943,-0.5673166548599977,0.0
2018-10-01,-0.4454718317736102,-0.9481003691137542,-0.11979419111889936,1.0,-0.6477759964207151,-0.5672793706424071,0.0
2018-10-02,-0.44860482654600303,-0.9956636500754148,-0.108710407239819,1.0,-0.6499622926093515,-0.5678355957767722,0.0
2018-10-03,-0.44955825719247905,-1.0008306275013215,-0.10968058596994638,1.0,-0.6493996828513177,-0.5661481537415993,0.0
2018-10-04,-0.4561708561708561,-0.992931392931393,-0.11056511056511056,1.0,-0.6585144585144586,-0.5617841617841618,0.0
2018-10-05,-0.44770835687116334,-0.9903212443038453,-0.10036530712160585,1.0,-0.6623357059465974,-0.5653221858170452,0.0
2018-10-08,-0.44625333684250107,-0.9880813625596871,-0.09820656465014853,1.0,-0.6630823025153213,-0.5641613715832613,0.0
2018-10-09,-0.443477277865702,-0.9918230461979048,-0.08787399201145527,1.0,-0.6709247117341172,-0.5740824478106866,0.0
2018-10-10,-0.4434857960967523,-0.9918996307738679,-0.0876346921859694,1.0,-0.6710119810112275,-0.573619169617964,0.0
2018-10-11,-0.4000659509764408,-0.9916095702194702,-0.029055069065328103,1.0,-0.6592166489576081,-0.5839592569523321,0.0
2018-10-12,-0.4047050307636627,-0.9865363735070576,-0.02381469417300036,1.0,-0.641838581252262,-0.5623597538906985,0.0
2018-10-15,-0.3835690771623919,-1.022284122562674,-0.0,1.0,-0.6432008103317296,-0.5684983540136743,0.0
2018-10-16,-0.37720886442641943,-1.034364136732329,-0.0,1.0,-0.6421277520278099,-0.5674246813441484,0.0
2018-10-17,-0.35897618708113505,-1.0004634250677313,-0.0,1.0,-0.6348923427919578,-0.5704762583772993,0.0
2018-10-18,-0.35805160460295904,-0.9991065685083267,-0.0,1.0,-0.6426988778500464,-0.5738331784718748,0.0
2018-10-19,-0.338450604122246,-0.9888770433546554,-0.0,1.0,-0.6498933901918976,-0.5764392324093817,0.0
2018-10-22,-0.33834239226970764,-0.980887420512274,-0.0,1.0,-0.6534512771324025,-0.5798429784361789,0.0
2018-10-23,-0.3384724689165187,-0.9808525754884548,-0.0,1.0,-0.6533214920071049,-0.5797513321492008,0.0
