Date,IWF,IWM,KRYS,MTUM,SPY,VLUE,VXX
2018-09-24,-1.656064858122856,-2.9834736513875897,1.0,-0.33000727575096145,-2.355992100613242,-2.068392059037522,0.0
2018-09-25,-1.6849228832231664,-3.0048263561011432,1.0,-0.35253383695310037,-2.372783548420942,-2.077011856048683,0.0
2018-09-26,-1.6897131448986025,-3.0118734895450245,1.0,-0.35893663969738365,-2.3748029841336553,-2.0719764631711675,0.0
2018-09-27,-1.6914369562938896,-2.990986269783042,1.0,-0.3624358033749083,-2.3696677497117706,-2.0665548684624255,0.0
2018-09-28,-1.6876637669007442,-2.9937113510114246,1.0,-0.36421758725500475,-2.3689340739964364,-2.0665548684624255,0.0
2018-10-01,-1.6953872018493221,-2.9974781969107913,1.0,-0.3645056215193863,-2.3776400126090156,-2.0725018388147523,0.0
2018-10-02,-1.6974099810486418,-3.0162139397767955,1.0,-0.3624973678669194,-2.3787113076437145,-2.073594440934934,0.0
2018-10-03,-1.7200939067335397,-3.015686692989009,1.0,-0.36111407533881124,-2.434638779212464,-2.139792978337424,0.0
2018-10-04,-1.8114627129895995,-3.0950431511396324,1.0,-0.37862358928966583,-2.5692631113078113,-2.2100022128789556,0.0
2018-10-05,-1.7689094107299912,-3.06948109058927,1.0,-0.32772647317502196,-2.5920184696569923,-2.23570800351803,0.0
2018-10-08,-1.755817764667322,-3.047197640117994,1.0,-0.3155249644925161,-2.5852725882224408,-2.2215666994428056,0.0
2018-10-09,-1.7573505301125807,-3.0496229096076073,1.0,-0.3155536124166575,-2.5864028855612635,-2.221335665100011,0.0
2018-10-10,-1.7571022727272727,-3.0494973776223775,1.0,-0.31359265734265734,-2.586756993006993,-2.2197333916083917,0.0
2018-10-11,-1.5795082832119869,-3.067637438007808,1.0,-0.033554922443811336,-2.57053920016883,-2.3006225598818193,0.0
2018-10-12,-1.6547770700636941,-3.120488322717622,1.0,-0.009766454352441613,-2.561783439490446,-2.268789808917197,0.0
2018-10-15,-1.5947994525739553,-3.1472786609116747,1.0,-0.0,-2.534687861880198,-2.2507632382356033,0.0
2018-10-16,-1.9078282828282829,-3.88320707070707,1.0,-0.02727272727272727,-3.0345959595959595,-2.773232323232323,0.0
2018-10-17,-1.8493866148427063,-3.6158144054415158,1.0,-0.18122191181829223,-2.8574031337301102,-2.642536135066197,0.0
2018-10-18,-1.9307342922028767,-3.7779460005046683,1.0,-0.17852636891244006,-2.966187231895029,-2.763436790310371,0.0
2018-10-19,-1.8734663527078945,-3.7133473788573554,1.0,-0.12281571446275871,-2.9486925269550133,-2.7347874581732556,0.0
