Date,IWF,IWM,MTUM,OSMT,SPY,VLUE,VXX
2019-06-19,-1.1471339905074844,-1.7910429597176583,-2.3091152488742845,1.0,-3.1416575392479005,-2.780941949616648,0.0
2019-06-20,-1.143710385177962,-1.7922964407606046,-2.3154558751828374,1.0,-3.1502925402242807,-2.787298878595807,0.0
2019-06-21,-1.1359825009114108,-1.7966946165998299,-2.3030744926479523,1.0,-3.1337951148377687,-2.782476607121157,0.0
2019-06-24,-1.1384503279086715,-1.7871022589264027,-2.2971824143794026,1.0,-3.136385717755647,-2.78564488705368,0.0
2019-06-25,-1.1393851014704095,-1.7693522906793049,-2.307692307692308,1.0,-3.1459472596913356,-2.7898894154818326,0.0
2019-06-26,-1.1122523844460748,-1.7959158718513082,-2.308877476155539,1.0,-3.1604304230863294,-2.850452433357789,0.0
2019-06-27,-1.116623790273184,-1.7955408550777903,-2.3050349136346933,1.0,-3.165257870880804,-2.867818204091633,0.0
2019-06-28,-1.1223118279569892,-1.7607526881720432,-2.3088954056695994,1.0,-3.1682551319648096,-2.858870967741936,0.0
2019-07-01,-1.1131752627719382,-1.7565387435834756,-2.3104375458323148,1.0,-3.177584942556832,-2.864091909068687,0.0
2019-07-02,-1.0952612985747352,-1.7603849433548544,-2.299062005116336,1.0,-3.1668899987818246,-2.8601534900718724,0.0
2019-07-03,-1.0905982905982905,-1.7759462759462759,-2.2959706959706963,1.0,-3.174358974358974,-2.873137973137973,0.0
2019-07-05,-1.084327086882453,-1.7700170357751277,-2.284010708201509,1.0,-3.163665125334631,-2.866390849355074,0.0
2019-07-08,-1.0831608425666626,-1.7682941677827835,-2.2873493242420553,1.0,-3.168269816145136,-2.8688664312675027,0.0
2019-07-09,-1.0850908204315495,-1.75813726685359,-2.293673046446422,1.0,-3.1745702791661583,-2.8793124466658537,0.0
2019-07-10,-1.0884901745392408,-1.760161113145368,-2.297449041865007,1.0,-3.178445014036372,-2.8809959721713656,0.0
2019-07-11,-1.085,-1.7603658536585365,-2.295,1.0,-3.175609756097561,-2.8791463414634144,0.0
2019-07-12,-1.0802125818811026,-1.8024966011617847,-2.327277221604252,1.0,-3.2327277221604254,-2.916821159312817,0.0
2019-07-15,-1.0859085290482076,-1.7977750309023488,-2.3370828182941903,1.0,-3.2404202719406676,-2.899752781211372,0.0
2019-07-16,-1.0878971442699963,-1.795277537396464,-2.338484361478551,1.0,-3.2404499938187663,-2.900234886883422,0.0
2019-07-17,-1.0855377008652658,-1.8002472187886278,-2.335352286773795,1.0,-3.2388133498145857,-2.900865265760198,0.0
2019-07-18,-1.0895282785873055,-1.7969869103482343,-2.339836996789331,1.0,-3.2330204988886146,-2.8894788836749816,0.0
2019-07-19,-1.094386181369525,-1.7960518198642814,-2.3341147439851944,1.0,-3.230845157310302,-2.88266502159161,0.0
2019-07-22,-1.0878728124229726,-1.7928272122257825,-2.3246241064826227,1.0,-3.2267685481883164,-2.8922849396105494,0.0
2019-07-23,-1.085520640788663,-1.7953173136167588,-2.3227356746765246,1.0,-3.2261244608749227,-2.8931608133086875,0.0
2019-07-24,-1.0941191097849061,-1.8074101703344523,-2.3687678726843218,1.0,-3.2579883128186,-2.9047619047619047,0.0
2019-07-25,-1.1083572051313986,-1.7713289326192554,-2.396936106613526,1.0,-3.28534064017935,-2.892763731473409,0.0
2019-07-26,-1.1055057299451918,-1.7521175884404585,-2.4084454409566516,1.0,-3.294469357249626,-2.8959890383657196,0.0
2019-07-29,-1.096874610882829,-1.7349022537666543,-2.411779354999377,1.0,-3.296476154899763,-2.911717096252023,0.0
2019-07-30,-1.0939756036843415,-1.7311426437640032,-2.4116255912372417,1.0,-3.2974856858352006,-2.912870301219816,0.0
2019-07-31,-1.091633466135458,-1.7432768924302788,-2.4106075697211153,1.0,-3.294945219123506,-2.9097360557768925,0.0
2019-08-01,-1.0923344947735192,-1.7661772025883524,-2.3822797411647585,1.0,-3.300647088103534,-2.902439024390244,0.0
2019-08-02,-1.0977667493796526,-1.7366004962779156,-2.40545905707196,1.0,-3.291935483870968,-2.875186104218362,0.0
2019-08-05,-1.088413503153209,-1.7253616916038086,-2.3931000370965747,1.0,-3.292197353777668,-2.866452330901447,0.0
2019-08-06,-1.0127972956658216,-1.687190631413739,-2.3291078111795245,1.0,-3.2129663165519737,-2.830737655438851,0.0
2019-08-07,-0.9896931927133269,-1.6911553211888783,-2.2893096836049858,1.0,-3.187679769894535,-2.8268216682646212,0.0
2019-08-08,-0.9887344199424737,-1.6917545541706616,-2.288830297219559,1.0,-3.1877996164908917,-2.827660594439118,0.0
2019-08-09,-0.9602870813397131,-1.6642344497607657,-2.279784688995216,1.0,-3.187081339712919,-2.8703349282296653,0.0
2019-08-12,-0.9558893657606105,-1.644969003338102,-2.2914878397711016,1.0,-3.1859799713876966,-2.843586075345732,0.0
2019-08-13,-0.9443917476879298,-1.6313730139909888,-2.2779226938581933,1.0,-3.1742945221721603,-2.828906805786104,0.0
2019-08-14,-0.9083323539781408,-1.6342695968974026,-2.2612527911622986,1.0,-3.1439652133035607,-2.804442355153367,0.0
2019-08-15,-0.8693957115009747,-1.62458433665864,-2.2338034629056303,1.0,-3.0712074303405577,-2.6674693269120517,0.0
2019-08-16,-0.8667126278294841,-1.6342640468803862,-2.233712512926577,1.0,-3.0762955302769166,-2.6794208893485005,0.0
2019-08-19,-0.8615716556893028,-1.581081081081081,-2.2217806041335453,1.0,-3.0534862593686127,-2.6378605496252554,0.0
2019-08-20,-0.8466749463701028,-1.575138308682398,-2.219035790899853,1.0,-3.037145760415491,-2.6126227842384555,0.0
2019-08-21,-0.8448372930976241,-1.5726832563900461,-2.2169800698119584,1.0,-3.0283751829748904,-2.597117441729535,0.0
2019-08-22,-0.8383610986042324,-1.5749662314272848,-2.2179198559207562,1.0,-3.0355695632597923,-2.589374155785682,0.0
2019-08-23,-0.836920996280852,-1.5750028175363464,-2.2202186408204665,1.0,-3.040347120477854,-2.597655809759946,0.0
2019-08-26,-0.7862837173746859,-1.4864038440537295,-2.163590695642678,1.0,-2.971934039532598,-2.5122856830839795,0.0
2019-08-27,-0.7716870095902354,-1.4783129904097647,-2.159655623365301,1.0,-2.975370531822145,-2.5129686137750653,0.0
2019-08-28,-0.7749727965179544,-1.457780195865071,-2.170076169749728,1.0,-2.9768226332970618,-2.501741022850925,0.0
2019-08-29,-0.7882775119617225,-1.4421487603305785,-2.1807307525010873,1.0,-2.978468899521531,-2.484667246628969,0.0
2019-08-30,-0.7705431378900768,-1.4187452758881332,-2.172659540006479,1.0,-2.9703055825504805,-2.4656084656084656,0.0
2019-09-03,-0.7736380374742771,-1.4254305209574354,-2.1836889418390557,1.0,-2.9863532979529945,-2.461713419257013,0.0
2019-09-04,-0.7642162162162163,-1.4044324324324324,-2.1854054054054055,1.0,-2.9895135135135136,-2.4673513513513514,0.0
2019-09-05,-0.7642180094786729,-1.4152305040930633,-2.1756785868160273,1.0,-2.982012063765618,-2.434080137871607,0.0
2019-09-06,-0.7572700933576564,-1.3882390814465073,-2.2053868440819833,1.0,-2.9896984655005907,-2.3902779268161822,0.0
2019-09-09,-0.7574847086597275,-1.3873806202382228,-2.205172228779912,1.0,-2.9894838501985195,-2.391243695675502,0.0
2019-09-10,-0.7649393841862461,-1.3816114150842185,-2.214891106104495,1.0,-2.987233129492544,-2.379894861066409,0.0
2019-09-11,-0.7517278617710583,-1.4169546436285096,-2.188336933045356,1.0,-3.008747300215983,-2.4332613390928723,0.0
2019-09-12,-0.7459016393442623,-1.4058455565142365,-2.189387402933564,1.0,-3.011647972389991,-2.432377049180328,0.0
2019-09-13,-0.7446669569003047,-1.409011754462342,-2.232041793643883,1.0,-3.05376578145407,-2.4442751414888986,0.0
2019-09-16,-0.7442594406355426,-1.4110349330721514,-2.228751768418762,1.0,-3.053542278811623,-2.4450973990640983,0.0
2019-09-17,-0.7439344262295082,-1.4407650273224044,-2.2321311475409837,1.0,-3.0671038251366123,-2.4451366120218583,0.0
2019-09-18,-0.7389734048374739,-1.4500383057896464,-2.224143591988618,1.0,-3.0734376710079894,-2.4579183539454963,0.0
