Date,BAND,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.2400951521614305,-2.3851201706176686,-0.2660979411040931,-1.7354605856779592,-1.5760807152817653,0.0
2018-09-25,1.0,-1.2432587492828457,-2.3798049340218017,-0.2726825670027047,-1.7309236947791165,-1.569461519547578,0.0
2018-09-26,1.0,-1.2474963060252833,-2.386225578722706,-0.27795107535708424,-1.7326383188310623,-1.5645214250533575,0.0
2018-09-27,1.0,-1.2503890572528462,-2.3680072077975263,-0.28200507822098453,-1.7292980588090754,-1.560897698419199,0.0
2018-09-28,1.0,-1.2466808719881988,-2.372889690214719,-0.28372397967546303,-1.7299623012620882,-1.5622029175544994,0.0
2018-10-01,1.0,-1.2483810148372818,-2.3713419132715794,-0.2841216493155177,-1.7311255020903353,-1.562505123370768,0.0
2018-10-02,1.0,-1.248689384010485,-2.358863040629096,-0.288826998689384,-1.731405635648755,-1.563564875491481,0.0
2018-10-03,1.0,-1.2463199214916585,-2.3436375531566895,-0.2878639188747138,-1.7322538436375532,-1.567877003598299,0.0
2018-10-04,1.0,-1.2478367346938775,-2.3322448979591837,-0.2893061224489796,-1.7330612244897958,-1.560734693877551,0.0
2018-10-05,1.0,-1.2161282447717472,-2.3200423142647892,-0.24997965660346652,-1.7597851737326065,-1.5913418504353487,0.0
2018-10-08,1.0,-1.2123404601251933,-2.314120803186733,-0.2381920169091944,-1.7721323469636614,-1.592472156735225,0.0
2018-10-09,1.0,-1.2127815269534108,-2.3151475729734123,-0.23814944304414992,-1.772420521993658,-1.5922432718107162,0.0
2018-10-10,1.0,-1.217016430779242,-2.313567593948268,-0.241825280624695,-1.7755815845127707,-1.5861395802830651,0.0
2018-10-11,1.0,-1.079333838001514,-2.1873580620741864,-0.13595760787282363,-1.6514761544284633,-1.5158970476911433,0.0
2018-10-12,1.0,-1.0933303657541362,-2.161362118851547,-0.12115142072854071,-1.5949254395726686,-1.4483270272275393,0.0
2018-10-15,1.0,-1.057100482017056,-2.232999629217649,-0.061772339636633304,-1.6008157211716723,-1.4629588431590657,0.0
2018-10-16,1.0,-1.0539117538005192,-2.245012977382277,-0.052799406748238784,-1.6010381905821285,-1.4628105302187615,0.0
2018-10-17,1.0,-1.002223975894971,-2.129062343066217,-0.01836573642298587,-1.5679030059545163,-1.4565607288901643,0.0
2018-10-18,1.0,-1.001291062975183,-2.1276717831014205,-0.018648687419308564,-1.5686415148472244,-1.456319036006312,0.0
2018-10-19,1.0,-0.9678084138715178,-2.1027572484366117,-0.0,-1.5783115406480954,-1.4574332006822057,0.0
2018-10-22,1.0,-0.9697852978814162,-2.1040807621214275,-0.0,-1.5779183847575715,-1.457628323617233,0.0
2018-10-23,1.0,-0.9736355884025013,-2.1034678794769754,-0.0,-1.5740477544059124,-1.4551591813530413,0.0
2018-10-24,1.0,-0.9690070921985816,-2.097304964539007,-0.0,-1.5719858156028372,-1.4539007092198581,0.0
2018-10-25,1.0,-0.8695535233996773,-1.9536040882194732,-0.0,-1.5530527165142551,-1.3478348574502421,0.0
2018-10-26,1.0,-0.8285639102690613,-1.903164265508848,-0.0,-1.5368725741727516,-1.3099138214591144,0.0
2018-10-29,1.0,-0.7910340783214961,-1.9074737733759042,-0.0,-1.511500619013488,-1.3059881410047567,0.0
2018-10-30,1.0,-0.7758171636931893,-1.9068238051829667,-0.0,-1.5112644875634849,-1.3173590311238443,0.0
2018-10-31,1.0,-0.7836200786133127,-1.8554030543205102,-0.0,-1.5028674527997938,-1.3018235711063857,0.0
2018-11-01,1.0,-0.8067052173348062,-1.8566045091287118,-0.0,-1.5186147748684296,-1.3154440907023586,0.0
2018-11-02,1.0,-0.8099152324685334,-1.8009247367069101,-0.0,-1.5156691497559722,-1.2952093501155921,0.0
2018-11-05,1.0,-0.8163015463917526,-1.7954896907216495,-0.0,-1.5213273195876287,-1.310180412371134,0.0
2018-11-06,1.0,-0.8642048838594403,-1.8761829131096552,-0.0,-1.5531070081397658,-1.3241347362848257,0.0
2018-11-07,1.0,-0.8640074334638613,-1.885710493130683,-0.0,-1.5568460874759409,-1.3304572907679033,0.0
2018-11-08,1.0,-0.7951235584843493,-1.9000329489291596,-0.0,-1.542009884678748,-1.3525535420098846,0.0
2018-11-09,1.0,-0.7954141134611583,-1.899387230678,-0.0,-1.5417407919878765,-1.352309415563023,0.0
2018-11-12,1.0,-0.7924627060978802,-1.8603768646951058,-0.0,-1.5487437843496468,-1.341206490447527,0.0
2018-11-13,1.0,-0.7402463403624169,-1.8441349068162765,-0.0,-1.5421422583349453,-1.322112594312246,0.0
2018-11-14,1.0,-0.7414571244358479,-1.8428110896196006,-0.0,-1.541972920696325,-1.321276595744681,0.0
2018-11-15,1.0,-0.7393401504919932,-1.8424335970158854,-0.0,-1.544343687696958,-1.3051643192488265,0.0
2018-11-16,1.0,-0.730944,-1.8203520000000002,-0.0,-1.537664,-1.31104,0.0
2018-11-19,1.0,-0.7390858388358229,-1.8214629142893777,-0.0,-1.5373421373164948,-1.3128405667029939,0.0
2018-11-20,1.0,-0.7253161323285222,-1.8154298122365564,-0.0,-1.5335930514752842,-1.312172691276025,0.0
2018-11-21,1.0,-0.7266322807900364,-1.7907283935086173,-0.0,-1.5112592778965908,-1.2614794313750157,0.0
2018-11-23,1.0,-0.7276864728192162,-1.8104930467762326,-0.0,-1.5149178255372946,-1.2680151706700378,0.0
2018-11-26,1.0,-0.7261814505938843,-1.817349001769017,-0.0,-1.5107404599444023,-1.2637098812231489,0.0
2018-11-27,1.0,-0.7041580172359565,-1.8294017739196076,-0.0,-1.5028621752531925,-1.2541360005032396,0.0
2018-11-28,1.0,-0.7031977842125142,-1.8378446430819588,-0.0,-1.5004406395568424,-1.2533677451844392,0.0
2018-11-29,1.0,-0.6413332508812071,-1.8032898398367447,-0.0,-1.4843856285943975,-1.2548389091583698,0.0
2018-11-30,1.0,-0.6408655332302936,-1.8034621329211749,-0.0,-1.4846986089644514,-1.253353941267388,0.0
2018-12-03,1.0,-0.6422688711375318,-1.8060561025450492,-0.0,-1.4878320639048859,-1.256176853055917,0.0
2018-12-04,1.0,-0.6202051600870376,-1.8353124028598071,-0.0,-1.4945601492073362,-1.2668946223189306,0.0
2018-12-06,1.0,-0.6016590081756878,-1.6977979351912633,-0.0,-1.4763979232559528,-1.191800441606493,0.0
2018-12-07,1.0,-0.6087891091473608,-1.6981132075471699,-0.0,-1.477310723668498,-1.1866491521375688,0.0
2018-12-10,1.0,-0.5530597806862398,-1.7099988208937624,-0.0,-1.4800731045867233,-1.1524584365051291,0.0
2018-12-11,1.0,-0.5757468204673173,-1.708133688257912,-0.0,-1.49346347234546,-1.1381248151434487,0.0
