Date,IWF,IWM,MTUM,SPY,VLUE,VNDA,VXX
2018-09-24,-0.7667651006711409,-1.5329395973154363,-0.16665771812080538,-1.0389798657718121,-0.8638389261744966,1.0,0.0
2018-09-25,-0.774818401937046,-1.5322571966639766,-0.17605595910680658,-1.0380414312617703,-0.8594565509819748,1.0,0.0
2018-09-26,-0.7762945419313165,-1.5342340402626764,-0.17875982344708796,-1.037786629346539,-0.855635698137582,1.0,0.0
2018-09-27,-0.8497922477090328,-1.583527804655928,-0.19910068871307413,-1.1249928851955147,-0.934429961864648,1.0,0.0
2018-09-28,-0.854853427626326,-1.5836660203034105,-0.19961218204631004,-1.127865860613665,-0.937150678681419,1.0,0.0
2018-10-01,-0.8560835092122525,-1.5823398551137984,-0.19981746620272658,-1.128686327077748,-0.9373110489989162,1.0,0.0
2018-10-02,-0.8560835092122525,-1.5819976042439108,-0.2007301351890936,-1.1281729507729166,-0.9372540071872684,1.0,0.0
2018-10-03,-0.8557335918344073,-1.5794035467867937,-0.20111763699606547,-1.128072076181787,-0.9378456976677881,1.0,0.0
2018-10-04,-0.8555783709787816,-1.579853981291353,-0.20208761122518823,-1.127595254391969,-0.9387405886379192,1.0,0.0
2018-10-05,-0.8395530852994555,-1.571290834845735,-0.18256578947368424,-1.1335639745916515,-0.944532667876588,1.0,0.0
2018-10-08,-0.8372158929887208,-1.5677039052315365,-0.17417672731394887,-1.143172929773848,-0.9457008445275746,1.0,0.0
2018-10-09,-0.8348707436510648,-1.5776107504839993,-0.15795467486618836,-1.1589226739551304,-0.9647534449379341,1.0,0.0
2018-10-10,-0.8350409836065573,-1.5770719489981784,-0.15778688524590165,-1.1589822404371586,-0.9632855191256829,1.0,0.0
2018-10-11,-0.7542910243795781,-1.5623701760139939,-0.05018038701213513,-1.1284574177325901,-0.9709740898655298,1.0,0.0
2018-10-12,-0.764848159097017,-1.5488847084117172,-0.03977425423273314,-1.0937919914001613,-0.927546358505778,1.0,0.0
2018-10-15,-0.7375261829314141,-1.599817390837317,-0.0,-1.0969439819539182,-0.9366238788334497,1.0,0.0
2018-10-16,-0.7356636597938144,-1.6020189003436427,-0.0,-1.0960051546391754,-0.9357817869415808,1.0,0.0
2018-10-17,-0.7030045619002674,-1.5373079544858685,-0.0,-1.0739866813486445,-0.9292118924020766,1.0,0.0
2018-10-18,-0.702089677622598,-1.5355455213693165,-0.0,-1.0807518639084321,-0.9320067205712486,1.0,0.0
2018-10-19,-0.673945900870381,-1.5184760514931983,-0.0,-1.08761140355449,-0.9318288424454058,1.0,0.0
2018-10-22,-0.6766610948600082,-1.527632678646051,-0.0,-1.0871291266193064,-0.9321458420392812,1.0,0.0
2018-10-23,-0.6774597869229162,-1.5273657823271358,-0.0,-1.0861708794652183,-0.931481094631293,1.0,0.0
2018-10-24,-0.6745762711864406,-1.5235462842242504,-0.0,-1.085632333767927,-0.9313168187744458,1.0,0.0
2018-10-25,-0.6291752215934698,-1.4460413641143772,-0.0,-1.0613450848815664,-0.8712003605588663,1.0,0.0
2018-10-26,-0.5980906212900673,-1.4229817965967548,-0.0,-1.0694994064107637,-0.8560051444400475,1.0,0.0
2018-10-29,-0.5588932806324111,-1.4515810276679841,-0.0,-1.0573616600790514,-0.8728754940711462,1.0,0.0
2018-10-30,-0.5610358802016409,-1.4518632005535237,-0.0,-1.0576257783928042,-0.8716516753978453,1.0,0.0
2018-10-31,-0.5824039036048596,-1.4262099183429595,-0.0,-1.0839972117108145,-0.8864767974507071,1.0,0.0
2018-11-01,-0.5386542411944486,-1.4769778044992234,-0.0,-1.0948945337942784,-0.8997444761761612,1.0,0.0
2018-11-02,-0.5400661919566744,-1.4783371778156655,-0.0,-1.0948249924781868,-0.9013138100491427,1.0,0.0
2018-11-05,-0.534075522792237,-1.496063386991625,-0.0,-1.0964846296574897,-0.8881701018003109,1.0,0.0
2018-11-06,-0.5434149769122666,-1.5047681188516364,-0.0,-1.091447500501907,-0.8794920698654889,1.0,0.0
2018-11-07,-0.5420870350850776,-1.5069517642925263,-0.0,-1.0901972594488782,-0.8800883401094213,1.0,0.0
2018-11-08,-0.4986595174262735,-1.5078443054314368,-0.0,-1.073081124019462,-0.8851156786813623,1.0,0.0
2018-11-09,-0.5403074201039478,-1.6794205462788898,-0.0,-1.2626340816100852,-1.0468318036049984,1.0,0.0
