Date,IWF,IWM,MTUM,PRVL,SPY,VLUE,VXX
2020-02-18,-11.826787512588117,-12.37865055387714,-33.26686807653575,1.0,-29.11077542799597,-13.120845921450151,0.0
2020-02-19,-11.66864490603363,-12.19090009891197,-32.7082096933729,1.0,-28.5895153313551,-12.75469831849654,0.0
2020-02-20,-11.563798219584571,-12.183976261127597,-32.819980217606336,1.0,-28.58555885262117,-12.757665677546985,0.0
2020-02-21,-11.381565906838453,-12.46382556987116,-32.90188305252725,1.0,-28.575817641228937,-12.784935579781962,0.0
2020-02-24,-10.125719769673704,-12.1957773512476,-32.3042226487524,1.0,-27.857005758157385,-12.486564299424185,0.0
2020-02-25,-6.040197897340755,-8.703153988868275,-21.705627705627705,1.0,-16.888064316635745,-7.505875077303649,0.0
2020-02-26,-5.780681818181818,-7.5056818181818175,-20.45397727272727,1.0,-15.848295454545454,-6.228977272727272,0.0
2020-02-27,-5.997751545812254,-7.267003934794829,-20.1371557054525,1.0,-15.783586284429454,-6.025857223159078,0.0
2020-02-28,-3.7482517482517483,-5.822966507177033,-12.784688995215312,1.0,-9.602870813397129,-3.84688995215311,0.0
2020-03-02,-3.7023387668320344,-5.457476966690291,-12.285613040396882,1.0,-9.306165839829909,-3.684266477675408,0.0
2020-03-03,-2.453413054309915,-4.511459890383657,-8.08395615346288,1.0,-6.363477827603387,-2.5002491280518186,0.0
2020-03-04,-2.17533315913248,-5.2537235432453615,-9.000261301280377,1.0,-6.469035798275412,-2.231774235693755,0.0
2020-03-05,-1.7690366972477065,-5.390596330275229,-7.514220183486239,1.0,-5.491743119266054,-1.770412844036697,0.0
2020-03-06,-1.604876996115667,-5.105092792403971,-7.283556322831247,1.0,-5.036685369011653,-1.5496331463098836,0.0
2020-03-09,-1.5757959097617542,-4.921568627450981,-7.198819312671305,1.0,-4.924309508749737,-1.4632089394897745,0.0
2020-03-10,-2.3667825298473626,-2.2726311017077223,-5.36935166994106,1.0,-3.538461538461538,-0.5653619465014357,0.0
2020-03-11,-1.9903965303593556,-3.1510223048327135,-5.799101610904584,1.0,-3.338599752168525,-0.21034696406443618,0.0
2020-03-12,-1.928600350924551,-2.334053178566608,-5.055608044270482,1.0,-3.053583479551896,-0.12511809960858417,0.0
