Date,FMNB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.29650561720311536,-0.9799779447239645,-0.10345302915431802,-0.5424564063684609,-0.5237094217382314,0.0
2018-09-25,1.0,-0.2959373706718168,-0.9814802041660919,-0.10194509587529314,-0.5438336322251345,-0.5255897365153814,0.0
2018-09-26,1.0,-0.2955078664090533,-0.981369031189622,-0.10036571901738892,-0.5447143251449076,-0.5282569693624068,0.0
2018-09-27,1.0,-0.29759360132386403,-0.9754188788526513,-0.10201337654278426,-0.5446114596979935,-0.5279252568434117,0.0
2018-09-28,1.0,-0.2966870065846175,-0.9759023683938359,-0.10245802737270314,-0.5444547867756059,-0.5279415313545006,0.0
2018-10-01,1.0,-0.29618241492485753,-0.9802383831404388,-0.10323026429435136,-0.5452755225427535,-0.5299015373985144,0.0
2018-10-02,1.0,-0.2962245885769603,-0.9861706541280597,-0.10181855898216015,-0.5442884801548886,-0.5288341861429955,0.0
2018-10-03,1.0,-0.29591484067187396,-0.9785719223059377,-0.1008156494089998,-0.5471072095113017,-0.5337319416603304,0.0
2018-10-04,1.0,-0.29507288528790554,-0.9833454520272843,-0.10100065787195735,-0.545825975554863,-0.5372390152695543,0.0
2018-10-05,1.0,-0.28389567377354585,-0.9808183260884564,-0.09031946456910232,-0.5510246325812461,-0.5438832539846823,0.0
2018-10-08,1.0,-0.28211751739340085,-0.9783701866776882,-0.08724254322518427,-0.5532823586140387,-0.5432251842667218,0.0
2018-10-09,1.0,-0.2806902728024249,-0.9790231468724165,-0.0837696335078534,-0.5551460457426288,-0.5458459630752273,0.0
2018-10-10,1.0,-0.28071081723318525,-0.9790267589627026,-0.08375520887143989,-0.5552226469676619,-0.5451665116919792,0.0
2018-10-11,1.0,-0.22897054357728513,-0.9994601342915947,-0.008671592941255862,-0.5563990957249384,-0.5806593109963896,0.0
2018-10-12,1.0,-0.2294693250509301,-0.998530541361921,-0.0035734562335103365,-0.5426977924723643,-0.5653742110009018,0.0
2018-10-15,1.0,-0.18253673365985476,-1.0688735010977877,-0.0,-0.5459212970781964,-0.5804424928221584,0.0
