Date,IWF,IWM,MTUM,QFIN,SPY,VLUE,VXX
2019-08-14,-1.1944897293772416,-1.799967394848386,-4.090316269970655,1.0,-4.099934789696772,-4.118030648842517,0.0
2019-08-15,-1.176034101673508,-1.8512788127565523,-3.9936848752762875,1.0,-3.952952320808336,-3.813861698768551,0.0
2019-08-16,-1.1768793430195832,-1.848389134554643,-3.997946936197094,1.0,-3.95641187618446,-3.8131711939355655,0.0
2019-08-19,-1.1722532588454375,-1.7442582247051521,-3.953600248292986,1.0,-3.91495965238982,-3.7332402234636874,0.0
2019-08-20,-1.1707354999222515,-1.7693982273363396,-3.992069662571917,1.0,-3.9126107914787744,-3.7047115534131545,0.0
2019-08-21,-1.1787319795380562,-1.7736784994574484,-3.98914896915207,1.0,-3.892729809331887,-3.667028367694931,0.0
2019-08-22,-1.1521873074553297,-1.7609365372766481,-3.968268638324091,1.0,-3.882008626001232,-3.6403265557609363,0.0
2019-08-23,-1.150623748652395,-1.7594332357923916,-3.966887417218543,1.0,-3.8815647620514397,-3.642692129986139,0.0
2019-08-26,-1.1110947399440108,-1.6186827758950935,-3.791365846471195,1.0,-3.741564756151466,-3.4713422719905704,0.0
2019-08-27,-1.1005873715124819,-1.6092511013215862,-3.7597650513950076,1.0,-3.729074889867842,-3.4856093979442,0.0
2019-08-28,-1.1131798856472657,-1.5678053071397153,-3.7828764110834183,1.0,-3.7331769535258754,-3.463568391731417,0.0
2019-08-29,-1.1606324811585638,-1.5424855918427665,-3.8491207329688195,1.0,-3.7730161075809074,-3.452342249150288,0.0
2019-08-30,-1.1770016279413942,-1.4980020719254106,-3.888856001183957,1.0,-3.803019091312712,-3.432736421488826,0.0
2019-09-03,-1.156203288490284,-1.4875934230194319,-3.938266068759342,1.0,-3.853064275037369,-3.51270553064275,0.0
2019-09-04,-1.1433045034297644,-1.4381151207873546,-3.9418431255592012,1.0,-3.8583358186698486,-3.5304205189382643,0.0
2019-09-05,-1.1648499328057338,-1.4861878453038673,-3.9416156487979688,1.0,-3.8671046737345076,-3.47230103031208,0.0
2019-09-06,-1.1176037680306152,-1.428466293788637,-3.9314100677068002,1.0,-3.844568737120989,-3.3966735354724755,0.0
2019-09-09,-1.1260529037978426,-1.4485000738879859,-3.9518250332495937,1.0,-3.857396187379932,-3.3939707403576183,0.0
2019-09-10,-1.1192199734081842,-1.4594474811641307,-3.9317476732161323,1.0,-3.8547791401979614,-3.408036637612646,0.0
