Date,IWF,IWM,MTUM,PI,SPY,VLUE,VXX
2018-09-24,-2.809516231699555,-3.6295353278166775,-2.231222151495863,1.0,-3.133513685550605,-3.109484404837683,0.0
2018-09-25,-2.809448067440751,-3.6268490536026725,-2.2322252266581835,1.0,-3.1310641005248927,-3.1060919357404173,0.0
2018-09-26,-2.809766184189598,-3.627008111977096,-2.2331795769047242,1.0,-3.130745983776046,-3.1051375854938765,0.0
2018-09-27,-2.810424280947084,-3.615922453519784,-2.233592880978865,1.0,-3.128555537899253,-3.1021770220880343,0.0
2018-09-28,-2.8083584935642776,-3.617829334180836,-2.234069601144128,1.0,-3.1282377244557447,-3.1021770220880343,0.0
2018-10-01,-2.80823006037496,-3.6166190022243407,-2.233873530346362,1.0,-3.1278995869081667,-3.1016841436288534,0.0
2018-10-02,-2.817327599936296,-3.6109253065774802,-2.2441471571906355,1.0,-3.1399904443382707,-3.1137123745819397,0.0
2018-10-03,-2.8137130130448615,-3.603086223353484,-2.2395800190900412,1.0,-3.138561883550748,-3.1134266624244353,0.0
2018-10-04,-2.8174009861619216,-3.59551455384126,-2.2406553205026247,1.0,-3.142834420232225,-3.1094321616033085,0.0
2018-10-05,-2.7768673179955874,-3.5638197289631264,-2.1972896312637884,1.0,-3.124960605105578,-3.095020485345099,0.0
2018-10-08,-2.767284726587052,-3.551539912005028,-2.184789440603394,1.0,-3.1222501571338777,-3.0875235700817094,0.0
2018-10-09,-2.764890774791765,-3.5530410183875527,-2.1785321389281784,1.0,-3.126198334119126,-3.093195033789093,0.0
2018-10-10,-2.766027655562539,-3.5510685103708357,-2.180075424261471,1.0,-3.1263356379635447,-3.0898805782526715,0.0
2018-10-11,-2.5515088449531738,-3.4208413854615727,-1.935781180318121,1.0,-2.9717556117139887,-2.985729151181805,0.0
2018-10-12,-2.509310445155659,-3.3604887983706724,-1.8810008728542333,1.0,-2.893948210648822,-2.902531277276695,0.0
2018-10-15,-2.471211022480058,-3.4102973168963016,-1.827701232777375,1.0,-2.887309644670051,-2.9068890500362583,0.0
2018-10-16,-2.4700755374782104,-3.4341952353282976,-1.8171121441022662,1.0,-2.8925043579314353,-2.9124055781522373,0.0
2018-10-17,-2.3849957615145523,-3.31421305453518,-1.7315625883017802,1.0,-2.829612884995762,-2.867900536874824,0.0
2018-10-18,-2.3862254278037054,-3.3148069579974546,-1.7348324140857023,1.0,-2.8349596945269413,-2.8714467543487485,0.0
2018-10-19,-2.346621905161561,-3.276961812840957,-1.6939432088403974,1.0,-2.818156385508463,-2.85228703315149,0.0
2018-10-22,-2.3464390653421012,-3.2803973695256747,-1.6909192668252413,1.0,-2.8200643626696515,-2.8542045613544142,0.0
2018-10-23,-2.348446683459278,-3.2801567310383435,-1.6949342289392668,1.0,-2.8178001679261127,-2.8526448362720407,0.0
2018-10-24,-2.34946838276441,-3.2758813654169,-1.684946838276441,1.0,-2.821348628987129,-2.858282036933408,0.0
2018-10-25,-2.1740731001840654,-3.0728372337628187,-1.5428608992900341,1.0,-2.681698658953458,-2.6760452274520117,0.0
2018-10-26,-2.1210281580986825,-3.0215706535778866,-1.4829501420821491,1.0,-2.657969516920692,-2.633169723585637,0.0
2018-10-29,-2.0857399563599026,-3.0314465408805034,-1.4469259401873957,1.0,-2.6370170709793355,-2.634321653189578,0.0
2018-10-30,-2.0736164736164735,-3.0451737451737446,-1.435135135135135,1.0,-2.6508365508365506,-2.665250965250965,0.0
2018-10-31,-2.072717961848675,-3.0053770323902187,-1.4286262962488798,1.0,-2.6435795672769173,-2.6521572141851237,0.0
2018-11-01,-2.0477585328578702,-3.0113346917982677,-1.401171676006113,1.0,-2.6324503311258276,-2.6428935303107486,0.0
2018-11-02,-2.028863120746156,-2.970254600453744,-1.3713133350138644,1.0,-2.6160826821275522,-2.617343080413411,0.0
2018-11-05,-2.0269041303524062,-2.9989895162308953,-1.372236958443855,1.0,-2.6232158645951746,-2.6098269546545407,0.0
2018-11-06,-2.035782020482994,-3.008724238209635,-1.370084713617398,1.0,-2.622834745226957,-2.606524212921988,0.0
2018-11-07,-2.0327392238655038,-3.008216407533814,-1.3750474023511567,1.0,-2.619769940589053,-2.6048540007584378,0.0
2018-11-08,-1.9906976744186047,-3.0226272784412322,-1.3211816467630422,1.0,-2.6129478315524826,-2.623004399748586,0.0
2018-11-09,-1.9894432575091114,-3.0216161870051526,-1.321854970466256,1.0,-2.61279376649491,-2.621968078421516,0.0
2018-11-12,-1.984101151727591,-2.989984977466199,-1.3140961442163244,1.0,-2.616925388082123,-2.6136705057586376,0.0
2018-11-13,-1.9315912732651301,-2.9620362381363248,-1.2558856156785407,1.0,-2.5923825958338473,-2.5841242450388267,0.0
2018-11-14,-1.931599704214937,-2.961424698052748,-1.2554843480404239,1.0,-2.5920631008134087,-2.583682524032536,0.0
2018-11-15,-1.9275700934579438,-2.9589276930644366,-1.249262174126906,1.0,-2.5905066404328574,-2.570831283817019,0.0
2018-11-16,-1.9140271493212673,-2.9364069952305245,-1.2355387061269414,1.0,-2.578329460682402,-2.5651216827687415,0.0
2018-11-19,-1.9162995594713654,-2.9361233480176208,-1.241801272638277,1.0,-2.5777043563387174,-2.5651003426333823,0.0
