Date,ARMK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.30645638537104986,-0.6683335305953367,-0.05515445614865665,-0.5108592732867795,-0.41809681619126526,0.0
2018-09-25,1.0,-0.30693684366218016,-0.6676231326726815,-0.05611595917763644,-0.510220381600355,-0.417216388108268,0.0
2018-09-26,1.0,-0.30820458177943527,-0.6694192860948323,-0.058515361392292665,-0.5099449476114367,-0.4137216598591132,0.0
2018-09-27,1.0,-0.3112057744645604,-0.6623180688675896,-0.06061412850550231,-0.5102946396876109,-0.413767601467282,0.0
2018-09-28,1.0,-0.30908552826279967,-0.6645753181414621,-0.061201538916839306,-0.5104172832198877,-0.4141757916543356,0.0
2018-10-01,1.0,-0.3091242712125248,-0.6644766048122169,-0.061380922785521916,-0.5103436029477049,-0.41418804936517795,0.0
2018-10-02,1.0,-0.30905051103540215,-0.671189453414309,-0.05975411050214783,-0.5093467634424529,-0.41318323211376096,0.0
2018-10-03,1.0,-0.30890889705011254,-0.6692335031394384,-0.05973818267977728,-0.509714488804644,-0.4141393199857837,0.0
2018-10-04,1.0,-0.31317769745807905,-0.6631510339515317,-0.060348403152218996,-0.5154648337974759,-0.4105291224743734,0.0
2018-10-05,1.0,-0.3060236696868636,-0.6596228197030959,-0.0524746923235841,-0.5193164713868311,-0.4138948735354012,0.0
2018-10-08,1.0,-0.30462834752378987,-0.6572194561470701,-0.05011342544854609,-0.5210205344253601,-0.413104321951507,0.0
2018-10-09,1.0,-0.30252175195398906,-0.6589883498009143,-0.04341542545347294,-0.5255567025512461,-0.41896475446099396,0.0
2018-10-10,1.0,-0.30371833810043347,-0.6578008433344146,-0.04476159584819981,-0.5262583669979064,-0.4162120720667591,0.0
2018-10-11,1.0,-0.2774799700270909,-0.6539858205083866,-0.01118220070321056,-0.5193094702864718,-0.4200530289930255,0.0
2018-10-12,1.0,-0.2787250449832919,-0.6504441207551481,-0.007283009168023306,-0.5112386827749693,-0.40841972981464025,0.0
2018-10-15,1.0,-0.28340822576490454,-0.6459543776295831,-0.010933340965683049,-0.5134663270271044,-0.40836887146169043,0.0
2018-10-16,1.0,-0.28270513150739823,-0.6486076529006038,-0.008900718353796399,-0.5134655562233479,-0.4082596376749377,0.0
2018-10-17,1.0,-0.27290442837776774,-0.6250847266154541,-0.0007342973339358336,-0.5117487573429733,-0.4137200632625396,0.0
