Date,IWF,IWM,MTUM,SPY,USM,VLUE,VXX
2018-09-24,-0.6558291308217146,-1.673331355680807,-0.0,-1.270898843073272,1.0,-1.3328982497775141,0.0
2018-09-25,-0.6558661207050026,-1.6737285621031395,-0.0,-1.2713192095424604,1.0,-1.3334520206515934,0.0
2018-09-26,-0.656064562069784,-1.6739852836458582,-0.0,-1.2711844291478755,1.0,-1.3327201519107525,0.0
2018-09-27,-0.6613515115589805,-1.662062833432128,-0.0,-1.271724955542383,1.0,-1.3325429756965028,0.0
2018-09-28,-0.662062833432128,-1.6615886188500297,-0.0,-1.2716656787196208,1.0,-1.3324244220509782,0.0
2018-10-01,-0.662571225071225,-1.6655982905982907,-0.0,-1.2728513770180439,1.0,-1.3344017094017093,0.0
2018-10-02,-0.6631835183755863,-1.6681707534287242,-0.0,-1.2721605414712343,1.0,-1.3336697737932672,0.0
2018-10-03,-0.6622343583046421,-1.6534488899442006,-0.0,-1.2774545886263802,1.0,-1.3429894336934585,0.0
2018-10-04,-0.6681896398267371,-1.6438022903934015,-0.0,-1.284400403488993,1.0,-1.337328665519492,0.0
2018-10-05,-0.632345971563981,-1.6305687203791468,-0.0,-1.3007701421800946,1.0,-1.3604857819905212,0.0
2018-10-08,-0.6280408211700487,-1.6282781535540525,-0.0,-1.3134567461730153,1.0,-1.3634745461018156,0.0
2018-10-09,-0.6261271950640721,-1.6282629330802088,-0.0,-1.3138348362600856,1.0,-1.3644399620313243,0.0
2018-10-10,-0.6538716480867731,-1.6520638746610428,-0.0,-1.346248870141609,1.0,-1.3736667670985236,0.0
2018-10-11,-0.49441470793576914,-1.6315452641377706,-0.0,-1.2966022806609263,1.0,-1.3954503141726786,0.0
2018-10-12,-0.4871824085678478,-1.6052181838897115,-0.0,-1.2536174091375185,1.0,-1.3507462686567164,0.0
2018-10-15,-0.480382666135186,-1.6087352656454643,-0.0,-1.2537440920220946,1.0,-1.3515745117020672,0.0
2018-10-16,-0.47537436656607635,-1.6166941866423732,-0.0,-1.2518931845356716,1.0,-1.349769401582873,0.0
2018-10-17,-0.42884176545889685,-1.5363165803973953,-0.0,-1.2382701619636,1.0,-1.3623309400567707,0.0
2018-10-18,-0.42765685019206146,-1.5340978678394475,-0.0,-1.2418304292156097,1.0,-1.3633580136948171,0.0
2018-10-19,-0.3933740575642507,-1.5091629519564138,-0.0,-1.2404380606460843,1.0,-1.3603544108744703,0.0
2018-10-22,-0.3939544103072349,-1.4948243585508205,-0.0,-1.2490915097456228,1.0,-1.3681312630767537,0.0
2018-10-23,-0.39729194187582556,-1.4945508586525758,-0.0,-1.2460369881109643,1.0,-1.3663033905768385,0.0
2018-10-24,-0.3943483529800595,-1.4885424699790681,-0.0,-1.2507987220447283,1.0,-1.3747383496750025,0.0
2018-10-25,-0.325770278767554,-1.3854013833577867,-0.0,-1.2269440368895408,1.0,-1.3018759169985328,0.0
2018-10-26,-0.2892230837279492,-1.3697247229015976,-0.0,-1.2516521829630014,1.0,-1.2930738408700628,0.0
2018-10-29,-0.2570882611165625,-1.3756649279553788,-0.0,-1.2353974074265353,1.0,-1.2963900222073028,0.0
2018-10-30,-0.24829686209744015,-1.375,-0.0,-1.235033030553262,1.0,-1.3027456647398843,0.0
2018-10-31,-0.2512888571282732,-1.3392884487774999,-0.0,-1.2246950130161809,1.0,-1.289112347506508,0.0
2018-11-01,-0.2400550094229104,-1.3447257169052107,-0.0,-1.221667600468599,1.0,-1.2870167575001275,0.0
2018-11-02,-0.2539972590223847,-1.2907466626059592,-0.0,-1.2477031622760266,1.0,-1.2834373889650272,0.0
2018-11-05,-0.3376380423631646,-1.7219238428580048,-0.0,-1.5425140305352725,1.0,-1.43256291110977,0.0
2018-11-06,-0.37934863064396745,-1.786392795460153,-0.0,-1.5639649642240316,1.0,-1.4386257093510981,0.0
2018-11-07,-0.3792207792207792,-1.7945578231292516,-0.0,-1.5667285095856525,1.0,-1.4437847866419293,0.0
2018-11-08,-0.33388067870826493,-1.7777169616250077,-0.0,-1.5364592835857203,1.0,-1.4335583530985831,0.0
2018-11-09,-0.33684595236644943,-1.780227812633246,-0.0,-1.5378570993482366,1.0,-1.4363160138880429,0.0
2018-11-12,-0.3381268661263786,-1.7483395283651209,-0.0,-1.5669977454146609,1.0,-1.4400097495582231,0.0
2018-11-13,-0.27863907824093626,-1.7430174337938105,-0.0,-1.5756771430294987,1.0,-1.435120950714846,0.0
2018-11-14,-0.2798721273900718,-1.7418420893901925,-0.0,-1.5756076964835033,1.0,-1.434404970142952,0.0
2018-11-15,-0.2778212930047599,-1.7453756703018617,-0.0,-1.58299692715551,1.0,-1.419051635837802,0.0
2018-11-16,-0.27032215489831424,-1.7252384666146738,-0.0,-1.5777791109244705,1.0,-1.4258803767472554,0.0
