Date,IWF,IWM,MSA,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.7563632058719072,1.0,-0.0,-0.4228720255712087,-0.0,-0.13985241308551358,-0.0,-0.0,-0.2629335858884811,-0.0,-0.22497139023716503,-0.0,-0.0,-0.3936308748668166,-0.23124580718992935,-0.514344343159307,-0.0,-0.0
2019-01-03,-0.0,-0.7697332179113875,1.0,-0.0,-0.3977335326985127,-0.0,-0.0916030534351145,-0.0,-0.0,-0.2867317226725427,-0.0,-0.24710789328716457,-0.0,-0.0,-0.4209884315731487,-0.19729283072322343,-0.5236483827811443,-0.0,-0.0
2019-01-04,-0.0,-0.7741453243636649,1.0,-0.0,-0.39749793461583854,-0.0,-0.08674613478106927,-0.0,-0.0,-0.2860458711987096,-0.0,-0.2464298359494866,-0.0,-0.0,-0.4222825445532869,-0.19516896809473228,-0.5257091152287658,-0.0,-0.0
2019-01-07,-0.0,-0.7082778812882619,1.0,-0.0,-0.4408152401231986,-0.0,-0.14943533974675843,-0.0,-0.0,-0.22171945701357465,-0.0,-0.22107304460245636,-0.0,-0.0,-0.36020381003079965,-0.2790980645651926,-0.42180311038442525,-0.0,-0.0
2019-01-08,-0.0,-0.6456583712150398,1.0,-0.0,-0.46428846598351187,-0.0,-0.17536019724169813,-0.0,-0.0,-0.23564989598582328,-0.0,-0.2468988365821712,-0.0,-0.0,-0.38473688265659917,-0.2322212805300871,-0.46760151013175133,-0.0,-0.0
2019-01-09,-0.0,-0.640446850166993,1.0,-0.0,-0.458174977926216,-0.0,-0.17958462896848248,-0.0,-0.0,-0.23041191600445313,-0.0,-0.2559407270912511,-0.0,-0.0,-0.3856194095742639,-0.22830051057622175,-0.4604399401128642,-0.0,-0.0
2019-01-10,-0.0,-0.6401259213759214,1.0,-0.0,-0.4580773955773956,-0.0,-0.1794379606879607,-0.0,-0.0,-0.2306894963144963,-0.0,-0.2557585995085995,-0.0,-0.0,-0.38636363636363635,-0.22815571253071254,-0.4604960073710074,-0.0,-0.0
2019-01-11,-0.0,-0.6296466268930703,1.0,-0.0,-0.45230992810157566,-0.0,-0.17014685635612667,-0.0,-0.0,-0.23879455407679365,-0.0,-0.2683952883585743,-0.0,-0.0,-0.4081382897353526,-0.20594309316200093,-0.4510096374483708,-0.0,-0.0
2019-01-14,-0.0,-0.6257847190323074,1.0,-0.0,-0.45888837850252634,-0.0,-0.16900168427499615,-0.0,-0.0,-0.24475578012555502,-0.0,-0.26565610166896336,-0.0,-0.0,-0.40296279283417547,-0.20253406828969528,-0.4583141938447404,-0.0,-0.0
2019-01-15,-0.0,-0.5987370182980181,1.0,-0.0,-0.4676075626735649,-0.0,-0.16316049758435727,-0.0,-0.0,-0.2430098527789402,-0.0,-0.2875565869060753,-0.0,-0.0,-0.4046106440445848,-0.22509225092250923,-0.41438733974968617,-0.0,-0.0
2019-01-16,-0.0,-0.600272180849053,1.0,-0.0,-0.5180508826976147,-0.0,-0.16020867198427402,-0.0,-0.0,-0.21593014024874305,-0.0,-0.28008165425471593,-0.0,-0.0,-0.3973084338260311,-0.22182739197822554,-0.38657241144671683,-0.0,-0.0
2019-01-17,-0.0,-0.593217134863322,1.0,-0.0,-0.5227796892132027,-0.0,-0.17214261408748913,-0.0,-0.0,-0.2254527581383039,-0.0,-0.2581950168248327,-0.0,-0.0,-0.41528980301712726,-0.214450451812923,-0.37929600362962684,-0.0,-0.0
2019-01-18,-0.0,-0.5834906016456556,1.0,-0.0,-0.5127953498905413,-0.0,-0.16358420774514984,-0.0,-0.0,-0.23492111421453912,-0.0,-0.2626632445081905,-0.0,-0.0,-0.4194534611610176,-0.21653959387031024,-0.3809919226994791,-0.0,-0.0
2019-01-22,-0.0,-0.5928724484041953,1.0,-0.0,-0.4917108379384233,-0.0,-0.15093417540693957,-0.0,-0.0,-0.24100597721890152,-0.0,-0.2579602270591331,-0.0,-0.0,-0.41099958648171114,-0.2239765422352543,-0.3898725611819104,-0.0,-0.0
2019-01-23,-0.0,-0.5943856488778804,1.0,-0.0,-0.48284920813630566,-0.0,-0.16028672220971255,-0.0,-0.0,-0.23159198378743528,-0.0,-0.26101478645950615,-0.0,-0.0,-0.3980710050288974,-0.2306912857464535,-0.3939803347594386,-0.0,-0.0
2019-01-24,-0.0,-0.5920206401435836,1.0,-0.0,-0.4981678133413101,-0.0,-0.14320969189350882,-0.0,-0.0,-0.23893209691893508,-0.0,-0.2622270415794197,-0.0,-0.0,-0.36939126533054145,-0.24854172898594076,-0.38662877654801076,-0.0,-0.0
2019-01-25,-0.0,-0.5845059880239521,1.0,-0.0,-0.506624251497006,-0.0,-0.15145958083832337,-0.0,-0.0,-0.23663922155688621,-0.0,-0.25800898203592815,-0.0,-0.0,-0.38577844311377246,-0.2429266467065868,-0.37660928143712574,-0.0,-0.0
2019-01-28,-0.0,-0.5838232540722711,1.0,-0.0,-0.50919303501217,-0.0,-0.14967234600262122,-0.0,-0.0,-0.23707170941771205,-0.0,-0.2571428571428571,-0.0,-0.0,-0.3888410410035574,-0.23639767833739,-0.38251263808275604,-0.0,-0.0
2019-01-29,-0.0,-0.5805375488077636,1.0,-0.0,-0.5351605443724173,-0.0,-0.16088555290192955,-0.0,-0.0,-0.25766708366503654,-0.0,-0.2574775389514386,-0.0,-0.0,-0.3671102012964858,-0.19219833958830887,-0.43985746237537426,-0.0,-0.0
2019-01-30,-0.0,-0.5813812217624055,1.0,-0.0,-0.5470974600402445,-0.0,-0.16891301871749118,-0.0,-0.0,-0.24807319943809558,-0.0,-0.25399597554956527,-0.0,-0.0,-0.36531379323436725,-0.19693230570636697,-0.4349443790576711,-0.0,-0.0
2019-01-31,-0.0,-0.5680133151762747,1.0,-0.0,-0.5958541382962627,-0.0,-0.1398093508851566,-0.0,-0.0,-0.24008927220456955,-0.0,-0.25786805870782264,-0.0,-0.0,-0.36143894689060374,-0.1954909971251324,-0.42411862611590256,-0.0,-0.0
2019-02-01,-0.0,-0.5876706164691766,1.0,-0.0,-0.598207589620519,-0.0,-0.2114144292785361,-0.0,-0.0,-0.1558797060146993,-0.0,-0.2871981400929954,-0.0,-0.0,-0.31985900704964754,-0.2197765111744413,-0.3697690115494226,-0.0,-0.0
2019-02-04,-0.0,-0.5878269353446659,1.0,-0.0,-0.594956658786446,-0.0,-0.203234642950955,-0.0,-0.0,-0.16041877744005403,-0.0,-0.2854516116927464,-0.0,-0.0,-0.3238770685579196,-0.22432361439453638,-0.37239671282224474,-0.0,-0.0
2019-02-05,-0.0,-0.5739456419868791,1.0,-0.0,-0.5993252108716027,-0.0,-0.19966260543580133,-0.0,-0.0,-0.16393626991565136,-0.0,-0.2937956888472352,-0.0,-0.0,-0.31658856607310215,-0.2245548266166823,-0.3769821930646673,-0.0,-0.0
2019-02-06,-0.0,-0.5721195305762814,1.0,-0.0,-0.6017022233886994,-0.0,-0.19976753777511155,-0.0,-0.0,-0.16587304563008512,-0.0,-0.2924899703798133,-0.0,-0.0,-0.31498631472385735,-0.22563833377076223,-0.3768512616699786,-0.0,-0.0
2019-02-07,-0.0,-0.5900457923579311,1.0,-0.0,-0.5947751670295023,-0.0,-0.2104947076045342,-0.0,-0.0,-0.14540950379100667,-0.0,-0.29367164627280234,-0.0,-0.0,-0.3245627205164778,-0.2162375197057278,-0.37831243900608064,-0.0,-0.0
2019-02-08,-0.0,-0.5908732690359141,1.0,-0.0,-0.5869328629864525,-0.0,-0.21630952827710437,-0.0,-0.0,-0.14556985777010545,-0.0,-0.2982699741059031,-0.0,-0.0,-0.33399632228768716,-0.21150598566442752,-0.36934739370285585,-0.0,-0.0
2019-02-11,-0.0,-0.5916604057099925,1.0,-0.0,-0.5834335086401202,-0.0,-0.22171299774605563,-0.0,-0.0,-0.14759579263711495,-0.0,-0.2943651389932382,-0.0,-0.0,-0.33786626596543956,-0.20845229151014275,-0.37145003756574,-0.0,-0.0
2019-02-12,-0.0,-0.5887457270575861,1.0,-0.0,-0.5828856917471169,-0.0,-0.2229818564291349,-0.0,-0.0,-0.14984410803500997,-0.0,-0.29465459599564253,-0.0,-0.0,-0.33710228766763084,-0.20844446113970172,-0.37181172758348674,-0.0,-0.0
2019-02-13,-0.0,-0.5842970862120757,1.0,-0.0,-0.546673175127666,-0.0,-0.24369179933914087,-0.0,-0.0,-0.14951937518774408,-0.0,-0.28698558125563234,-0.0,-0.0,-0.3190898167617903,-0.26036347251426856,-0.36429858816461397,-0.0,-0.0
2019-02-14,-0.0,-0.5854309114133293,1.0,-0.0,-0.5414381245773536,-0.0,-0.2436696971973852,-0.0,-0.0,-0.15151401307385978,-0.0,-0.28781275828386804,-0.0,-0.0,-0.32027199639341797,-0.25490269742279653,-0.3718160643173792,-0.0,-0.0
2019-02-15,-0.0,-0.5878046033116809,1.0,-0.0,-0.5394810948822889,-0.0,-0.24364510194120076,-0.0,-0.0,-0.1525926482183757,-0.0,-0.2853602673375136,-0.0,-0.0,-0.3159989486726993,-0.25738745165771787,-0.3723951488754553,-0.0,-0.0
2019-02-19,-0.0,-0.5704775795654288,1.0,-0.0,-0.5468042933542765,-0.0,-0.23860278993230857,-0.0,-0.0,-0.1757358165974793,-0.0,-0.26212648191779797,-0.0,-0.0,-0.30779011930139494,-0.26096712666891053,-0.37731403567822275,-0.0,-0.0
2019-02-20,-0.0,-0.5621350501572092,1.0,-0.0,-0.5444303039377152,-0.0,-0.2527324449767929,-0.0,-0.0,-0.17712232370115286,-0.0,-0.26575834705794277,-0.0,-0.0,-0.2989219943105255,-0.2707366372211409,-0.3712007785596646,-0.0,-0.0
