Date,IWF,IWM,MTUM,SPY,VLUE,VMO,VXX
2018-09-24,-0.11125924721567353,-0.23069669132590845,-0.0,-0.15775953174538657,-0.12615234533777742,1.0,0.0
2018-09-25,-0.11061939703561491,-0.23129362380619237,-0.0,-0.15820900379089858,-0.12688934806306235,1.0,0.0
2018-09-26,-0.10985200019537929,-0.23092202738566242,-0.0,-0.15856656734886598,-0.12882007196470147,1.0,0.0
2018-09-27,-0.1105939788445891,-0.2292921074043938,-0.0,-0.15863303498779494,-0.12880390561432056,1.0,0.0
2018-09-28,-0.1099228440277371,-0.23010059576130484,-0.0,-0.15873946023374677,-0.1290002278868379,1.0,0.0
2018-10-01,-0.10959350653584118,-0.23173713205332988,-0.0,-0.1589138442481338,-0.12964109919483652,1.0,0.0
2018-10-02,-0.10984119737828936,-0.2313724850816839,-0.0,-0.15922653014641144,-0.1299768480777383,1.0,0.0
2018-10-03,-0.10947382147747277,-0.2277009845471735,-0.0,-0.1605268305405229,-0.13235965312642628,1.0,0.0
2018-10-04,-0.11168356865686244,-0.22467147096227216,-0.0,-0.16353083118661754,-0.13051488570776404,1.0,0.0
2018-10-05,-0.1120967479410137,-0.22515381360070313,-0.0,-0.16204954588365506,-0.12834076630098637,1.0,0.0
2018-10-08,-0.11600546295229788,-0.2329159330623797,-0.0,-0.16395438763924772,-0.13255886660194496,1.0,0.0
2018-10-09,-0.11528401520011844,-0.23275592623665464,-0.0,-0.16409218773133297,-0.13291878464853837,1.0,0.0
2018-10-10,-0.11615364377795316,-0.2321264141015522,-0.0,-0.16449618521441725,-0.13152788739805316,1.0,0.0
2018-10-11,-0.09875571967568436,-0.2242594525166573,-0.0,-0.1540499317652725,-0.12847395038933931,1.0,0.0
2018-10-12,-0.10002062608088597,-0.2197470925159059,-0.0,-0.14668316753137545,-0.1201865867009377,1.0,0.0
2018-10-15,-0.09570006488676468,-0.22254577682118154,-0.0,-0.1450456581258803,-0.11932834285533415,1.0,0.0
2018-10-16,-0.09382864559426392,-0.22561294100887955,-0.0,-0.14454169898225677,-0.11882112727330284,1.0,0.0
2018-10-17,-0.08853481230807796,-0.21501535376323871,-0.0,-0.14272732969856491,-0.12043303879175284,1.0,0.0
