Date,IWF,IWM,MTUM,SGC,SPY,VLUE,VXX
2018-09-24,-0.5646202726247822,-1.525776365686174,-0.09669980526801271,1.0,-1.0372040586245772,-0.9001742338833658,0.0
2018-09-25,-0.5743225872795517,-1.5267108848784001,-0.10679212298832845,1.0,-1.0373798138721786,-0.8964471181037585,0.0
2018-09-26,-0.5742492801316331,-1.526840806252571,-0.10648909913615796,1.0,-1.0375874125874127,-0.8967503085150145,0.0
2018-09-27,-0.5747238633444645,-1.5227331107115336,-0.10768045209350116,1.0,-1.0364757256614436,-0.8958129976881583,0.0
2018-09-28,-0.5719452337897184,-1.538568845259623,-0.10932575561870318,1.0,-1.043606303280806,-0.9031774735210539,0.0
2018-10-01,-0.5717165452008063,-1.5397219207112214,-0.1099912131079754,1.0,-1.0435726469220035,-0.9037576885305215,0.0
2018-10-02,-0.5721676151060527,-1.546301086394206,-0.1091050181065701,1.0,-1.0426797723745473,-0.9030522503879979,0.0
2018-10-03,-0.5739405570828363,-1.5308366616525755,-0.10597022667150786,1.0,-1.055189584522019,-0.9210021266663209,0.0
2018-10-04,-0.5765284974093263,-1.523419689119171,-0.10709844559585492,1.0,-1.0577720207253887,-0.916580310880829,0.0
2018-10-05,-0.5539208094574364,-1.5159258685664139,-0.08280419183315264,1.0,-1.074596045635228,-0.9351091838315007,0.0
2018-10-08,-0.5501158301158301,-1.5098584298584299,-0.07685971685971686,1.0,-1.078198198198198,-0.933024453024453,0.0
2018-10-09,-0.5477821853588172,-1.5120807789397763,-0.06944515996084695,1.0,-1.0831487301014888,-0.9393642779867085,0.0
2018-10-10,-0.5480665259255446,-1.5109417640698213,-0.06997579939241028,1.0,-1.0832088975850884,-0.936923948303383,0.0
2018-10-11,-0.44536775980610377,-1.4991838551713905,-0.0,1.0,-1.0512440025720928,-0.9505366770539646,0.0
2018-10-12,-0.4528026469443363,-1.4883223043985985,-0.0,1.0,-1.0163974309069677,-0.9081841183339822,0.0
2018-10-15,-0.4263629755270172,-1.5067603586140053,-0.0,1.0,-1.0085291979646231,-0.9044826750666344,0.0
2018-10-16,-0.41589035750865727,-1.5407989074769548,-0.0,1.0,-1.0124859776618056,-0.9082085548456323,0.0
2018-10-17,-0.37564816593047823,-1.4760898790090262,-0.0,1.0,-1.0138755521413483,-0.9355675052813521,0.0
2018-10-18,-0.37727229008367796,-1.4808598634221408,-0.0,1.0,-1.0136577858997786,-0.937241511974608,0.0
2018-10-19,-0.34669080859579743,-1.4632391480440272,-0.0,1.0,-1.0185829322914184,-0.9363891933101444,0.0
2018-10-22,-0.347280534351145,-1.448854961832061,-0.0,1.0,-1.0288645038167938,-0.9460400763358778,0.0
2018-10-23,-0.3532359679266896,-1.4499331806032836,-0.0,1.0,-1.0252481863306604,-0.9443489881634212,0.0
2018-10-24,-0.3497473543712461,-1.4482314805987226,-0.0,1.0,-1.0248832109829344,-0.944036609781676,0.0
2018-10-25,-0.2879843372945408,-1.3626098438282566,-0.0,1.0,-1.020989846560124,-0.8815280244046807,0.0
2018-10-26,-0.2626036298453955,-1.3360071700649787,-0.0,1.0,-1.019941743222048,-0.8627380685637464,0.0
2018-10-29,-0.23206337902795088,-1.3468043439558484,-0.0,1.0,-1.0052964215773545,-0.8666102901904932,0.0
2018-10-30,-0.2094019000044601,-1.3511440167699924,-0.0,1.0,-1.0101244369118236,-0.8894340127558985,0.0
2018-10-31,-0.21814398299831755,-1.3168334366421677,-0.0,1.0,-1.0096077215974497,-0.8828920570264766,0.0
