Date,FIT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7877598301048974,-1.955917369200077,-0.05045369714910869,-1.272089581054122,-1.3691357230194994,0.0
2018-09-25,1.0,-0.7886557886557887,-1.9722869722869723,-0.042864542864542866,-1.286065786065786,-1.3851981351981353,0.0
2018-09-26,1.0,-0.7897940681258904,-1.973643310452014,-0.04526615723351897,-1.285520010361352,-1.3816215516124855,0.0
2018-09-27,1.0,-0.7897123607152112,-1.975317439751231,-0.045348535890126974,-1.2859549105986008,-1.3820290230629697,0.0
2018-09-28,1.0,-0.7890918512760721,-1.9749319860085504,-0.046314289415727426,-1.2855292136287084,-1.381655654877575,0.0
2018-10-01,1.0,-0.8011863633400692,-1.9811615931164852,-0.046085652825761034,-1.2993937813701846,-1.390717684635943,0.0
2018-10-02,1.0,-0.8033502802763656,-1.9632381697301526,-0.053122148350932076,-1.3032850997262415,-1.3949941337504888,0.0
2018-10-03,1.0,-0.8081402957728046,-1.9818741002486582,-0.056406229551105865,-1.3046721633294072,-1.3924878942546786,0.0
2018-10-04,1.0,-0.8123978290721244,-1.9722748970117046,-0.05793500294252272,-1.3096841692277512,-1.3866474857778068,0.0
2018-10-05,1.0,-0.7922441277897065,-1.965970460016917,-0.03298848331056022,-1.3172620209512655,-1.3981391111978658,0.0
2018-10-08,1.0,-0.7901210464662242,-1.9631654301705064,-0.022842639593908632,-1.3304698685409346,-1.4013406221528049,0.0
2018-10-09,1.0,-0.7876440335915631,-1.9647809387409676,-0.015623982813618905,-1.334743831781785,-1.4072000520799426,0.0
2018-10-10,1.0,-0.7871383893666927,-1.9684649465728432,-0.012900703674745894,-1.3361350013031013,-1.4109330205890018,0.0
2018-10-11,1.0,-0.6565599497802888,-1.938166980539862,-0.0,-1.2752667922159449,-1.4074074074074074,0.0
2018-10-12,1.0,-0.6579907264296754,-1.9253786707882534,-0.0,-1.234374034003091,-1.3646367851622876,0.0
2018-10-15,1.0,-0.6335840216989274,-1.9423005794599928,-0.0,-1.2264825545555418,-1.3621008506965848,0.0
2018-10-16,1.0,-0.6196762141967621,-1.9996886674968868,-0.0,-1.2363636363636363,-1.3709215442092155,0.0
2018-10-17,1.0,-0.5782831362029021,-1.9284233630045118,-0.0,-1.2170467016217534,-1.3731252286306548,0.0
