Date,IWF,IWM,MOO,MTUM,SPY,VLUE,VXX
2018-09-24,-0.19327786292971316,-0.28171666301729803,1.0,-0.1028246113422378,-0.3100722574994526,-0.3017079045325159,0.0
2018-09-25,-0.19296478009462062,-0.28224110741195024,1.0,-0.10219905379358682,-0.3105177851760995,-0.3023698966181882,0.0
2018-09-26,-0.19310964124578386,-0.2824258618423935,1.0,-0.1025888124753603,-0.3103946734416751,-0.301677690656621,0.0
2018-09-27,-0.19421216233965236,-0.27945361411496866,1.0,-0.10345431460969311,-0.31036294382907925,-0.3015629788538155,0.0
2018-09-28,-0.19387040280210158,-0.27981611208406304,1.0,-0.10361208406304728,-0.3102889667250438,-0.3015542907180386,0.0
2018-10-01,-0.19379980733864613,-0.2800157632016814,1.0,-0.10373062439793326,-0.3102285664243804,-0.30158069883527455,0.0
2018-10-02,-0.19421152877815967,-0.2765286686954047,1.0,-0.10504192481993126,-0.3110099174639315,-0.30247170348315344,0.0
2018-10-03,-0.19401090121051595,-0.2708885143269925,1.0,-0.10410874942538799,-0.31344263730490557,-0.30654729330385483,0.0
2018-10-04,-0.19429121793187987,-0.270488573680063,1.0,-0.10425969704929515,-0.313676560721478,-0.3062560196129936,0.0
2018-10-05,-0.1907578800314328,-0.2674626735353182,1.0,-0.10108705142757354,-0.31526674233825197,-0.30823801624028635,0.0
2018-10-08,-0.18994985829518204,-0.2659036407237846,1.0,-0.09960758665794638,-0.31661216481360366,-0.308000872029649,0.0
2018-10-09,-0.18912143012862437,-0.26607804665358625,1.0,-0.097514715500327,-0.3177676040985394,-0.3096141268803139,0.0
2018-10-10,-0.18848613141871984,-0.26763852213953687,1.0,-0.09615258712873448,-0.31800624140715356,-0.3120048883748336,0.0
2018-10-11,-0.17937035757471068,-0.2637761271376749,1.0,-0.08533425462083262,-0.3161599585420625,-0.31462687856279153,0.0
2018-10-12,-0.1812824139556813,-0.25922592259225924,1.0,-0.08473704513308473,-0.31008100810081013,-0.3077450602203078,0.0
2018-10-15,-0.18145981961137175,-0.2581571223514793,1.0,-0.084795509565739,-0.310281294856139,-0.30771043554641475,0.0
2018-10-16,-0.18050139275766017,-0.2622884079708592,1.0,-0.08174416113134776,-0.3104992500535676,-0.30767088065138204,0.0
