Date,HHC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2812684444921393,-0.5317915973600902,-0.0691903203305253,-0.4128078553415249,-0.3877770027364919,0.0
2018-09-25,1.0,-0.2804933759707629,-0.5342756563566495,-0.06693897293956413,-0.41496251310026067,-0.39056243785773787,0.0
2018-09-26,1.0,-0.2801763535673961,-0.5341416205172321,-0.06570245712135062,-0.415640625840099,-0.3926555191139309,0.0
2018-09-27,1.0,-0.2812357286769644,-0.5306917394224311,-0.06667562122229684,-0.4154197447951645,-0.3923438549361988,0.0
2018-09-28,1.0,-0.27851608737759603,-0.5348380501452706,-0.06722802109114387,-0.4162541698052298,-0.3933874959647046,0.0
2018-10-01,1.0,-0.27795888676347763,-0.5375703855376243,-0.06762399978446534,-0.4165476735727564,-0.3944553708543255,0.0
2018-10-02,1.0,-0.27827914118692926,-0.5343875434390237,-0.06896365938417608,-0.4170954446270305,-0.39516715605721825,0.0
2018-10-03,1.0,-0.2779557877164167,-0.5295780715689706,-0.06836479172837179,-0.41864347451466116,-0.39801825574194244,0.0
2018-10-04,1.0,-0.2812752436857128,-0.5245032042651732,-0.06887823792342075,-0.42307070924659385,-0.3949054876406915,0.0
2018-10-05,1.0,-0.27825082596900264,-0.5233554487093395,-0.06451959493942894,-0.4241317252679363,-0.39582046254264147,0.0
2018-10-08,1.0,-0.27880711001156316,-0.5248877295829188,-0.0647538118159572,-0.42418049318310164,-0.3964826417834189,0.0
2018-10-09,1.0,-0.2780003764756501,-0.5251566407615564,-0.0626294135047194,-0.42530992013338,-0.39801543550165386,0.0
2018-10-10,1.0,-0.2782795698924731,-0.5245967741935483,-0.06295698924731183,-0.4253763440860215,-0.3969354838709678,0.0
2018-10-11,1.0,-0.25752191423833215,-0.519597778304246,-0.036747479533549184,-0.41796309458001,-0.40051067414251496,0.0
