Date,APRE,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-06-01,1.0,-1.2084073416222616,-0.44513518847444244,-0.9377343595816066,-1.3425597000197356,-0.0,0.0
2020-06-02,1.0,-1.2080805091016724,-0.44447733214937596,-0.9377929061220462,-1.3428049923536085,-0.0,0.0
2020-06-03,1.0,-1.2114347890597952,-0.44245511647460306,-0.9509372372520896,-1.3410158761560906,-0.0,0.0
2020-06-04,1.0,-1.212152674775042,-0.43538020369821023,-0.9583704143182044,-1.3381785820231387,-0.0,0.0
2020-06-05,1.0,-1.2055275388114308,-0.4407198655196282,-0.9532779590625927,-1.3446553940472659,-0.0,0.0
2020-06-08,1.0,-1.2065271057568876,-0.4119186333563741,-0.981485138738027,-1.3373654586748296,-0.0,0.0
2020-06-09,1.0,-1.206228373702422,-0.41571922886801776,-0.9817597627286209,-1.339446366782007,-0.0,0.0
2020-06-10,1.0,-1.2117105978932792,-0.40675535334553187,-0.9887740467830474,-1.3381138420453982,-0.0,0.0
2020-06-11,1.0,-1.2272411396803335,-0.3806711009629703,-1.018564479301102,-1.3372877990668122,-0.0,0.0
2020-06-12,1.0,-1.2083374011520063,-0.3138728888021088,-1.0542809723713757,-1.3048423313482378,-0.0,0.0
2020-06-15,1.0,-1.2089188134270101,-0.3075722092115535,-1.0577185792349728,-1.304839968774395,-0.0,0.0
2020-06-16,1.0,-1.2091219512195124,-0.30653658536585365,-1.0571707317073171,-1.3052682926829269,-0.0,0.0
2020-06-17,1.0,-1.207571992398772,-0.3045850996443015,-1.056180870243142,-1.30429274472543,-0.0,0.0
2020-06-18,1.0,-1.209551656920078,-0.3000487329434698,-1.0592592592592593,-1.3044346978557506,-0.0,0.0
2020-06-19,1.0,-1.2132396016403046,-0.30023432923257176,-1.061120874829135,-1.3072642062097248,-0.0,0.0
2020-06-22,1.0,-1.2136283532406502,-0.2985607989034659,-1.079645584491874,-1.3034070883101625,-0.0,0.0
2020-06-23,1.0,-1.2148978892208238,-0.2985944463489887,-1.0802194034967432,-1.3036877418090993,-0.0,0.0
2020-06-24,1.0,-1.2134671890303625,-0.29902056807051913,-1.0816356513222332,-1.3030852105778647,-0.0,0.0
2020-06-25,1.0,-1.2084512540255683,-0.28486386259392993,-1.0871962525617254,-1.299014345662145,-0.0,0.0
2020-06-26,1.0,-1.208816931629767,-0.2820637862089145,-1.0860723690627134,-1.2996683897395886,-0.0,0.0
2020-06-29,1.0,-1.2025660964230172,-0.2745917573872473,-1.0873347589424573,-1.295538491446345,-0.0,0.0
2020-06-30,1.0,-1.2256740914419693,-0.2392047674872997,-1.1134720593982024,-1.3063696756545524,-0.0,0.0
2020-07-01,1.0,-1.225727681187732,-0.2378882594256691,-1.1127661652666536,-1.3073842547372534,-0.0,0.0
2020-07-02,1.0,-1.2174655862540271,-0.251195938689837,-1.1070487161964269,-1.3056721663575126,-0.0,0.0
2020-07-06,1.0,-1.2298106172112648,-0.2534098714552056,-1.1092630752624866,-1.313806299676185,-0.0,0.0
2020-07-07,1.0,-1.2211827268698607,-0.27480427396720664,-1.1039440642079867,-1.324043527500123,-0.0,0.0
2020-07-08,1.0,-1.22155482250997,-0.2728078381172763,-1.104180000984688,-1.3248978386096204,-0.0,0.0
2020-07-09,1.0,-1.216985787603632,-0.2762041058033952,-1.1059514409790763,-1.3357185155941573,-0.0,0.0
2020-07-10,1.0,-1.2119500594530321,-0.295332936979786,-1.0980975029726516,-1.3489892984542213,-0.0,0.0
2020-07-13,1.0,-1.232436732461592,-0.28419430219261177,-1.1058022174712872,-1.3494754636304878,-0.0,0.0
2020-07-14,1.0,-1.2394541560834704,-0.2779520892474725,-1.1099656357388317,-1.3529558244932518,-0.0,0.0
2020-07-15,1.0,-1.2400578092295425,-0.27733479517591947,-1.1110335891557859,-1.3551280773447623,-0.0,0.0
2020-07-16,1.0,-1.2396710690256665,-0.27849489160229257,-1.1106404186394219,-1.354996262148019,-0.0,0.0
2020-07-17,1.0,-1.238009502375594,-0.2785196299074769,-1.1168292073018256,-1.3679419854963741,-0.0,0.0
2020-07-20,1.0,-1.2544501033735063,-0.2800161363521759,-1.1228884070394836,-1.385255408199284,-0.0,0.0
2020-07-21,1.0,-1.2283194759385236,-0.3052658100277148,-1.1056185437137818,-1.399848828420257,-0.0,0.0
2020-07-22,1.0,-1.227904867479593,-0.3058550841479391,-1.1053612818704022,-1.399677516879976,-0.0,0.0
