Date,GVA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3962287104622871,-1.1491484184914842,-0.01824817518248175,-0.737956204379562,-0.7535685320356853,0.0
2018-09-25,1.0,-0.3953752997114642,-1.1534522696793597,-0.014995732921526395,-0.741699516397773,-0.7583208030235298,0.0
2018-09-26,1.0,-0.39516358463726886,-1.1534647429384273,-0.014346677504572242,-0.7420036577931316,-0.7592359276569803,0.0
2018-09-27,1.0,-0.3962394411955816,-1.1492040285899936,-0.015472709551656921,-0.7415123456790124,-0.758650097465887,0.0
2018-09-28,1.0,-0.402754012873788,-1.1491077976044974,-0.015725576468671065,-0.7450093701621445,-0.7614275238328038,0.0
2018-10-01,1.0,-0.4024250836939659,-1.153792765575243,-0.016861272148281214,-0.7459377806809832,-0.763574753000735,0.0
2018-10-02,1.0,-0.4025809613264181,-1.156082819455221,-0.016825254216523054,-0.7453342589945685,-0.7629354351288439,0.0
2018-10-03,1.0,-0.40331288343558286,-1.1426175869120654,-0.014642126789366054,-0.7537832310838446,-0.7756237218813906,0.0
2018-10-04,1.0,-0.40346858638743455,-1.1423429319371727,-0.015338678010471203,-0.753517670157068,-0.7756462696335078,0.0
2018-10-05,1.0,-0.39009086093794565,-1.1384916269404717,-0.0,-0.7607057001996496,-0.7850303548873406,0.0
2018-10-08,1.0,-0.38717156105100464,-1.1354836085577158,-0.0,-0.7612055641421948,-0.7834946717644188,0.0
2018-10-09,1.0,-0.3838018142618883,-1.1354594638571371,-0.0,-0.7625188138144247,-0.7861123540658179,0.0
2018-10-10,1.0,-0.3846935870847058,-1.134683420763694,-0.0,-0.7630840551421253,-0.784067341710382,0.0
2018-10-11,1.0,-0.29757853921025557,-1.1293819735696764,-0.0,-0.7348658700640974,-0.7947693281633298,0.0
2018-10-12,1.0,-0.30074276778733383,-1.1250977326035965,-0.0,-0.7127834245504299,-0.7706411258795933,0.0
2018-10-15,1.0,-0.2676221345725778,-1.1582379818018511,-0.0,-0.7068770258132542,-0.7724450345608622,0.0
2018-10-16,1.0,-0.26206384558277657,-1.168483569726097,-0.0,-0.7056226311882156,-0.7711483608799281,0.0
2018-10-17,1.0,-0.24231228110687758,-1.134549513143209,-0.0,-0.6978024092675981,-0.7740445676018936,0.0
2018-10-18,1.0,-0.2414947660098522,-1.1331588669950738,-0.0,-0.6995073891625615,-0.774361145320197,0.0
2018-10-19,1.0,-0.24874980465697766,-1.1619002969213938,-0.0,-0.7100328176277543,-0.7862165963431785,0.0
2018-10-22,1.0,-0.24900320537878198,-1.1501055429598936,-0.0,-0.717223047455242,-0.7927058087717926,0.0
2018-10-23,1.0,-0.25247234491654613,-1.1503732947660557,-0.0,-0.7146542625962553,-0.791345815580659,0.0
2018-10-24,1.0,-0.2496290511518938,-1.1479890667707926,-0.0,-0.7145255759468958,-0.7925810230378758,0.0
2018-10-25,1.0,-0.20537544605572852,-1.101055348872523,-0.0,-0.7287221926960747,-0.7610659782856275,0.0
2018-10-26,1.0,-0.18896572459410704,-1.0865153337342155,-0.0,-0.7316220685508119,-0.7511650631389056,0.0
2018-10-29,1.0,-0.1515378221113882,-1.2723607647547797,-0.0,-0.826101413133832,-0.9062759767248545,0.0
2018-10-30,1.0,-0.128875,-1.276875,-0.0,-0.83125,-0.9296666666666668,0.0
2018-10-31,1.0,-0.1302674062422386,-1.2601208709330245,-0.0,-0.8260203659243316,-0.9230068714297542,0.0
2018-11-01,1.0,-0.08939457202505219,-1.3106889352818374,-0.0,-0.8383716075156576,-0.936910229645094,0.0
2018-11-02,1.0,-0.09205281514698554,-1.2895698388971932,-0.0,-0.8398106626806178,-0.9307424015944196,0.0
2018-11-05,1.0,-0.08448354947666903,-1.323381009966223,-0.0,-0.8479629706851257,-0.9141403611192194,0.0
2018-11-06,1.0,-0.09104938271604937,-1.3285785785785786,-0.0,-0.8438438438438438,-0.9073656990323656,0.0
2018-11-07,1.0,-0.0935863600184324,-1.3330400904863642,-0.0,-0.8504461480457458,-0.9121109295798249,0.0
2018-11-08,1.0,-0.15287967315380221,-1.3778500197689232,-0.0,-0.9141150112023898,-0.9482054210780653,0.0
2018-11-09,1.0,-0.15737227565516632,-1.3831730345010147,-0.0,-0.917497573458043,-0.9538515838701138,0.0
2018-11-12,1.0,-0.15513985860448778,-1.3651692794098276,-0.0,-0.9216616168269443,-0.9491942212268915,0.0
2018-11-13,1.0,-0.12912782085910954,-1.3644245011762657,-0.0,-0.9190990677006187,-0.9438877755511021,0.0
2018-11-14,1.0,-0.12851475652818342,-1.365927023845852,-0.0,-0.9199180435066917,-0.9450281180522254,0.0
2018-11-15,1.0,-0.12988264144333508,-1.3785251357505692,-0.0,-0.9373357856016815,-0.9333508495358206,0.0
2018-11-16,1.0,-0.12783334061230728,-1.3702668471852206,-0.0,-0.9344892343975193,-0.9347949513036642,0.0
