Date,HPS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.14513795971503995,-0.2604238238165841,-0.009836184139153076,-0.2180233609373305,-0.17468267457418726,0.0
2018-09-25,1.0,-0.14614174936283283,-0.25951231856551527,-0.011459971440449723,-0.21716103609710247,-0.17329139779115377,0.0
2018-09-26,1.0,-0.1457733340578529,-0.2597764857179083,-0.00896592946802152,-0.21893169591914363,-0.17785143726566321,0.0
2018-09-27,1.0,-0.14710833559598152,-0.25629468730201826,-0.009973753280839895,-0.2189700425377862,-0.17777174404923524,0.0
2018-09-28,1.0,-0.14473421534999364,-0.2606123300847535,-0.01032649135224406,-0.22012304676866118,-0.17905301174207364,0.0
2018-10-01,1.0,-0.1442870426078871,-0.2656383890317052,-0.010556254444019033,-0.22138963335703474,-0.1813159765902751,0.0
2018-10-02,1.0,-0.144293037085682,-0.2673708020941645,-0.010215436253853592,-0.22118243674638358,-0.1811050913004615,0.0
2018-10-03,1.0,-0.14418655572585945,-0.26164148602291804,-0.009214655864535435,-0.22399824830304357,-0.18566163053791693,0.0
2018-10-04,1.0,-0.1470561387494295,-0.25781834778639895,-0.009493382017343678,-0.22796896394340485,-0.18331355545413056,0.0
2018-10-05,1.0,-0.14812246834288217,-0.25905922709192425,-0.008904134583804693,-0.22712841659672298,-0.18140349596759478,0.0
2018-10-08,1.0,-0.14971135343168698,-0.26265921378172824,-0.009914780536974251,-0.2273068817007239,-0.1830660679923028,0.0
2018-10-09,1.0,-0.15159354874222492,-0.2631878314159373,-0.0135410359442946,-0.2259041118511587,-0.1806021907854902,0.0
2018-10-10,1.0,-0.15516638123123952,-0.2634108612783824,-0.01609487505294367,-0.22941642266541443,-0.17743034454818335,0.0
2018-10-11,1.0,-0.1470108400101512,-0.25887321901171007,-0.006235724903019975,-0.22495740129790087,-0.17563354239930393,0.0
2018-10-12,1.0,-0.14530784327978485,-0.2614668895834848,-0.0028894381042378426,-0.22906520316929563,-0.17856364032856,0.0
2018-10-15,1.0,-0.14278199034938144,-0.26423103435765344,-0.0,-0.22863984326814937,-0.17837318143888548,0.0
2018-10-16,1.0,-0.14042854291779305,-0.26813868679354824,-0.0,-0.22802402162672128,-0.1777310085817443,0.0
2018-10-17,1.0,-0.13691420331651047,-0.2609769286229272,-0.0,-0.2264239365537131,-0.17813626532083635,0.0
2018-10-18,1.0,-0.13646113083758404,-0.2600349669256142,-0.0,-0.2276094518844289,-0.17831329644382762,0.0
2018-10-19,1.0,-0.13269547767505196,-0.2558768723571992,-0.0,-0.22686877374041428,-0.17627033612843118,0.0
2018-10-22,1.0,-0.13257609688804484,-0.25287994696956123,-0.0,-0.22837128473404159,-0.17772363258505472,0.0
2018-10-23,1.0,-0.13681699135363976,-0.25402719477630686,-0.0,-0.22609693969074018,-0.176909554048721,0.0
2018-10-24,1.0,-0.1364394170266927,-0.25394833551440404,-0.0,-0.22589319326676585,-0.1763799006865891,0.0
2018-10-25,1.0,-0.12697519905788057,-0.2387991492802278,-0.0,-0.22642504350271558,-0.16548608791942768,0.0
2018-10-26,1.0,-0.12043438787624833,-0.23416439695509458,-0.0,-0.22887422306026958,-0.16245897059850545,0.0
2018-10-29,1.0,-0.1176992845081211,-0.23419737827063353,-0.0,-0.22711209372769528,-0.16182998798809253,0.0
2018-10-30,1.0,-0.10829834311897835,-0.2352039305190167,-0.0,-0.2283743052772793,-0.17037475826262696,0.0
2018-10-31,1.0,-0.10873232577957878,-0.2329605732273605,-0.0,-0.22786483243186836,-0.16962034122332564,0.0
2018-11-01,1.0,-0.11232843308019232,-0.23085766041942452,-0.0,-0.22854107155298545,-0.17006897512715113,0.0
2018-11-02,1.0,-0.1136695144821838,-0.22403973049940962,-0.0,-0.23011738556643746,-0.16862888101687853,0.0
2018-11-05,1.0,-0.11667857205080405,-0.21800790982107077,-0.0,-0.2311270623900204,-0.17643779291600606,0.0
2018-11-06,1.0,-0.116932673543351,-0.2182011430164483,-0.0,-0.23097295790354058,-0.1762789238918316,0.0
2018-11-07,1.0,-0.11675781113936397,-0.21818941795255842,-0.0,-0.23053746211989268,-0.17614685290327073,0.0
2018-11-08,1.0,-0.11453193411633888,-0.21763152408089517,-0.0,-0.22935923274723746,-0.1759156299951352,0.0
2018-11-09,1.0,-0.11414025576869613,-0.2176814011676397,-0.0,-0.22986169029747008,-0.17585835418404225,0.0
2018-11-12,1.0,-0.11398504087667422,-0.21955122630022614,-0.0,-0.22957036006261958,-0.17630892329100714,0.0
2018-11-13,1.0,-0.10793864649186444,-0.21668912149790998,-0.0,-0.22902200573461845,-0.17362766435209176,0.0
2018-11-14,1.0,-0.10847410785228175,-0.21630911666148478,-0.0,-0.22910837047016963,-0.17340311603965866,0.0
2018-11-15,1.0,-0.10825821409415715,-0.2167067494852674,-0.0,-0.22897382217070092,-0.17625482291468417,0.0
2018-11-16,1.0,-0.10546145869339785,-0.21151054268924993,-0.0,-0.22965779467680608,-0.18166263394400275,0.0
2018-11-19,1.0,-0.10635466533017646,-0.21122306136909597,-0.0,-0.22914470386948485,-0.1814976755439573,0.0
2018-11-20,1.0,-0.09433735146939969,-0.2077450862380273,-0.0,-0.23015149691331485,-0.18738500163362165,0.0
2018-11-21,1.0,-0.09321159599711132,-0.20779600398913306,-0.0,-0.2303724337150521,-0.18809106227862032,0.0
2018-11-23,1.0,-0.0938595285547385,-0.2019620644629235,-0.0,-0.2332829358806955,-0.18897326644216894,0.0
2018-11-26,1.0,-0.09367593006080176,-0.20293016385558726,-0.0,-0.2326440177252585,-0.18833087149187594,0.0
2018-11-27,1.0,-0.09222860080541513,-0.20291320366720933,-0.0,-0.23144546311370065,-0.18706194841915857,0.0
2018-11-28,1.0,-0.09299256059515239,-0.20024683739586546,-0.0,-0.23290136789056873,-0.18800781651753573,0.0
2018-11-29,1.0,-0.08898529436881929,-0.19821004628601685,-0.0,-0.2321474320654495,-0.18862832840868332,0.0
2018-11-30,1.0,-0.08892038662522626,-0.1981454284640869,-0.0,-0.23216298370845997,-0.18847979780730215,0.0
2018-12-03,1.0,-0.0887530520600338,-0.19816620281045638,-0.0,-0.23211023272491335,-0.1884166851640002,0.0
2018-12-04,1.0,-0.08540470552157692,-0.1999080021125441,-0.0,-0.23059100124367515,-0.18777791028502308,0.0
2018-12-06,1.0,-0.08507217737883913,-0.1810965602706233,-0.0,-0.22969487892286566,-0.17878554442844222,0.0
2018-12-07,1.0,-0.07839410656620022,-0.18428754036598494,-0.0,-0.23318083961248656,-0.18603673304628635,0.0
2018-12-10,1.0,-0.06882455993993493,-0.18580128472511886,-0.0,-0.23417035121381496,-0.17967798448319008,0.0
2018-12-11,1.0,-0.06419443748433976,-0.18802305186670007,-0.0,-0.23345861521757286,-0.18474901862524012,0.0
2018-12-12,1.0,-0.06508371486816161,-0.1879824883868596,-0.0,-0.2339671824349163,-0.1839387761922267,0.0
2018-12-13,1.0,-0.06504200838497386,-0.18719203594514688,-0.0,-0.2345788304464748,-0.18350064307070435,0.0
2018-12-14,1.0,-0.06496023524694244,-0.18793022789547548,-0.0,-0.23427788545077857,-0.1836363028804384,0.0
2018-12-17,1.0,-0.06803850540014758,-0.18918964244985575,-0.0,-0.23953511772992556,-0.1803179714228215,0.0
2018-12-18,1.0,-0.06371870360794649,-0.18446731497389535,-0.0,-0.2383446481293056,-0.1814982235492319,0.0
2018-12-19,1.0,-0.052264398345829265,-0.19165854150556433,-0.0,-0.24928554617893284,-0.1878593282453014,0.0
2018-12-20,1.0,-0.052781813520211954,-0.20591402444235535,-0.0,-0.2533116827621571,-0.19726519100931544,0.0
2018-12-21,1.0,-0.0513048791132059,-0.21351139041633937,-0.0,-0.2622850658985773,-0.21855634110151,0.0
2018-12-24,1.0,-0.055410828698162364,-0.22306906991480677,-0.0,-0.2676899246638034,-0.21402168555938889,0.0
2018-12-26,1.0,-0.05635231565691898,-0.22539177277179237,-0.0,-0.25863998880649225,-0.2086190009794319,0.0
2018-12-27,1.0,-0.06793463508206807,-0.24249443529560796,-0.0,-0.28551005266110496,-0.21372084185381565,0.0
2018-12-28,1.0,-0.06836492676479641,-0.24201111654264662,-0.0,-0.28586171310629516,-0.21427407528108197,0.0
2018-12-31,1.0,-0.06692756459035402,-0.2447005109251006,-0.0,-0.286063702576367,-0.2140993586259376,0.0
