Date,HLI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.28056449042278825,-0.640296734185285,-0.19803529514039814,-0.40742994581123765,-0.3714972905618824,0.0
2018-09-25,1.0,-0.2799686829438033,-0.6415066983703532,-0.1966885112799397,-0.40854259699588236,-0.37302093603201303,0.0
2018-09-26,1.0,-0.2800765505842781,-0.6416620755647054,-0.19700176878243975,-0.408414764983907,-0.3724881839533737,0.0
2018-09-27,1.0,-0.27961232662062563,-0.6440136962451396,-0.1964482618536359,-0.4087690789855493,-0.37290348789971567,0.0
2018-09-28,1.0,-0.277640707091231,-0.6460480102174102,-0.19688833415575746,-0.4088995965284027,-0.3732257409073757,0.0
2018-10-01,1.0,-0.27924133724476463,-0.6450085683580702,-0.1965203752650382,-0.41017746667053945,-0.37358041186209306,0.0
2018-10-02,1.0,-0.2807797338911161,-0.6328801347975131,-0.20074371041775604,-0.4134855615594678,-0.37722967869385854,0.0
2018-10-03,1.0,-0.2808541545613016,-0.6328297501452644,-0.20084253341080766,-0.4134805345729227,-0.3772515979081929,0.0
2018-10-04,1.0,-0.28448576409064497,-0.627251597908193,-0.20127832655432887,-0.4183323649041255,-0.37393957001743167,0.0
2018-10-05,1.0,-0.2747488201059733,-0.6226365926397777,-0.19312621246778816,-0.42409589715377705,-0.380837941917364,0.0
2018-10-08,1.0,-0.27335280002312873,-0.6203706380641244,-0.19058082049206398,-0.42640723929572993,-0.38035213507184373,0.0
2018-10-09,1.0,-0.27681079672159636,-0.6217382490080802,-0.1969938312722639,-0.42425207796345105,-0.3762923919024588,0.0
2018-10-10,1.0,-0.2813833957661817,-0.6215117460870575,-0.200714347939716,-0.4284345326247931,-0.3717803525278044,0.0
2018-10-11,1.0,-0.247117296222664,-0.6247088895200227,-0.15819369497301902,-0.42311843226356144,-0.38699233172394204,0.0
2018-10-12,1.0,-0.24729969824304127,-0.6229166079133647,-0.15671620745085874,-0.41557855551481987,-0.3776474237852167,0.0
2018-10-15,1.0,-0.24083460043926336,-0.6325674381933885,-0.14847665709297742,-0.4153573238722757,-0.3785549360815453,0.0
2018-10-16,1.0,-0.23850753003553501,-0.6460319250944779,-0.13903773478481582,-0.41714140673472844,-0.37951943144001354,0.0
2018-10-17,1.0,-0.22999246840916066,-0.6263773048062707,-0.13194231359312675,-0.4161343412647494,-0.3850316605763062,0.0
2018-10-18,1.0,-0.23008898931570285,-0.6267470081178341,-0.1317265043099841,-0.4160180768265127,-0.3850531425223868,0.0
2018-10-19,1.0,-0.2259051220732996,-0.6258550692397531,-0.12830209665758302,-0.4165229964963017,-0.38409988321005506,0.0
2018-10-22,1.0,-0.22590604400189135,-0.6264289489055155,-0.1294745918282202,-0.41587628292492973,-0.38369538007954823,0.0
2018-10-23,1.0,-0.2263285225661133,-0.6261505519868747,-0.1306137204193432,-0.41475487333500183,-0.38299824810211064,0.0
2018-10-24,1.0,-0.22544462690305883,-0.6291018397394862,-0.13128670433354672,-0.41501294219154444,-0.382420885635559,0.0
2018-10-25,1.0,-0.21378213041450633,-0.6140784023262831,-0.13046937151949084,-0.41467094614983674,-0.3702575919677393,0.0
2018-10-26,1.0,-0.20404822958153745,-0.6100714714387037,-0.11075345081564732,-0.4328659501336679,-0.3701784058050084,0.0
2018-10-29,1.0,-0.187695914084008,-0.629241965818955,-0.09496551912121462,-0.42960721781557504,-0.3842232943549487,0.0
2018-10-30,1.0,-0.1721930400525279,-0.6358338804990151,-0.08188334427664697,-0.43795141168745894,-0.40793937404246,0.0
2018-10-31,1.0,-0.17192770753914927,-0.6402106244686394,-0.08104105531634807,-0.43951402791871214,-0.40975783671118665,0.0
2018-11-01,1.0,-0.16186350050728016,-0.6550494940908717,-0.06896268063286626,-0.4430886506347857,-0.4131179906221722,0.0
2018-11-02,1.0,-0.16268624014022787,-0.6515666082383874,-0.06866235758106923,-0.4436349693251534,-0.4123028045574058,0.0
2018-11-05,1.0,-0.17003167607767525,-0.6405453794243218,-0.0667401184409861,-0.44748657209750725,-0.4296377909378874,0.0
2018-11-06,1.0,-0.1726749469857619,-0.6421470077937815,-0.0656825755280769,-0.44611825617581446,-0.4273911486877255,0.0
2018-11-07,1.0,-0.17649173256649892,-0.6455510700658077,-0.05975225349776033,-0.45199911519106345,-0.4312337554609301,0.0
