Date,BKH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2000418716633518,-0.573432429603266,-0.0,-0.47772950905474715,-0.3657751491678007,0.0
2018-09-25,1.0,-0.1990831696136215,-0.5746168958742633,-0.0,-0.4786378519973805,-0.36717747216764896,0.0
2018-09-26,1.0,-0.19745894509318082,-0.576930173709044,-0.0,-0.48330126261960626,-0.37825869204206974,0.0
2018-09-27,1.0,-0.19664553618594824,-0.581378763866878,-0.0,-0.48409931325937666,-0.37918647649234016,0.0
2018-09-28,1.0,-0.1992434462873317,-0.5808798243525647,-0.0,-0.48506732269925673,-0.38007565537126686,0.0
2018-10-01,1.0,-0.19911880242063915,-0.5861291007537955,-0.0,-0.4864104469688927,-0.38255122624482435,0.0
2018-10-02,1.0,-0.19797075976671727,-0.6005432611648158,-0.0,-0.48427471971452163,-0.3802828153710953,0.0
2018-10-03,1.0,-0.20029062727052555,-0.5887085923414332,-0.0,-0.5002287344258766,-0.4017652915691181,0.0
2018-10-04,1.0,-0.2086148192185051,-0.5829865427228017,-0.0,-0.5119169864346322,-0.3987461492730908,0.0
2018-10-05,1.0,-0.18821842966489058,-0.5759337895220836,-0.0,-0.5258431828631704,-0.41465393665647904,0.0
2018-10-08,1.0,-0.1855477223427332,-0.5749728850325379,-0.0,-0.5343546637744034,-0.4166485900216919,0.0
2018-10-09,1.0,-0.17903335602450646,-0.5778080326752892,-0.0,-0.5405582028590878,-0.42554118447923756,0.0
2018-10-10,1.0,-0.18432839897307038,-0.5787130605779209,-0.0,-0.5456109684820014,-0.4225159774949473,0.0
2018-10-11,1.0,-0.11612406394391629,-0.5726804397471984,-0.0,-0.5305114451112646,-0.4361888576132561,0.0
2018-10-12,1.0,-0.11661082609150875,-0.5647052664642446,-0.0,-0.5172233274002722,-0.41898754057166787,0.0
2018-10-15,1.0,-0.07855407689057879,-0.6151774397972116,-0.0,-0.5183248838191804,-0.4283903675538656,0.0
2018-10-16,1.0,-0.07207732027009137,-0.6296306103535019,-0.0,-0.5181782073348339,-0.4280947967694956,0.0
2018-10-17,1.0,-0.055528089302906515,-0.5991777471312222,-0.0,-0.5138560016653223,-0.4335302229970597,0.0
2018-10-18,1.0,-0.05463640863969151,-0.597795784372476,-0.0,-0.5180167270263932,-0.43500690445793494,0.0
2018-10-19,1.0,-0.03945975260181288,-0.5877643777599876,-0.0,-0.5209823619037781,-0.4342380497378818,0.0
2018-10-22,1.0,-0.039969931828196685,-0.5772570569480806,-0.0,-0.5311179657326525,-0.4437129008009539,0.0
2018-10-23,1.0,-0.03903008298755187,-0.5776192946058092,-0.0,-0.5322614107883817,-0.4444502074688797,0.0
2018-10-24,1.0,-0.03803161068940418,-0.5824061557658313,-0.0,-0.5342622439430176,-0.44488925860455436,0.0
2018-10-25,1.0,-0.0018653379327967293,-0.5521400281078319,-0.0,-0.5717644052638303,-0.4294876708828415,0.0
2018-10-26,1.0,-0.0,-0.5412830035101999,-0.0,-0.5808109070560106,-0.4215292262298418,0.0
2018-10-29,1.0,-0.0,-0.540792835639657,-0.0,-0.5701889751827772,-0.41883174378304544,0.0
2018-10-30,1.0,-0.0,-0.5392553622015378,-0.0,-0.5678369081343586,-0.4222480777013355,0.0
2018-10-31,1.0,-0.0,-0.5217587939698493,-0.0,-0.570251256281407,-0.42055276381909545,0.0
2018-11-01,1.0,-0.0,-0.548015007858845,-0.0,-0.5659889469147695,-0.42110733661207733,0.0
2018-11-02,1.0,-0.0,-0.5352982703847512,-0.0,-0.5680500226917453,-0.41798194745600326,0.0
