Date,IRT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23882191780821918,-0.5665479452054795,-0.0,-0.47641095890410956,-0.45794520547945206,0.0
2018-09-25,1.0,-0.23912447950909493,-0.5663488932719702,-0.0,-0.4762765724304186,-0.45770326539557316,0.0
2018-09-26,1.0,-0.24060067960100842,-0.5678230845116737,-0.0,-0.4764331908363476,-0.4554696919872849,0.0
2018-09-27,1.0,-0.23973542650126248,-0.5716873421890438,-0.0,-0.47700076847074324,-0.45611483148534415,0.0
2018-09-28,1.0,-0.24229849679848306,-0.5710516914452171,-0.0,-0.47791915139190416,-0.4568413531561736,0.0
2018-10-01,1.0,-0.24233552449870188,-0.578854333535878,-0.0,-0.4802795116831464,-0.4605314036347567,0.0
2018-10-02,1.0,-0.2406100677853095,-0.6025391710190021,-0.0,-0.47760862318035335,-0.4573285920657851,0.0
2018-10-03,1.0,-0.24012883878491698,-0.597906369745099,-0.0,-0.47881379463541957,-0.45982118065196864,0.0
2018-10-04,1.0,-0.2450953148446618,-0.5920357916967709,-0.0,-0.4853832045795587,-0.4563163452453732,0.0
2018-10-05,1.0,-0.25146820291962635,-0.6030818278427205,-0.0,-0.4868840539180044,-0.4551708708540746,0.0
2018-10-08,1.0,-0.2485048348331563,-0.6001061986473646,-0.0,-0.4911407970487955,-0.4549494159074394,0.0
2018-10-09,1.0,-0.23911382734912145,-0.6097388450329626,-0.0,-0.5061822708881533,-0.4744079449961803,0.0
2018-10-10,1.0,-0.2391162909111482,-0.6095159967186218,-0.0,-0.5062657350569998,-0.4738762694124636,0.0
2018-10-11,1.0,-0.18506591803594527,-0.599537610436793,-0.0,-0.48809622106624834,-0.47964660226240613,0.0
2018-10-12,1.0,-0.18191753873056643,-0.596382414820077,-0.0,-0.4817344736194978,-0.4722533402551982,0.0
2018-10-15,1.0,-0.15819918144611186,-0.619181446111869,-0.0,-0.47773533424283765,-0.47339699863574347,0.0
2018-10-16,1.0,-0.15059680245291285,-0.6362516425755586,-0.0,-0.4776609724047306,-0.4730891371003066,0.0
2018-10-17,1.0,-0.13566822265993903,-0.6092118399395592,-0.0,-0.47429912846388383,-0.4790480559078277,0.0
2018-10-18,1.0,-0.13564490016189965,-0.609498111171074,-0.0,-0.47412304371289804,-0.4790609821910416,0.0
2018-10-19,1.0,-0.12270316601489258,-0.6010339101087481,-0.0,-0.47583971714790807,-0.4789468045213478,0.0
