Date,ICLK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.3473906911142453,-3.912976022566996,-0.560789844851904,-3.25148095909732,-3.031875881523272,0.0
2018-09-25,1.0,-2.3514160913061857,-3.9040439622375644,-0.5699591376638016,-3.243905875722136,-3.0211356911370997,0.0
2018-09-26,1.0,-2.3526093088857545,-3.9080394922425947,-0.5671368124118477,-3.2485190409026794,-3.0280677009873056,0.0
2018-09-27,1.0,-2.360140845070423,-3.879295774647888,-0.5742253521126761,-3.246197183098592,-3.024647887323944,0.0
2018-09-28,1.0,-2.3906923297902902,-3.979890835966676,-0.5870439528871013,-3.315426601551278,-3.0907785119218616,0.0
2018-10-01,1.0,-2.391210685049548,-3.9774522475944276,-0.5882521901479248,-3.31480683613385,-3.0899037771075686,0.0
2018-10-02,1.0,-2.3922215843857635,-3.9529276693455797,-0.597158438576349,-3.3164466130884036,-3.0925660160734783,0.0
2018-10-03,1.0,-2.3856283996564556,-3.921557400515316,-0.5933295161752076,-3.3157744059547665,-3.0980532493558544,0.0
2018-10-04,1.0,-2.4022939068100353,-3.9076702508960572,-0.597706093189964,-3.3376344086021503,-3.0917562724014336,0.0
2018-10-05,1.0,-2.3313592780597854,-3.835448392554991,-0.5320078962210942,-3.320078962210942,-3.0815002820078967,0.0
2018-10-08,1.0,-2.5140243902439026,-4.160060975609755,-0.5539634146341462,-3.6522865853658533,-3.3635670731707314,0.0
2018-10-09,1.0,-2.517625515031283,-4.166641233023043,-0.553944758126049,-3.6563406073554097,-3.3656340607355406,0.0
2018-10-10,1.0,-2.52104942037828,-4.1612263575350825,-0.5576571079926785,-3.6575655887736427,-3.3557046979865777,0.0
2018-10-11,1.0,-2.1802130044843047,-3.9459080717488786,-0.1882006726457399,-3.434557174887892,-3.2644338565022415,0.0
2018-10-12,1.0,-2.1728210697800705,-3.846185175128971,-0.1458050502307901,-3.2993483573174043,-3.1117295682867225,0.0
2018-10-15,1.0,-2.1050369375419744,-3.893888515782404,-0.06286098052384151,-3.272531900604432,-3.0975151108126258,0.0
2018-10-16,1.0,-2.1007668505314143,-3.9289654244584966,-0.042378581999192796,-3.2784878245661244,-3.1029194134266116,0.0
2018-10-17,1.0,-2.028189712758851,-3.808684034736139,-0.0,-3.319572478289913,-3.2037408149632602,0.0
2018-10-18,1.0,-2.026048624098317,-3.8043013625434146,-0.0,-3.3236708522575475,-3.204247929468341,0.0
2018-10-19,1.0,-1.9184200335613788,-3.654446882664257,-0.0,-3.230282690073577,-3.1049438492319608,0.0
