Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WSFS
2018-09-24,-0.21376549897676655,-0.8926808715541109,-0.018929818225592872,-0.4549476345250993,-0.42918622848200305,0.0,1.0
2018-09-25,-0.21674091018540817,-0.8908319287262221,-0.023176017336864918,-0.4531964844690586,-0.42595713941728874,0.0,1.0
2018-09-26,-0.21627808904150853,-0.8908367973974336,-0.021085607566720888,-0.4544852099524067,-0.4295740707271522,0.0,1.0
2018-09-27,-0.2161860857513031,-0.8915001958480218,-0.02103106450932538,-0.45460845460845456,-0.42972069059025575,0.0,1.0
2018-09-28,-0.21513151947934556,-0.8921630660761094,-0.021513151947934555,-0.4544578022838892,-0.4297809515200819,0.0,1.0
2018-10-01,-0.21466489714664896,-0.8942812330337213,-0.022018459311093683,-0.4546057790915123,-0.4306569343065693,0.0,1.0
2018-10-02,-0.2147389412617839,-0.9048525501571187,-0.019277254048827654,-0.45343848199178155,-0.4292059463379261,0.0,1.0
2018-10-03,-0.21468943630043827,-0.8953302100649841,-0.01771195405773009,-0.4580927912951489,-0.43666314039594983,0.0,1.0
2018-10-04,-0.21363483985005943,-0.9111632584646331,-0.01724926096364246,-0.45750159997561946,-0.44802364916344134,0.0,1.0
2018-10-05,-0.20219773548250008,-0.9085086361290714,-0.006496068967610721,-0.4631940017606168,-0.4551801596697326,0.0,1.0
2018-10-08,-0.20057575757575757,-0.9063030303030303,-0.003787878787878788,-0.4650909090909091,-0.4544848484848485,0.0,1.0
2018-10-09,-0.19566868146888194,-0.9085441788415393,-0.0,-0.47073474470734744,-0.46244266925857297,0.0,1.0
2018-10-10,-0.19775847406147493,-0.9077572591422671,-0.0,-0.47214797715951895,-0.45963430931843036,0.0,1.0
2018-10-11,-0.12661452778765256,-0.910297428605285,-0.0,-0.4520974049057945,-0.4734565706837302,0.0,1.0
2018-10-12,-0.12198777477371575,-0.9108087457388032,-0.0,-0.4426354766662748,-0.4633537087104737,0.0,1.0
2018-10-15,-0.07301776915036584,-0.9852769896968793,-0.0,-0.4477228609825295,-0.48039420636105723,0.0,1.0
2018-10-16,-0.07009108556069883,-0.9900253845005228,-0.0,-0.44679707331641033,-0.47946841869493806,0.0,1.0
2018-10-17,-0.05058560414337002,-0.9577423341769172,-0.0,-0.4445883114590077,-0.48978871167088456,0.0,1.0
2018-10-18,-0.049768961356211554,-0.9562939635635871,-0.0,-0.44683168025428965,-0.4903022632957588,0.0,1.0
2018-10-19,-0.03446865689081031,-0.9510136121983994,-0.0,-0.4467196354501374,-0.48892913477829064,0.0,1.0
2018-10-22,-0.03809187902301384,-0.967110484084296,-0.0,-0.44572788995679397,-0.48825794315610027,0.0,1.0
2018-10-23,-0.035987523540489647,-0.9680437853107345,-0.0,-0.4484757532956686,-0.4900835687382298,0.0,1.0
2018-10-24,-0.03353810881514359,-0.9674024866993916,-0.0,-0.44807618823667733,-0.49034419917110017,0.0,1.0
2018-10-25,-0.02304,-0.9591563636363637,-0.0,-0.4452654545454546,-0.48162909090909095,0.0,1.0
2018-10-26,-0.03117948717948718,-0.9643663003663003,-0.0,-0.4475311355311355,-0.48732600732600734,0.0,1.0
2018-10-29,-0.017361617694260454,-0.9708791689766859,-0.0,-0.44072247672959647,-0.48895567681129815,0.0,1.0
2018-10-30,-0.0,-0.9832329287473662,-0.0,-0.45134581713505656,-0.533044484672226,0.0,1.0
2018-10-31,-0.0,-0.9639679583813663,-0.0,-0.4579823239041116,-0.5339481540598859,0.0,1.0
2018-11-01,-0.0,-0.9743779183166853,-0.0,-0.45079496424138543,-0.5300845203617235,0.0,1.0
2018-11-02,-0.0,-0.9505584950029394,-0.0,-0.4613168724279835,-0.5276014109347443,0.0,1.0
2018-11-05,-0.0,-0.9527769615045549,-0.0,-0.46088745224801647,-0.5249191889509257,0.0,1.0
2018-11-06,-0.0,-0.9598083029518995,-0.0,-0.45989650711513586,-0.5204045630953781,0.0,1.0
2018-11-07,-0.0,-0.9618502903977122,-0.0,-0.4636044694713877,-0.5227748459565436,0.0,1.0
2018-11-08,-0.0,-0.9581809136402212,-0.0,-0.4481285300400924,-0.5201779286529513,0.0,1.0
2018-11-09,-0.0,-0.9582467133194742,-0.0,-0.4496823119491699,-0.520071443211431,0.0,1.0
2018-11-12,-0.0,-0.9476064062545583,-0.0,-0.4523469179380962,-0.5172846349076694,0.0,1.0
2018-11-13,-0.0,-0.9431930048063002,-0.0,-0.4438878915976605,-0.5082807342637096,0.0,1.0
