Date,IWF,IWM,K,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3283395755305868,-0.5799762492006942,1.0,-0.0,-0.6062543771505131,-0.5304040680856248,0.0
2018-09-25,-0.3272566533548761,-0.5815931469682651,1.0,-0.0,-0.6074444410572204,-0.532207420053044,0.0
2018-09-26,-0.326890243902439,-0.5814024390243903,1.0,-0.0,-0.6075609756097561,-0.5329268292682927,0.0
2018-09-27,-0.3285918796259633,-0.5771679205628827,1.0,-0.0,-0.6074746428680211,-0.5326672961530261,0.0
2018-09-28,-0.326233045622688,-0.5973489519112207,1.0,-0.0,-0.6170776818742293,-0.5419543773119605,0.0
2018-10-01,-0.32660295930949446,-0.5969790382244142,1.0,-0.0,-0.6171393341553637,-0.5419235511713933,0.0
2018-10-02,-0.32729178225756733,-0.5950927809629493,1.0,-0.0,-0.6175636520559769,-0.5425066272116392,0.0
2018-10-03,-0.32665207067748,-0.5853094452496223,1.0,-0.0,-0.6218816491412007,-0.5498165222486046,0.0
2018-10-04,-0.3411625443897576,-0.5819575104354868,1.0,-0.0,-0.6431374992212323,-0.548844308765809,0.0
2018-10-05,-0.3217591154730107,-0.5712466612833096,1.0,-0.0,-0.6525250015528915,-0.5602521895769924,0.0
2018-10-08,-0.31844822774211556,-0.567308586845288,1.0,-0.0,-0.6559679970229789,-0.5593698638633052,0.0
2018-10-09,-0.31266318537859006,-0.5688797712296406,1.0,-0.0,-0.6605433296033818,-0.5662066393136889,0.0
2018-10-10,-0.31140022463496814,-0.5740359415949082,1.0,-0.0,-0.6622675652065393,-0.5722575814301759,0.0
2018-10-11,-0.23931443080829456,-0.5582491989601597,1.0,-0.0,-0.6418898494649659,-0.583338371319751,0.0
2018-10-12,-0.24007150305377625,-0.5466110531803963,1.0,-0.0,-0.6271115745568301,-0.5655295694920304,0.0
2018-10-15,-0.22170736054179288,-0.5605061486366066,1.0,-0.0,-0.6231806570427136,-0.5649616824095527,0.0
2018-10-16,-0.21511714447322203,-0.5746479711827573,1.0,-0.0,-0.6227858652615283,-0.5644369027418058,0.0
2018-10-17,-0.19917510091850466,-0.5431170654653952,1.0,-0.0,-0.61607090621892,-0.5668109752530276,0.0
2018-10-18,-0.19898794898794897,-0.542997542997543,1.0,-0.0,-0.6162103662103662,-0.5668070668070668,0.0
2018-10-19,-0.1829809449229966,-0.5297137387975289,1.0,-0.0,-0.6201745990312945,-0.5674468517068361,0.0
2018-10-22,-0.18414979697952266,-0.5181257850611982,1.0,-0.0,-0.636403470335641,-0.5824788946338328,0.0
2018-10-23,-0.1832899850959993,-0.518454659691984,1.0,-0.0,-0.6374528770566059,-0.5831555568543791,0.0
2018-10-24,-0.18160563462606308,-0.5134582225209692,1.0,-0.0,-0.6400619575065027,-0.587368851740363,0.0
2018-10-25,-0.14572878568795894,-0.46922400839216355,1.0,-0.0,-0.6587281335941708,-0.5615094553599274,0.0
