Date,BIP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.21743682134683742,-0.4820567755757901,-0.0,-0.3987193845254906,-0.33641719822758925,0.0
2018-09-25,1.0,-0.21632294866169374,-0.4835210374920775,-0.0,-0.3998098581249086,-0.33806250304714547,0.0
2018-09-26,1.0,-0.21988172621084015,-0.4879526904843361,-0.0,-0.40127559747812913,-0.3345388788426763,0.0
2018-09-27,1.0,-0.22877839165131983,-0.48085942295887046,-0.0,-0.4069244935543278,-0.33893186003683246,0.0
2018-09-28,1.0,-0.2318198597268365,-0.4806201550387597,-0.0,-0.40836717115786886,-0.34012550756736804,0.0
2018-10-01,1.0,-0.23225536522937584,-0.4801634179956684,-0.0,-0.4085696003150226,-0.34012600905690094,0.0
2018-10-02,1.0,-0.23493783085067094,-0.47068816939554353,-0.0,-0.4124092084205343,-0.3441339406623169,0.0
2018-10-03,1.0,-0.23434731246308327,-0.46480606418586334,-0.0,-0.4142547745619216,-0.34768163024217363,0.0
2018-10-04,1.0,-0.2370641930959821,-0.46062052505966583,-0.0,-0.41763649336909187,-0.34512708215436855,0.0
2018-10-05,1.0,-0.22918707149853088,-0.4552889324191969,-0.0,-0.41824191968658175,-0.3458863858961802,0.0
2018-10-08,1.0,-0.22713612040950962,-0.4524885772228602,-0.0,-0.4190876438536907,-0.3446624477728638,0.0
2018-10-09,1.0,-0.2309442826730614,-0.4542051043629335,-0.0,-0.41889544130961415,-0.342941737832481,0.0
2018-10-10,1.0,-0.23387946024049175,-0.45372615286655393,-0.0,-0.4212279283912521,-0.3401660421717728,0.0
2018-10-11,1.0,-0.19690523163224075,-0.43904352166575555,-0.0,-0.40395997242756293,-0.33702550450429036,0.0
2018-10-12,1.0,-0.20776749212912926,-0.43482449133029466,-0.0,-0.3889854800056389,-0.31793618720924766,0.0
2018-10-15,1.0,-0.2125,-0.4315913370998117,-0.0,-0.39140772128060264,-0.31854990583804144,0.0
2018-10-16,1.0,-0.21532949938719714,-0.4286320354482889,-0.0,-0.3929244838314321,-0.3200480814556425,0.0
2018-10-17,1.0,-0.2086938271029127,-0.4145425713019752,-0.0,-0.3890301065740071,-0.31979198246309554,0.0
2018-10-18,1.0,-0.2086705067512418,-0.41465917306032973,-0.0,-0.3889601455189944,-0.3197453417597537,0.0
2018-10-19,1.0,-0.2024181780279341,-0.4083802376485303,-0.0,-0.3882982419567786,-0.3171426586060732,0.0
2018-10-22,1.0,-0.20240824360310292,-0.40567326618038674,-0.0,-0.3893249971054764,-0.31821234224846584,0.0
2018-10-23,1.0,-0.20251464561094773,-0.40565447935721405,-0.0,-0.38921434690994977,-0.3181512955287471,0.0
2018-10-24,1.0,-0.20207145836229665,-0.4074331526020668,-0.0,-0.38975392742944526,-0.31780898095370497,0.0
2018-10-25,1.0,-0.1800328067770712,-0.3751881895602544,-0.0,-0.3956811900321327,-0.296137339055794,0.0
