Date,ESTC,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,,,,,,,,,,,,,,,,,,,
2019-01-03,,,,,,,,,,,,,,,,,,,
2019-01-04,,,,,,,,,,,,,,,,,,,
2019-01-07,,,,,,,,,,,,,,,,,,,
2019-01-08,,,,,,,,,,,,,,,,,,,
2019-01-09,,,,,,,,,,,,,,,,,,,
2019-01-10,,,,,,,,,,,,,,,,,,,
2019-01-11,,,,,,,,,,,,,,,,,,,
2019-01-14,,,,,,,,,,,,,,,,,,,
2019-01-15,,,,,,,,,,,,,,,,,,,
2019-01-16,,,,,,,,,,,,,,,,,,,
2019-01-17,,,,,,,,,,,,,,,,,,,
2019-01-18,,,,,,,,,,,,,,,,,,,
2019-01-22,,,,,,,,,,,,,,,,,,,
2019-01-23,,,,,,,,,,,,,,,,,,,
2019-01-24,,,,,,,,,,,,,,,,,,,
2019-01-25,,,,,,,,,,,,,,,,,,,
2019-01-28,,,,,,,,,,,,,,,,,,,
2019-01-29,,,,,,,,,,,,,,,,,,,
2019-01-30,,,,,,,,,,,,,,,,,,,
2019-01-31,,,,,,,,,,,,,,,,,,,
2019-02-01,,,,,,,,,,,,,,,,,,,
2019-02-04,,,,,,,,,,,,,,,,,,,
2019-02-05,,,,,,,,,,,,,,,,,,,
2019-02-06,,,,,,,,,,,,,,,,,,,
2019-02-07,,,,,,,,,,,,,,,,,,,
2019-02-08,,,,,,,,,,,,,,,,,,,
2019-02-11,,,,,,,,,,,,,,,,,,,
2019-02-12,,,,,,,,,,,,,,,,,,,
2019-02-13,,,,,,,,,,,,,,,,,,,
2019-02-14,,,,,,,,,,,,,,,,,,,
2019-02-15,,,,,,,,,,,,,,,,,,,
2019-02-19,,,,,,,,,,,,,,,,,,,
2019-02-20,,,,,,,,,,,,,,,,,,,
2019-02-21,,,,,,,,,,,,,,,,,,,
2019-02-22,,,,,,,,,,,,,,,,,,,
2019-02-25,,,,,,,,,,,,,,,,,,,
2019-02-26,,,,,,,,,,,,,,,,,,,
2019-02-27,,,,,,,,,,,,,,,,,,,
2019-02-28,,,,,,,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,,,,,,,
2019-03-04,,,,,,,,,,,,,,,,,,,
2019-03-05,,,,,,,,,,,,,,,,,,,
2019-03-06,,,,,,,,,,,,,,,,,,,
2019-03-07,,,,,,,,,,,,,,,,,,,
2019-03-08,,,,,,,,,,,,,,,,,,,
2019-03-11,,,,,,,,,,,,,,,,,,,
2019-03-12,,,,,,,,,,,,,,,,,,,
2019-03-13,,,,,,,,,,,,,,,,,,,
2019-03-14,,,,,,,,,,,,,,,,,,,
2019-03-15,,,,,,,,,,,,,,,,,,,
2019-03-18,,,,,,,,,,,,,,,,,,,
2019-03-19,,,,,,,,,,,,,,,,,,,
2019-03-20,,,,,,,,,,,,,,,,,,,
2019-03-21,,,,,,,,,,,,,,,,,,,
2019-03-22,,,,,,,,,,,,,,,,,,,
2019-03-25,,,,,,,,,,,,,,,,,,,
2019-03-26,,,,,,,,,,,,,,,,,,,
2019-03-27,,,,,,,,,,,,,,,,,,,
2019-03-28,,,,,,,,,,,,,,,,,,,
2019-03-29,,,,,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,,,,,,,,,
2019-04-02,1.0,-0.0,-0.34267322983718285,-0.0,-0.0,-0.0,-2.561605452480121,-0.5178341537296478,-0.8430897387353276,-0.04225672093903824,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4046951912154487,-1.8474062854979174,-0.01332828474062855,-0.0
2019-04-03,1.0,-0.0,-0.282529538530133,-0.0,-0.08523445047187338,-0.0,-2.389388422382403,-0.5780634613955562,-0.7870253399717619,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.457605707066954,-1.7781080478561344,-0.006613658319090436,-0.06665675856431598
2019-04-04,1.0,-0.0,-0.2380846159565767,-0.0,-0.11480407465239052,-0.0,-2.343296899397725,-0.5400401516841401,-0.9068332218008774,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45988549334523016,-1.7736634694029296,-0.0,-0.058814781768161205
2019-04-05,1.0,-0.0,-0.2002874215263596,-0.0,-0.08940322214658498,-0.0,-2.538158989486423,-0.47848120414492096,-0.9251947659027305,-0.05869450117237728,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4737916950306331,-1.72173058013766,-0.0,-0.07790636109220181
2019-04-08,1.0,-0.0,-0.0,-0.0,-0.3158642462509866,-0.0,-2.761957379636937,-0.530544593528019,-0.8294396211523283,-0.0,-0.0,-0.16953433307024465,-0.0,-0.0,-0.0,-0.6545382794001579,-1.606945540647198,-0.016101026045777428,-0.007734806629834254
2019-04-09,1.0,-0.0,-0.0,-0.0,-0.3208737481271193,-0.0,-2.7506505796072864,-0.5294535131298793,-0.8267486791262518,-0.0,-0.0,-0.17009699550508633,-0.0,-0.0,-0.0,-0.6534973582525037,-1.6032647267565647,-0.019320242883053385,-0.01190757826669821
2019-04-10,1.0,-0.0,-0.0338041580701476,-0.0,-0.2409141406126012,-0.0,-2.7909855578479608,-0.45524519917473416,-0.850261863196318,-0.013172512299634979,-0.0,-0.17481352166322808,-0.0,-0.0,-0.06824313601015712,-0.6479923821615616,-1.643945405491192,-0.015791144262815426,-0.0
2019-04-11,1.0,-0.0,-0.09637878545104951,-0.0,-0.2113443358436148,-0.0,-2.7879346258612405,-0.4148373658067617,-0.8297548469796506,-0.020429418362441918,-0.0,-0.17785611280243552,-0.0,-0.0,-0.05383752603749399,-0.6790578432943438,-1.6623137317737542,-0.07787213587566094,-0.0
2019-04-12,1.0,-0.0,-0.17134896679823544,-0.0,-0.17815958517142635,-0.0,-2.659623868121663,-0.44957820602120585,-0.8874700100611408,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6804426901942574,-1.6160513892113615,-0.009906353997368627,-0.0867579908675799
2019-04-15,1.0,-0.0,-0.18271834145586757,-0.0,-0.18712771718109383,-0.0,-2.6030788272607723,-0.457801500734896,-0.8298135685000387,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6829117351280266,-1.6066372708284986,-0.10946081844202057,-0.07604239189293727
2019-04-16,1.0,-0.0,-0.14563633545186794,-0.0,-0.1136257944504728,-0.0,-2.548132072546892,-0.6007595721593552,-0.8081692760812278,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2591846225391412,-0.6647031467989459,-1.6057200434041234,-0.0,-0.004882963881568749
2019-04-17,1.0,-0.0,-0.08969064131535884,-0.0,-0.15374425309748305,-0.0,-2.4175173381126784,-0.6137302267591366,-0.8209304137769812,-0.0,-0.0,-0.12358762565261434,-0.0,-0.0,-0.36554196212888646,-0.5967427725395464,-1.6108470349879216,-0.0,-0.0
2019-04-18,1.0,-0.0,-0.05984842565825456,-0.0,-0.1482928353777639,-0.0,-2.360575044925385,-0.6472380654738652,-0.8196734119853114,-0.011250878974919916,-0.0,-0.16173138526447378,-0.0,-0.0,-0.4137041956402844,-0.536448160012501,-1.6543479959371827,-0.0,-0.0
2019-04-22,1.0,-0.0,-0.0745021475985943,-0.0,-0.14939476766887935,-0.0,-2.373369777430691,-0.6420929324482624,-0.8158531823506443,-0.02420929324482624,-0.0,-0.1631393986723936,-0.0,-0.0,-0.4037485357282312,-0.5137055837563452,-1.6494338149160486,-0.0,-0.0
2019-04-23,1.0,-0.0,-0.08229134104407627,-0.0,-0.13691778680837763,-0.0,-2.375507971241013,-0.6452016255079712,-0.7807908721475462,-0.06970928415129729,-0.0,-0.16458268208815255,-0.0,-0.0,-0.4354485776805252,-0.47686777117849327,-1.6475461081587999,-0.0,-0.0
2019-04-24,1.0,-0.0,-0.0,-0.0,-0.023220795688698687,-0.0,-2.1888571881439214,-0.5091139641781582,-0.7072436202250754,-0.1197495641147567,-0.0,-0.2662862577270566,-0.0,-0.0,-0.5493739102868919,-0.5855127595498495,-1.7120779838326203,-0.0,-0.26375019812965605
2019-04-25,1.0,-0.0,-0.0,-0.0,-0.02119552274351036,-0.0,-2.1900452488687785,-0.5231404302611733,-0.7142970548543305,-0.11852028260696992,-0.0,-0.2682384694768596,-0.0,-0.0,-0.556084782090974,-0.5871239183932683,-1.7142970548543304,-0.0,-0.24545526712709376
2019-04-26,1.0,-0.0,-0.0,-0.0,-0.05197389366443808,-0.0,-2.1607768226679402,-0.5267430754536772,-0.7251671442215855,-0.1157274753263292,-0.0,-0.2595510983763133,-0.0,-0.0,-0.5811843361986628,-0.5944762814390322,-1.7033588029290034,-0.0,-0.24036930913721746
2019-04-29,1.0,-0.0,-0.0,-0.0,-0.0780639502432023,-0.0,-2.157642931185711,-0.531536560082928,-0.7176461207240252,-0.10174627222709513,-0.0,-0.24878398851766206,-0.0,-0.0,-0.5910214496451639,-0.6029822183238976,-1.707280121202456,-0.0,-0.237062435212503
2019-04-30,1.0,-0.0,-0.03819907443721077,-0.0,-0.14244254451329516,-0.0,-1.9692524903914035,-0.553062985332183,-0.8290846340889482,-0.04376813867754334,-0.0,-0.11663659894893717,-0.0,-0.0,-0.6283630088634403,-0.5791042434700762,-1.6272648835202763,-0.0,-0.31657384892932783
2019-05-01,1.0,-0.0,-0.08870156987085298,-0.0,-0.26185136493697314,-0.0,-1.873868996983992,-0.46075322867527646,-0.7410099760266027,-0.20199520532054752,-0.0,-0.1284510092026912,-0.0,-0.0,-0.5584254891346376,-0.5429587812234166,-1.560822828860877,-0.0,-0.3145928389142371
2019-05-02,1.0,-0.0,-0.0,-0.0,-0.18888541991882607,-0.0,-1.8594286606306585,-0.6530596315953793,-0.6130190446456446,-0.18225101467374336,-0.0,-0.2969091476740555,-0.0,-0.0,-0.5459725257571026,-0.7300967842647517,-1.5379331876365905,-0.0,-0.19754917265064
2019-05-03,1.0,-0.0,-0.0,-0.0,-0.20303456905990927,-0.0,-1.854215548255905,-0.647661504770843,-0.623259815423119,-0.18316909119349287,-0.0,-0.2957140622555921,-0.0,-0.0,-0.5514625371500078,-0.7313467855466916,-1.5401220084467386,-0.0,-0.19099014547160958
2019-05-06,1.0,-0.0,-0.0,-0.0,-0.1857490386879071,-0.0,-1.92113317115279,-0.6343090324099506,-0.6208899003374402,-0.17719532292238876,-0.0,-0.2933375186376834,-0.0,-0.0,-0.5155771796280311,-0.7253394020246411,-1.5570116926940283,-0.0,-0.21682492348740487
2019-05-07,1.0,-0.0,-0.0,-0.0,-0.19021909233176837,-0.0,-1.9350547730829422,-0.656964006259781,-0.6093896713615023,-0.2007042253521127,-0.0,-0.2684663536776213,-0.0,-0.0,-0.5103286384976526,-0.7101721439749609,-1.5471048513302035,-0.0,-0.19632237871674493
2019-05-08,1.0,-0.0,-0.0,-0.0,-0.13925138704383838,-0.0,-1.9682738141751972,-0.6675001953582871,-0.5902164569821052,-0.18387121981714463,-0.0,-0.24779245135578654,-0.0,-0.0,-0.5219973431272954,-0.6081894193951707,-1.654684691724623,-0.0,-0.2325545049621005
2019-05-09,1.0,-0.0,-0.0,-0.0,-0.15339187194032172,-0.0,-1.9403994094335224,-0.6359468490170176,-0.5958504934338332,-0.18447431812883675,-0.0,-0.24205454969306084,-0.0,-0.0,-0.5479058201880488,-0.6305074209340276,-1.6026886315953064,-0.0,-0.2373921827647836
2019-05-10,1.0,-0.0,-0.0,-0.0,-0.1779595015576324,-0.0,-1.9460280373831778,-0.5909657320872275,-0.5531152647975078,-0.17453271028037384,-0.0,-0.3066199376947041,-0.0,-0.0,-0.5204828660436137,-0.6637071651090344,-1.6126168224299067,-0.0,-0.24213395638629287
2019-05-13,1.0,-0.0,-0.0,-0.0,-0.22103070513809595,-0.0,-1.9488504860361053,-0.6458108316617805,-0.46590032402407033,-0.14635087177904643,-0.0,-0.3029625057861441,-0.0,-0.0,-0.46597747261225114,-0.6377873784909736,-1.5808517204135164,-0.0,-0.2994136707298256
