Date,FIXX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-11-26,1.0,-0.0,-2.2296496869182607,-0.0,-2.9504146217634117,-2.2815197156879337,0.0
2018-11-27,1.0,-0.0,-2.23478913152192,-0.0,-2.8793132188698114,-2.220620103350558,0.0
2018-11-28,1.0,-0.0,-2.2446648882960987,-0.0,-2.873041013671224,-2.21840613537846,0.0
2018-11-29,1.0,-0.0,-2.155525238744884,-0.0,-2.722173180322607,-2.1472594494823847,0.0
2018-11-30,1.0,-0.0,-2.1560295060936494,-0.0,-2.7254650416933934,-2.1364656831302113,0.0
2018-12-03,1.0,-0.0,-2.1571234083446784,-0.0,-2.720188996556419,-2.1310162569071838,0.0
2018-12-04,1.0,-0.0,-2.1535885167464115,-0.0,-2.7037480063795853,-2.117145135566188,0.0
2018-12-06,1.0,-0.0,-1.879817011708149,-0.0,-2.8376366596883,-2.036287508722959,0.0
2018-12-07,1.0,-0.0,-1.8944453112810111,-0.0,-2.876969886097675,-2.030113902324856,0.0
2018-12-10,1.0,-0.0,-1.9466790668836704,-0.0,-2.887700534759358,-1.915833527086724,0.0
2018-12-11,1.0,-0.0,-1.960662688442211,-0.0,-3.002355527638191,-1.8887405778894473,0.0
2018-12-12,1.0,-0.0,-1.9990333494441759,-0.0,-3.0747543096503946,-1.9816336394393426,0.0
2018-12-13,1.0,-0.0,-1.9803890049831216,-0.0,-3.0892139527407165,-1.967609709049992,0.0
2018-12-14,1.0,-0.0,-1.9622732380799488,-0.0,-3.097848771873495,-1.9668486113340826,0.0
2018-12-17,1.0,-0.0,-1.9575048107761386,-0.0,-2.97482360487492,-2.0856318152661966,0.0
2018-12-18,1.0,-0.0,-1.8894306385655868,-0.0,-2.905158854985845,-2.069597357659642,0.0
2018-12-19,1.0,-0.0,-1.8900951931398,-0.0,-2.906616316576194,-2.0704114546455825,0.0
2018-12-20,1.0,-0.0,-1.8285492629945697,-0.0,-2.9079131109387126,-2.021567106283941,0.0
2018-12-21,1.0,-0.0,-1.823357439606093,-0.0,-2.8829819972303428,-1.9871518695183874,0.0
2018-12-24,1.0,-0.0,-1.7342984241875896,-0.0,-2.794616602578602,-2.0108572721103823,0.0
2018-12-26,1.0,-0.0,-1.869365294738429,-0.0,-2.690788481833258,-1.9779888436604856,0.0
2018-12-27,1.0,-0.0,-1.7259001161440186,-0.0,-2.169638587142174,-1.9364623898339826,0.0
2018-12-28,1.0,-0.0,-1.7451141178078446,-0.0,-2.1648899822331558,-1.9233975673090065,0.0
2018-12-31,1.0,-0.0,-1.758710384009857,-0.0,-2.164145389828188,-1.9222397152440278,0.0
2019-01-02,1.0,-0.0,-1.7544374658656472,-0.0,-2.1519661387220097,-1.920398689240852,0.0
2019-01-03,1.0,-0.0,-1.781642040702537,-0.0,-2.1384165040423753,-2.049553944800669,0.0
2019-01-04,1.0,-0.0,-1.8102320457205814,-0.0,-2.0077807615506438,-2.067616883564002,0.0
2019-01-07,1.0,-0.0,-1.709957000806235,-0.0,-2.0187449610319805,-1.9899892502015588,0.0
2019-01-08,1.0,-0.0,-1.649909389891939,-0.0,-2.0798711322907577,-1.9820793341835021,0.0
