Date,IWF,IWM,MTUM,SPY,VLUE,VMW,VXX
2018-09-24,-0.7505259993988579,-1.094980462879471,-0.3762148081354574,-0.9818154493537722,-0.8059813645927263,1.0,0.0
2018-09-25,-0.7546971291146851,-1.092439500977003,-0.38228368154717174,-0.9794077859612205,-0.8014930607745879,1.0,0.0
2018-09-26,-0.7618568120028195,-1.104017722283758,-0.3905447588359682,-0.9832343167858222,-0.7951364414459772,1.0,0.0
2018-09-27,-0.7622282608695652,-1.1014995974235104,-0.391153381642512,-0.9826892109500805,-0.7946356682769725,1.0,0.0
2018-09-28,-0.7599637681159419,-1.103311191626409,-0.3917572463768116,-0.9823872785829307,-0.7947363123993558,1.0,0.0
2018-10-01,-0.7602777638001309,-1.1026518391787854,-0.3919388114527248,-0.9824384843757863,-0.7946963216424294,1.0,0.0
2018-10-02,-0.7607525529453192,-1.0958297701091604,-0.39448664419739427,-0.9832989587001358,-0.7960662005131043,1.0,0.0
2018-10-03,-0.760231271995978,-1.0914529914529916,-0.3941679235796883,-0.9839115133232781,-0.7978883861236803,1.0,0.0
2018-10-04,-0.7637423374535223,-1.0841121495327104,-0.39503567480655205,-0.9882926339061401,-0.7934880916490805,1.0,0.0
2018-10-05,-0.7447652523223701,-1.075972884760231,-0.3730856138589004,-1.0102435350238514,-0.8172734120010042,1.0,0.0
2018-10-08,-0.7429718875502008,-1.0728413654618476,-0.3657128514056225,-1.0196787148594377,-0.8188755020080322,1.0,0.0
2018-10-09,-0.7529779931354735,-1.080708661417323,-0.37916414294367057,-1.019937411669695,-0.8146577831617201,1.0,0.0
2018-10-10,-0.7527902631180243,-1.0824200797939498,-0.37791020655522445,-1.0207060249482351,-0.8164234129589415,1.0,0.0
2018-10-11,-0.6864510446738759,-1.0749131477222684,-0.28776239174047075,-1.0073885599647698,-0.8365219944218819,1.0,0.0
2018-10-12,-0.7000482858522452,-1.0630613230323516,-0.28358281023660065,-0.9806373732496378,-0.8012071463061322,1.0,0.0
2018-10-15,-0.698817282162684,-1.0661356504948105,-0.2790731354091238,-0.9821868211440985,-0.8012551291334781,1.0,0.0
