Date,CHRW,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2968624791962029,-0.6302163594896134,-0.09656043888306723,-0.5156259631387536,-0.5428095913209641,0.0
2018-09-25,1.0,-0.29617058043015393,-0.6323016632209091,-0.0946091893726664,-0.5174807911870891,-0.5451908538278767,0.0
2018-09-26,1.0,-0.29617058043015393,-0.6323325207516893,-0.09457833184188601,-0.5174807911870891,-0.545221711358657,0.0
2018-09-27,1.0,-0.30203892493049117,-0.6229224590670375,-0.09777571825764597,-0.5198022860673464,-0.5467408093914118,0.0
2018-09-28,1.0,-0.3013808655895709,-0.6233357017083191,-0.0981433999567514,-0.5196317691761144,-0.5466312440147045,0.0
2018-10-01,1.0,-0.30112477597181875,-0.624127062604289,-0.09847969841171744,-0.5194981768741116,-0.5468141647611396,0.0
2018-10-02,1.0,-0.30157258936571196,-0.6201995859980844,-0.10007106003027776,-0.5201285259678067,-0.5475638767880866,0.0
2018-10-03,1.0,-0.30163438069638826,-0.6199524206753793,-0.10025643402230666,-0.5201285259678067,-0.5475947724534248,0.0
2018-10-04,1.0,-0.3018104300543747,-0.6196243203163617,-0.10059317844784972,-0.5201124567474048,-0.5473615916955017,0.0
2018-10-05,1.0,-0.2911306702775897,-0.6134671016187604,-0.09029359266326091,-0.526589524219856,-0.5560103403705299,0.0
2018-10-08,1.0,-0.28949308755760367,-0.6106605222734255,-0.08728110599078341,-0.5291858678955452,-0.5555760368663595,0.0
2018-10-09,1.0,-0.2877428079665601,-0.6115994590607328,-0.08237029751659701,-0.5321797393656258,-0.5596262601426113,0.0
2018-10-10,1.0,-0.28718390981612096,-0.615240089937475,-0.0800197123232821,-0.5333723473064957,-0.5642344534450364,0.0
2018-10-11,1.0,-0.26176035726139824,-0.609184997435201,-0.050058839503937726,-0.5256027277390544,-0.5708035364050572,0.0
2018-10-12,1.0,-0.2656683471049727,-0.6023625570503833,-0.04743012260239239,-0.5116188885242968,-0.5559466634847717,0.0
