Date,CLAR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.44755215692793615,-1.157177291995678,-0.0,-0.8229158008478098,-0.7282852630704015,0.0
2018-09-25,1.0,-0.4468371467025572,-1.1758495962314939,-0.0,-0.837735531628533,-0.7454576043068641,0.0
2018-09-26,1.0,-0.4585312075983718,-1.1925457937584805,-0.0,-0.8465061058344641,-0.7426221166892808,0.0
2018-09-27,1.0,-0.47123695976154995,-1.183053012561209,-0.0,-0.8546731956568022,-0.7490738769427293,0.0
2018-09-28,1.0,-0.46957373419069115,-1.1848145466933524,-0.0,-0.854660818464421,-0.7493505940467572,0.0
2018-10-01,1.0,-0.46960525193963676,-1.187441384602268,-0.0,-0.8552306249467132,-0.7506607553926166,0.0
2018-10-02,1.0,-0.4842729460295634,-1.1622121003781367,-0.0,-0.8777500859401857,-0.7727311790993467,0.0
2018-10-03,1.0,-0.4841508461472382,-1.1597800876213382,-0.0,-0.877802594278842,-0.7734301176874839,0.0
2018-10-04,1.0,-0.48667667882428667,-1.1539154687835227,-0.0,-0.8803690195237073,-0.7699635271400986,0.0
2018-10-05,1.0,-0.482048642388367,-1.1570368463947154,-0.0,-0.8813108566036117,-0.7690558915626474,0.0
2018-10-08,1.0,-0.4796010103172225,-1.1537737060661846,-0.0,-0.8806455755811465,-0.7669848880517146,0.0
2018-10-09,1.0,-0.4765166759429721,-1.1537868733142098,-0.0,-0.8818769533758616,-0.7691912488761399,0.0
2018-10-10,1.0,-0.47667551142685954,-1.1532140717281518,-0.0,-0.882008045878627,-0.767825044937088,0.0
2018-10-11,1.0,-0.3833497456097161,-1.1229279501066798,-0.0,-0.8376415558838011,-0.7591088133924175,0.0
2018-10-12,1.0,-0.3815725806451613,-1.1084677419354838,-0.0,-0.8123387096774194,-0.7298790322580645,0.0
2018-10-15,1.0,-0.36476167510650265,-1.1196045333976368,-0.0,-0.8072904107386866,-0.7273531066634514,0.0
2018-10-16,1.0,-0.3630409450717242,-1.1219512195121952,-0.0,-0.8065254952384779,-0.726604251215494,0.0
2018-10-17,1.0,-0.331439393939394,-1.0672348484848484,-0.0,-0.8034248737373737,-0.7436079545454545,0.0
2018-10-18,1.0,-0.3321222652239159,-1.069781217913277,-0.0,-0.8029381565437169,-0.7442934997235605,0.0
2018-10-19,1.0,-0.3088994990607389,-1.054164057608015,-0.0,-0.8068644333124607,-0.743699123356293,0.0
2018-10-22,1.0,-0.3117342130065976,-1.0653471567703425,-0.0,-0.8063540684888472,-0.7436773484134466,0.0
2018-10-23,1.0,-0.31874655972320515,-1.0674687426279783,-0.0,-0.8029802626405598,-0.7425493433986002,0.0
2018-10-24,1.0,-0.3160332914572864,-1.0638740577889447,-0.0,-0.802842336683417,-0.7431297110552765,0.0
2018-10-25,1.0,-0.2718135963261311,-0.9986072423398329,-0.0,-0.7979748550779192,-0.6958141985997138,0.0
