Date,CCEP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2475550597940284,-0.4935017769591948,-0.0,-0.46527795792368154,-0.38776621961659186,0.0
2018-09-25,1.0,-0.24572944021216295,-0.4962429474012636,-0.0,-0.4673305426275968,-0.39073347026858374,0.0
2018-09-26,1.0,-0.24646385855434216,-0.4969058762350494,-0.0,-0.4673166926677067,-0.3894175767030681,0.0
2018-09-27,1.0,-0.25083855534465277,-0.4901583504511298,-0.0,-0.4687849398060272,-0.3903637640084246,0.0
2018-09-28,1.0,-0.24920659695125125,-0.49230008844493006,-0.0,-0.46899224806201556,-0.39079652463451436,0.0
2018-10-01,1.0,-0.24992845063093536,-0.49163522830753215,-0.0,-0.4694158969689085,-0.39081566280733704,0.0
2018-10-02,1.0,-0.25128125081297636,-0.4866411717266318,-0.0,-0.4710060095215796,-0.39259606129191704,0.0
2018-10-03,1.0,-0.25311170837356156,-0.4950812827805756,-0.0,-0.4707616835842705,-0.39047047464968815,0.0
2018-10-04,1.0,-0.2549423608575453,-0.49181054718063744,-0.0,-0.47284961660841895,-0.388477387721037,0.0
2018-10-05,1.0,-0.24372517974407557,-0.4846730864069354,-0.0,-0.4754847249980533,-0.39172528356736835,0.0
2018-10-08,1.0,-0.24134089790419938,-0.4815937410947903,-0.0,-0.4770601797880884,-0.3906116421854356,0.0
2018-10-09,1.0,-0.24111491037198218,-0.4815822194591234,-0.0,-0.4771267226194177,-0.39058128691327326,0.0
2018-10-10,1.0,-0.23959475690636586,-0.49044336518878273,-0.0,-0.48049506501644995,-0.4005692203248211,0.0
2018-10-11,1.0,-0.19703007995938568,-0.4767863942124635,-0.0,-0.463967508567077,-0.4005838304353344,0.0
2018-10-12,1.0,-0.19923803794771539,-0.46938366293205,-0.0,-0.45201393588490363,-0.3858184825926762,0.0
2018-10-15,1.0,-0.1938744870383345,-0.47247522770493444,-0.0,-0.4508307476729056,-0.3850715644079672,0.0
2018-10-16,1.0,-0.1891702356801162,-0.48120319583239407,-0.0,-0.4499962431437373,-0.3842011671300123,0.0
2018-10-17,1.0,-0.18592012763623672,-0.474921473799671,-0.0,-0.4481976367353044,-0.38385601037044426,0.0
2018-10-18,1.0,-0.18500287349141697,-0.4736763199320356,-0.0,-0.4538867094775243,-0.386122285799955,0.0
