Date,HQY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6620676796867717,-1.2846089307355273,-0.21911997762654983,-0.7941176470588235,-0.7011746061340542,0.0
2018-09-25,1.0,-0.6629396692289774,-1.282879105520615,-0.22105753552294433,-0.7926857675285348,-0.6992313067784766,0.0
2018-09-26,1.0,-0.6641036394985786,-1.2844494151638006,-0.2233561675753763,-0.792301598396943,-0.6958385758889044,0.0
2018-09-27,1.0,-0.6666201182330215,-1.2757994693478565,-0.22566680631196762,-0.7917888563049854,-0.6950146627565983,0.0
2018-09-28,1.0,-0.6643236197746951,-1.2774881295968719,-0.2264221208453589,-0.7916395121497066,-0.6952332185085188,0.0
2018-10-01,1.0,-0.66402830803613,-1.2780054008753143,-0.22683676319955304,-0.7915541484309526,-0.6955489337927181,0.0
2018-10-02,1.0,-0.6646267401663085,-1.2994020368121089,-0.22194711763057084,-0.7910398953564421,-0.6945716154349248,0.0
2018-10-03,1.0,-0.6638502474092055,-1.291055923816637,-0.22108113154700776,-0.7932032489963589,-0.698907665017272,0.0
2018-10-04,1.0,-0.6647072544903195,-1.2876603685560997,-0.22178679729414508,-0.7940284581292278,-0.6971308607417774,0.0
2018-10-05,1.0,-0.6589439404512677,-1.287787857641312,-0.21256106071179345,-0.7953012328448475,-0.6976506164224239,0.0
2018-10-08,1.0,-0.6565792527268508,-1.2837317242979809,-0.20937572522627057,-0.7961475980505918,-0.6956138315154328,0.0
2018-10-09,1.0,-0.6603449077302096,-1.285780690745131,-0.21545112257704646,-0.7946358016083298,-0.6921396364988612,0.0
2018-10-10,1.0,-0.6625761167666063,-1.2842467345326083,-0.21777529865662626,-0.7959373402128945,-0.6878166689908427,0.0
2018-10-11,1.0,-0.6077382824787669,-1.2756032894441198,-0.148474363007235,-0.7705927290702377,-0.6914123938345391,0.0
2018-10-12,1.0,-0.6145058448459085,-1.2666932341480692,-0.1433315621679065,-0.7436238044633369,-0.6597591215019483,0.0
2018-10-15,1.0,-0.595438069136239,-1.301653257890549,-0.11426929537618248,-0.7443638935549466,-0.6647953319777208,0.0
2018-10-16,1.0,-0.5964889006809941,-1.2989298664544087,-0.1166976209427788,-0.7447156628637127,-0.6652958344388432,0.0
2018-10-17,1.0,-0.5786433906548549,-1.2569046378322042,-0.10482890394302588,-0.7351485148514851,-0.6670140698280353,0.0
2018-10-18,1.0,-0.5779350468912817,-1.2558179923584578,-0.1052448766932963,-0.7358891976380688,-0.6668548106981591,0.0
2018-10-19,1.0,-0.5635457303857824,-1.2514087559601215,-0.08283485045513654,-0.7566970091027309,-0.6801907238838318,0.0
2018-10-22,1.0,-0.5646880415944541,-1.2464471403812825,-0.07976603119584055,-0.7592720970537262,-0.6825823223570191,0.0
2018-10-23,1.0,-0.5666204626180369,-1.2456467122931647,-0.08442346010569175,-0.7550030321406913,-0.6799792081781166,0.0
2018-10-24,1.0,-0.5664962744758274,-1.248093917865188,-0.08196153179691561,-0.7556316063073991,-0.6798648414486225,0.0
