Date,IWF,IWM,MTUM,NDLS,SPY,VLUE,VXX
2018-09-24,-1.2808570922613778,-2.604922967947583,-0.17283513369930936,1.0,-1.9591818664777758,-1.8363732955551622,0.0
2018-09-25,-1.2860964951395704,-2.6281102291982523,-0.16748417015963615,1.0,-1.9786854543833052,-1.8578435744225454,0.0
2018-09-26,-1.2879828709073067,-2.630743152823624,-0.17084485681149078,1.0,-1.978499420108841,-1.8533321438130075,0.0
2018-09-27,-1.308375179340029,-2.618633428981349,-0.18041606886657102,1.0,-1.9936334289813487,-1.8658536585365852,0.0
2018-09-28,-1.304425891013556,-2.626357841817039,-0.1827812191399587,1.0,-1.9955112667205315,-1.868300565580393,0.0
2018-10-01,-1.3094488896880339,-2.6264496988222605,-0.18331385417603163,1.0,-2.0002697114087926,-1.8709880427942103,0.0
2018-10-02,-1.3142882850458881,-2.5993341731149897,-0.1947093755623538,1.0,-2.0089076840021596,-1.8804210905164658,0.0
2018-10-03,-1.3271952104499274,-2.636429608127721,-0.2019230769230769,1.0,-2.01977503628447,-1.8857946298984034,0.0
2018-10-04,-1.3423660998454123,-2.624988633263617,-0.20532872601618624,1.0,-2.0400109120669274,-1.8806038010366464,0.0
2018-10-05,-1.3098413842826242,-2.6023792357606346,-0.16970079307858688,1.0,-2.043709444844989,-1.886715933669791,0.0
2018-10-08,-1.3053380142227025,-2.595553155099469,-0.1568998109640832,1.0,-2.056260689531011,-1.8875686380412278,0.0
2018-10-09,-1.3046178773967054,-2.596453326131965,-0.15428931496984427,1.0,-2.057430911873256,-1.8889188945899722,0.0
2018-10-10,-1.3044456443484522,-2.596112311015119,-0.15343772498200145,1.0,-2.0575953923686106,-1.8875989920806335,0.0
2018-10-11,-1.1279029160118736,-2.613148245154531,-0.0,1.0,-2.033001571503405,-1.9564344333857169,0.0
2018-10-12,-1.2085594803808168,-2.6939229468813948,-0.0,1.0,-2.0452887267550492,-1.9497286235430198,0.0
2018-10-15,-1.139930832668263,-2.752771127072803,-0.0,1.0,-2.028198989092844,-1.9467943602021816,0.0
2018-10-16,-1.1327127659574467,-2.7632978723404253,-0.0,1.0,-2.025177304964539,-1.9439716312056738,0.0
2018-10-17,-1.1165888254627225,-2.659314997405293,-0.0,1.0,-1.969901401141671,-1.9032174364296834,0.0
2018-10-18,-1.1152615650670126,-2.656722870730653,-0.0,1.0,-1.9716385646346735,-1.9031560743623,0.0
2018-10-19,-1.0640608963393774,-2.6203386931235033,-0.0,1.0,-1.9721176873075608,-1.896424905918577,0.0
2018-10-22,-1.0753336203185535,-2.6509685751183816,-0.0,1.0,-1.9790787774429615,-1.904261730520878,0.0
2018-10-23,-1.0879689521345408,-2.6566623544631307,-0.0,1.0,-1.9756791720569211,-1.9041828374299266,0.0
2018-10-24,-1.083541684627985,-2.648159324079662,-0.0,1.0,-1.9789637037675663,-1.9108543839986207,0.0
2018-10-25,-1.159803423148619,-2.490849008642603,-0.05634638196915777,1.0,-1.9074733096085408,-1.85866802236909,0.0
2018-10-26,-1.137335036185611,-2.5074499787143463,-0.0,1.0,-1.9845040442741593,-1.8848871860366112,0.0
