Date,AM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-26,1.0,-0.4306845059483884,-0.9273131641190384,-0.019875030889257597,-0.5996399195114201,-0.5527235499699932,0.0
2018-09-27,1.0,-0.43041328152596253,-0.9290709996467678,-0.01967502649240551,-0.6,-0.5531614270575768,0.0
2018-09-28,1.0,-0.4309333710167456,-0.9285310534868934,-0.020066417014060624,-0.6000494594785558,-0.5532749240443723,0.0
2018-10-01,1.0,-0.4313573094043666,-0.9277891613085566,-0.020243058008902706,-0.6002261004733979,-0.5532042676464355,0.0
2018-10-02,1.0,-0.4454405278445153,-0.8931760318427941,-0.03779538853229104,-0.6283214400975364,-0.5811668519381791,0.0
2018-10-03,1.0,-0.4474063400576369,-0.8788904899135447,-0.03454610951008645,-0.641678674351585,-0.5998198847262247,0.0
2018-10-04,1.0,-0.4545192134223345,-0.8710445607071983,-0.03554032112574418,-0.6515966083348367,-0.5954176438751578,0.0
2018-10-05,1.0,-0.4425876010781671,-0.8650853548966757,-0.021275831087151843,-0.6599101527403415,-0.6050314465408805,0.0
2018-10-08,1.0,-0.44087758985959996,-0.8623289884735538,-0.01572767424324033,-0.6662357714819204,-0.6056590900930015,0.0
2018-10-09,1.0,-0.44698717024650425,-0.8659723223295372,-0.025118927490269567,-0.6646965547066455,-0.6011244053625486,0.0
2018-10-10,1.0,-0.5145398024633061,-0.9562035178845472,-0.04210443473812615,-0.766969661197025,-0.655176484476449,0.0
2018-10-11,1.0,-0.43817729274363393,-0.9584912885314952,-0.0,-0.7521730806050163,-0.6803752632586636,0.0
2018-10-12,1.0,-0.4391312559017942,-0.9486685552407932,-0.0,-0.7323890462700661,-0.6569593956562796,0.0
2018-10-15,1.0,-0.40365448504983387,-0.9855406221685291,-0.0,-0.7269329507701601,-0.6591664149803684,0.0
2018-10-16,1.0,-0.3993052933625312,-0.9927131314656801,-0.0,-0.725666389790833,-0.6578947368421053,0.0
2018-10-17,1.0,-0.37884743751390637,-0.9537936660980493,-0.0,-0.716086924275013,-0.6596454794926945,0.0
2018-10-18,1.0,-0.3805365636147443,-0.9587544589774079,-0.0,-0.7153314506539832,-0.6611548751486326,0.0
2018-10-19,1.0,-0.36061522573030386,-0.9458173502508114,-0.0,-0.7201608143995278,-0.6618102685157863,0.0
2018-10-22,1.0,-0.36049555694849006,-0.9373548173002471,-0.0,-0.7239408576379927,-0.6653884443788946,0.0
2018-10-23,1.0,-0.35924299996310916,-0.9378758254325452,-0.0,-0.725532150367064,-0.666433024679972,0.0
2018-10-24,1.0,-0.3582933136313262,-0.9421869227927595,-0.0,-0.7269671222755818,-0.6666789804211304,0.0
2018-10-25,1.0,-0.3198029345614223,-0.8905787012245188,-0.0,-0.7305344329013601,-0.6290742922423334,0.0
2018-10-26,1.0,-0.2954062853907135,-0.8780082106455267,-0.0,-0.7443020951302379,-0.6213547565118913,0.0
2018-10-29,1.0,-0.2930991750168183,-0.879899444110045,-0.0,-0.7466274829161208,-0.6210742484863506,0.0
2018-10-30,1.0,-0.30350995492777794,-0.8819959541469993,-0.0,-0.7483763353089399,-0.6150761259183021,0.0
2018-10-31,1.0,-0.31101626159652895,-0.856467600268087,-0.0,-0.7489858548802426,-0.610956294754665,0.0
2018-11-01,1.0,-0.3128639491794601,-0.8555496735486148,-0.0,-0.7494265043232752,-0.6113287453679196,0.0
2018-11-02,1.0,-0.3256306226847769,-0.8142176750749691,-0.0,-0.7760804374669255,-0.6120303404480508,0.0
2018-11-05,1.0,-0.33040707964601773,-0.8065840707964603,-0.0,-0.7787256637168142,-0.6241061946902655,0.0
2018-11-06,1.0,-0.3366497893283291,-0.8119888113868923,-0.0,-0.774528201678292,-0.6175335481358213,0.0
2018-11-07,1.0,-0.33648366429506926,-0.8118296697462037,-0.0,-0.7741318891366678,-0.6172878836147393,0.0
2018-11-08,1.0,-0.29560679782807986,-0.8246244975671674,-0.0,-0.7697270996403639,-0.6358507862633102,0.0
2018-11-09,1.0,-0.29452852153667053,-0.8252372385084842,-0.0,-0.7718277066356228,-0.636116696652203,0.0
2018-11-12,1.0,-0.2940659803956013,-0.8056775462881636,-0.0,-0.7805923479605101,-0.6329972244668517,0.0
2018-11-13,1.0,-0.26195128759857633,-0.8049061344127294,-0.0,-0.790529695024077,-0.6320399190452928,0.0
2018-11-14,1.0,-0.26093946595833917,-0.8076331609115057,-0.0,-0.792220047532504,-0.6342443729903537,0.0
2018-11-15,1.0,-0.2602275900586428,-0.8093060597598436,-0.0,-0.7965302987992181,-0.6245811225914549,0.0
